location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob
Australia,71,Early to intermediate,2,Male,1,1992,49,54,211.0,0.04739336492890995,0.014627642774083096,0.733901404,0.305601672
Australia,71,Early to intermediate,2,Female,2,1992,49,54,264.0,0.026515151515151516,0.009888028087127304,0.733901404,0.262295719
Australia,71,Early to intermediate,2,Male,1,1992,55,64,503.0,0.06958250497017893,0.011345012301438424,0.733901404,0.305601672
Australia,71,Early to intermediate,2,Female,2,1992,55,64,639.0,0.06103286384976526,0.009470145279349704,0.733901404,0.262295719
Australia,71,Early to intermediate,2,Male,1,1992,65,74,506.0,0.1442687747035573,0.01561994869174006,0.733901404,0.305601672
Australia,71,Early to intermediate,2,Female,2,1992,65,74,654.0,0.16972477064220184,0.014678942920002998,0.733901404,0.262295719
Australia,71,Early to intermediate,2,Male,1,1992,75,84,246.0,0.24390243902439024,0.027379747371133443,0.733901404,0.305601672
Australia,71,Early to intermediate,2,Female,2,1992,75,84,323.0,0.2724458204334365,0.024772593925320333,0.733901404,0.262295719
Australia,71,Early to intermediate,2,Male,1,1992,85,95,35.0,0.3142857142857143,0.07846932140863945,0.733901404,0.305601672
Australia,71,Early to intermediate,2,Female,2,1992,85,95,47.0,0.46808510638297873,0.07278377180087608,0.733901404,0.262295719
Australia,71,Late,3,Male,1,1992,49,54,215.0,0.0,0.0,0.733901404,0.305601672
Australia,71,Late,3,Female,2,1992,49,54,270.0,0.0,0.0,0.733901404,0.262295719
Australia,71,Late,3,Male,1,1992,55,64,513.0,0.0,0.0,0.733901404,0.305601672
Australia,71,Late,3,Female,2,1992,55,64,659.0,0.0015174506828528073,0.0015162989174626843,0.733901404,0.262295719
Australia,71,Late,3,Male,1,1992,65,74,513.0,0.005847953216374269,0.003366430615184081,0.733901404,0.305601672
Australia,71,Late,3,Female,2,1992,65,74,659.0,0.009104704097116844,0.003700020190327717,0.733901404,0.262295719
Australia,71,Late,3,Male,1,1992,75,84,279.0,0.07885304659498207,0.016135097614995025,0.733901404,0.305601672
Australia,71,Late,3,Female,2,1992,75,84,374.0,0.10695187165775401,0.015980700995133948,0.733901404,0.262295719
Australia,71,Late,3,Male,1,1992,85,95,48.0,0.125,0.047735163489123336,0.733901404,0.305601672
Australia,71,Late,3,Female,2,1992,85,95,87.0,0.21839080459770116,0.044294762548763904,0.733901404,0.262295719
Australia,71,Early to intermediate,2,Male,1,1992,49,54,211.0,0.04739336492890995,0.014627642774083096,0.733901404,0.305601672
Australia,71,Early to intermediate,2,Female,2,1992,49,54,264.0,0.026515151515151516,0.009888028087127304,0.733901404,0.262295719
Australia,71,Early to intermediate,2,Male,1,1992,55,64,503.0,0.06958250497017893,0.011345012301438424,0.733901404,0.305601672
Australia,71,Early to intermediate,2,Female,2,1992,55,64,639.0,0.06103286384976526,0.009470145279349704,0.733901404,0.262295719
