Prevalence or Incidence,Type ,sex,Age,age_start,age_end,area,First authors,Period,effective_sample_size,Patients with OCD,data_type,value,standard_error,lower_ci,upper_ci
point-prevalence,OCD,Both,14-18,14,18,Global,"Flament MF et al, 1988",1984,5108,51,p,0.009984338292873924,0.0013910900106472858,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Karno M et al, 1988 (1)",1980-1984,5034,60,p,0.011918951132300357,0.0015295324626408515,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Karno M et al, 1988 (2)",1980-1984,3481,59,p,0.01694915254237288,0.0021878118660913267,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Karno M et al, 1988 (3)",1980-1984,3004,33,p,0.010985352862849533,0.001901771800313797,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Karno M et al, 1988 (4)",1980-1984,3921,82,p,0.020913032389696506,0.002285181601490094,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Karno M et al, 1988 (5)",1980-1984,3132,22,p,0.0070242656449553,0.0014923095039317523,,
point-prevalence,OCD,Both,18-64,18,64,Global,"Oakely-Brown MA et al, 1989",1986,1498,12,p,0.00801068090787717,0.0023032034780267434,,
point-prevalence,OCD,Both,16-17,16,17,Global,"Zohar AH et al, 1992",,562,20,p,0.03558718861209965,0.007814661444066865,,
point-prevalence,OCD,Both,18,18,18,Global,"Reinherz HZ et al, 1993",1990,384,5,p,0.013020833333333334,0.005785058707711078,,
point-prevalence,OCD,Both,12-16,12,16,Global,"Valleni Basile et al, 1996",1987-1989,359,8,p,0.022284122562674095,0.0077903483683311936,,
point-prevalence,OCD,Both,18-64,18,64,Global,"Bijl RV et al, 1998 ",1996,7076,21,p,0.0029677784058790278,0.0006466606285487533,,
point-prevalence,OCD,Both,16-64,16,64,Global,"Araya R et al, 2001",1996-1998,3870,50,p,0.012919896640826873,0.001815307642695086,,
point-prevalence,OCD,Both,5-7,5,7,Global,"Heyman I et al, 2001",1999,2845,1,p,0.000351493848857645,0.0003514320694655064,,
point-prevalence,OCD,Both,8-10,8,10,Global,"Heyman I et al, 2001",1999,2816,4,p,0.0014204545454545455,0.0007097226706936056,,
