,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
gamma_p_0,-13.92,4.89,-23.29,-6.96,0.08,0.05,4902.64,5227.83,1.0
gamma_p_1,-4.89,0.23,-5.34,-4.47,0.0,0.0,5313.03,5899.11,1.0
gamma_p_2,-3.38,0.22,-3.79,-2.95,0.0,0.0,5067.78,5862.25,1.0
gamma_p_3,-2.87,0.24,-3.32,-2.43,0.01,0.0,1314.1,2972.75,1.01
gamma_p_4,-3.13,0.2,-3.49,-2.71,0.01,0.01,822.95,1530.23,1.01
gamma_p_5,-3.3,0.19,-3.66,-2.93,0.01,0.0,764.23,1326.81,1.01
gamma_p_6,-3.47,0.21,-3.85,-3.08,0.01,0.0,852.0,1302.32,1.01
gamma_p_7,-3.75,0.28,-4.32,-3.28,0.01,0.0,1480.92,1651.37,1.0
gamma_p_8,-5.34,2.19,-9.17,-3.35,0.08,0.06,1485.45,767.29,1.01
gamma_p_9,-9.41,4.8,-18.71,-3.78,0.14,0.1,1322.65,2364.72,1.01
gamma_p_10,-14.26,5.38,-23.91,-5.27,0.12,0.09,1920.3,3289.67,1.01
sigma_alpha_p_0_z,-0.28,0.92,-2.09,1.38,0.01,0.01,6907.29,7765.37,1.0
sigma_alpha_p_1_z,-0.28,0.89,-1.98,1.37,0.01,0.01,7552.25,7897.16,1.0
sigma_alpha_p_2_z,-0.25,0.91,-1.96,1.44,0.01,0.01,6969.03,7688.58,1.0
beta_p_x_sex,0.01,1.0,-1.79,1.94,0.01,0.01,7462.41,7522.71,1.0
eta_p,0.03,0.03,0.0,0.08,0.0,0.0,5828.77,5999.22,1.0
mu_age_p[0],0.0,0.0,0.0,0.0,0.0,0.0,4902.64,5233.39,1.0
mu_age_p[1],0.0,0.0,0.0,0.0,0.0,0.0,5534.87,6429.88,1.0
mu_age_p[2],0.0,0.0,0.0,0.0,0.0,0.0,5301.89,6480.42,1.0
mu_age_p[3],0.0,0.0,0.0,0.0,0.0,0.0,5258.22,6267.21,1.0
mu_age_p[4],0.0,0.0,0.0,0.0,0.0,0.0,5256.18,6150.76,1.0
mu_age_p[5],0.0,0.0,0.0,0.01,0.0,0.0,5262.69,6053.87,1.0
mu_age_p[6],0.0,0.0,0.0,0.01,0.0,0.0,5273.83,5987.07,1.0
mu_age_p[7],0.01,0.0,0.0,0.01,0.0,0.0,5284.67,5942.28,1.0
mu_age_p[8],0.01,0.0,0.0,0.01,0.0,0.0,5295.52,5992.1,1.0
mu_age_p[9],0.01,0.0,0.0,0.01,0.0,0.0,5304.68,6042.4,1.0
mu_age_p[10],0.01,0.0,0.0,0.01,0.0,0.0,5313.03,5884.07,1.0
mu_age_p[11],0.01,0.0,0.01,0.01,0.0,0.0,6003.17,7393.74,1.0
mu_age_p[12],0.01,0.0,0.01,0.02,0.0,0.0,6226.88,7409.19,1.0
mu_age_p[13],0.02,0.0,0.01,0.02,0.0,0.0,6018.09,6899.4,1.0
mu_age_p[14],0.02,0.0,0.01,0.02,0.0,0.0,5742.23,6448.52,1.0
