region,mean_prev
Armenia,0.08845580019235882
Azerbaijan,0.07215614699868204
Georgia,0.09773048307461152
Kazakhstan,0.07539074718625395
Kyrgyzstan,0.06957934398096648
Mongolia,0.06329444875202342
Tajikistan,0.06174700903007748
Turkmenistan,0.07055947042303498
Uzbekistan,0.06377413148434029
Albania,0.09844897477482703
Bosnia and Herzegovina,0.09935837399012538
Bulgaria,0.10396338757928239
Croatia,0.10495800372450197
Czechia,0.10101108055827811
Hungary,0.10249126279146716
Montenegro,0.09485245927528575
North Macedonia,0.08938389267156825
Poland,0.09722576257417904
Romania,0.10123602466150652
Serbia,0.10084882008233904
Slovakia,0.09400879121544439
Slovenia,0.10385429041080509
Belarus,0.08863620090631015
Estonia,0.09683216964499955
Latvia,0.09878955046268144
Lithuania,0.10003077712825119
Republic of Moldova,0.0846325098210798
Russian Federation,0.0771091171001532
Ukraine,0.088773227623557
Australia,0.11728525564599158
New Zealand,0.12252041967983367
Brunei Darussalam,0.0828597872307855
Japan,0.1105214892039383
Republic of Korea,0.0957103805211828
Singapore,0.18960379117217854
Canada,0.12330493964554876
Greenland,0.10398569340552026
United States of America,0.12012062539201293
Argentina,0.10321763904661063
Chile,0.10629426742002822
Uruguay,0.11661944414092797
Andorra,0.1106737400116726
Austria,0.12365290227872382
Belgium,0.12584324089561372
Cyprus,0.10391367714454859
Denmark,0.12745141871061005
Finland,0.13207449964232307
France,0.12907464005949892
Germany,0.13037183904116534
Greece,0.12943169852665853
Iceland,0.1165098527627032
Ireland,0.11086193654552681
Israel,0.10834774040457526
Italy,0.1320239334787698
Luxembourg,0.11060222376764474
Malta,0.12623835931529062
Monaco,0.13904660507998318
Netherlands,0.12685999113171093
Norway,0.11994926549391362
Portugal,0.12914493117921375
San Marino,0.12365975366018683
Spain,0.1229708507606415
Sweden,0.12751122670536652
Switzerland,0.12190885071809966
United Kingdom,0.12152977441560918
Bolivia (Plurinational State of),0.0752432220660105
Ecuador,0.07964395042973903
Peru,0.08096984746318515
Antigua and Barbuda,0.08419449590965275
Bahamas,0.08110003693418467
Barbados,0.10073530176182717
Belize,0.07136743132252865
