area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Australia,71,Early to intermediate,2,Male,1,1992,49,54,211.0,0.0473933649289099,0.014627642774083,0.733901404,0.305601672,p,,,
Australia,71,Early to intermediate,2,Female,2,1992,49,54,264.0,0.0265151515151515,0.0098880280871273,0.733901404,0.262295719,p,,,
Australia,71,Early to intermediate,2,Male,1,1992,55,64,503.0,0.0695825049701789,0.0113450123014384,0.733901404,0.305601672,p,,,
Australia,71,Early to intermediate,2,Female,2,1992,55,64,639.0,0.0610328638497652,0.0094701452793497,0.733901404,0.262295719,p,,,
Australia,71,Early to intermediate,2,Male,1,1992,65,74,506.0,0.1442687747035573,0.01561994869174,0.733901404,0.305601672,p,,,
Australia,71,Early to intermediate,2,Female,2,1992,65,74,654.0,0.1697247706422018,0.0146789429200029,0.733901404,0.262295719,p,,,
Australia,71,Early to intermediate,2,Male,1,1992,75,84,246.0,0.2439024390243902,0.0273797473711334,0.733901404,0.305601672,p,,,
Australia,71,Early to intermediate,2,Female,2,1992,75,84,323.0,0.2724458204334365,0.0247725939253203,0.733901404,0.262295719,p,,,
Australia,71,Early to intermediate,2,Male,1,1992,85,95,35.0,0.3142857142857143,0.0784693214086394,0.733901404,0.305601672,p,,,
Australia,71,Early to intermediate,2,Female,2,1992,85,95,47.0,0.4680851063829787,0.072783771800876,0.733901404,0.262295719,p,,,
Australia,71,Late,3,Male,1,1992,49,54,215.0,0.0,0.0,0.733901404,0.305601672,p,,,
Australia,71,Late,3,Female,2,1992,49,54,270.0,0.0,0.0,0.733901404,0.262295719,p,,,
Australia,71,Late,3,Male,1,1992,55,64,513.0,0.0,0.0,0.733901404,0.305601672,p,,,
Australia,71,Late,3,Female,2,1992,55,64,659.0,0.0015174506828528,0.0015162989174626,0.733901404,0.262295719,p,,,
Australia,71,Late,3,Male,1,1992,65,74,513.0,0.0058479532163742,0.003366430615184,0.733901404,0.305601672,p,,,
Australia,71,Late,3,Female,2,1992,65,74,659.0,0.0091047040971168,0.0037000201903277,0.733901404,0.262295719,p,,,
Australia,71,Late,3,Male,1,1992,75,84,279.0,0.078853046594982,0.016135097614995,0.733901404,0.305601672,p,,,
Australia,71,Late,3,Female,2,1992,75,84,374.0,0.106951871657754,0.0159807009951339,0.733901404,0.262295719,p,,,
Australia,71,Late,3,Male,1,1992,85,95,48.0,0.125,0.0477351634891233,0.733901404,0.305601672,p,,,
Australia,71,Late,3,Female,2,1992,85,95,87.0,0.2183908045977011,0.0442947625487639,0.733901404,0.262295719,p,,,
Netherlands,89,Early to intermediate,2,Both,3,1990,55,64,3220.0,0.3981366459627329,0.0086265489581172,0.794612123,0.407778835,p,,,
Netherlands,89,Early to intermediate,2,Both,3,1990,65,74,3247.0,0.5140129350169387,0.0087711842665457,0.794612123,0.407778835,p,,,
Netherlands,89,Early to intermediate,2,Both,3,1990,75,84,2301.0,0.5601912212081703,0.0103476513403474,0.794612123,0.407778835,p,,,
Netherlands,89,Early to intermediate,2,Both,3,1990,85,98,1006.0,0.525844930417495,0.0157430927632786,0.794612123,0.407778835,p,,,
Netherlands,89,Early,4,Both,3,1990,55,64,3220.0,0.3611801242236024,0.0084649265806236,0.794612123,0.407778835,p,,,
Netherlands,89,Early,4,Both,3,1990,65,74,3247.0,0.4619648906683092,0.0087492061403814,0.794612123,0.407778835,p,,,
Netherlands,89,Early,4,Both,3,1990,75,84,2301.0,0.4671881790525858,0.0104009866564309,0.794612123,0.407778835,p,,,
Netherlands,89,Early,4,Both,3,1990,85,98,1006.0,0.3727634194831014,0.0152452075896544,0.794612123,0.407778835,p,,,
Netherlands,89,Intermediate,5,Male,1,1990,55,64,1418.0,0.0409026798307475,0.0052597984734444,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,55,64,1802.0,0.0338512763596004,0.0042602209438951,0.794612123,0.383810069,p,,,
Netherlands,89,Intermediate,5,Male,1,1990,65,74,1382.0,0.0723589001447178,0.0069691842751222,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,65,74,1865.0,0.0369973190348525,0.0043707851344122,0.794612123,0.383810069,p,,,
Netherlands,89,Intermediate,5,Male,1,1990,75,84,796.0,0.1030150753768844,0.0107742346684545,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,75,84,1505.0,0.0870431893687707,0.0072664830408466,0.794612123,0.383810069,p,,,
Netherlands,89,Intermediate,5,Male,1,1990,85,98,191.0,0.2041884816753926,0.02916782506439,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,85,98,815.0,0.1374233128834356,0.0120600820007374,0.794612123,0.383810069,p,,,
Netherlands,89,Late-wet,6,Male,1,1990,55,64,1418.0,0.0007052186177715,0.0007049699072655,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,55,64,1802.0,0.0011098779134295,0.0007843665606518,0.794612123,0.383810069,p,,,
Netherlands,89,Late-wet,6,Male,1,1990,65,74,1382.0,0.0028943560057887,0.0014450821610952,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,65,74,1865.0,0.0048257372654155,0.001604693104592,0.794612123,0.383810069,p,,,
Netherlands,89,Late-wet,6,Male,1,1990,75,84,796.0,0.0238693467336683,0.0054102546661858,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,75,84,1505.0,0.0239202657807308,0.0039387407692875,0.794612123,0.383810069,p,,,
Netherlands,89,Late-wet,6,Male,1,1990,85,98,191.0,0.0680628272251308,0.0182234930898001,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,85,98,815.0,0.0748466257668711,0.0092175218831573,0.794612123,0.383810069,p,,,
Netherlands,89,Late-dry,7,Male,1,1990,55,64,1418.0,0.0021156558533145,0.001220181682472,0.794612123,0.4341561,p,,,
Netherlands,89,Late-dry,7,Female,2,1990,55,64,1802.0,0.0,0.0,0.794612123,0.383810069,p,,,
Netherlands,89,Late-dry,7,Male,1,1990,65,74,1382.0,0.0057887120115774,0.0020406865180964,0.794612123,0.4341561,p,,,
Netherlands,89,Late-dry,7,Female,2,1990,65,74,1865.0,0.0021447721179624,0.0010712354298312,0.794612123,0.383810069,p,,,
Netherlands,89,Late-dry,7,Male,1,1990,75,84,796.0,0.0113065326633165,0.0037474773730296,0.794612123,0.4341561,p,,,
