area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Netherlands,89,Late-dry,7,Male,1,1990,55,64,1418.0,0.0021156558533145,0.001220181682472,0.794612123,0.4341561,p,,,
Netherlands,89,Late-dry,7,Female,2,1990,55,64,1802.0,0.0,0.0,0.794612123,0.383810069,p,,,
Netherlands,89,Late-dry,7,Male,1,1990,65,74,1382.0,0.0057887120115774,0.0020406865180964,0.794612123,0.4341561,p,,,
Netherlands,89,Late-dry,7,Female,2,1990,65,74,1865.0,0.0021447721179624,0.0010712354298312,0.794612123,0.383810069,p,,,
Netherlands,89,Late-dry,7,Male,1,1990,75,84,796.0,0.0113065326633165,0.0037474773730296,0.794612123,0.4341561,p,,,
Netherlands,89,Late-dry,7,Female,2,1990,75,84,1505.0,0.013953488372093,0.0030235826733012,0.794612123,0.383810069,p,,,
Netherlands,89,Late-dry,7,Male,1,1990,85,98,191.0,0.0261780104712041,0.0115529108861044,0.794612123,0.4341561,p,,,
Netherlands,89,Late-dry,7,Female,2,1990,85,98,815.0,0.0404907975460122,0.0069043680368193,0.794612123,0.383810069,p,,,
Finland,79,Late-dry,7,Male,1,1991,70,95,173.0,0.0635838150289017,0.0185517419675478,0.758410687,0.340418945,p,,,
Finland,79,Late-dry,7,Female,2,1991,70,95,305.0,0.0327868852459016,0.0101967377299646,0.758410687,0.262293227,p,,,
Barbados,107,Late-dry,7,Male,1,1995,40,95,714.0,0.0014005602240896,0.0013995790959663,0.676012247,0.165614195,p,,,
Barbados,107,Late-dry,7,Female,2,1995,40,95,958.0,0.0,0.0,0.676012247,0.049164157,p,,,
Italy,86,Late-dry,7,Both,3,1991,60,74,136.0,0.0,0.0,0.711457349,0.321166262,p,,,
Italy,86,Late-dry,7,Both,3,1991,75,89,48.0,0.0208333333333333,0.0206151772344408,0.711457349,0.321166262,p,,,
Greece,82,Late-dry,7,Male,1,1993,40,49,5.0,0.0,0.0,0.693328926,0.526185095,p,,,
Greece,82,Late-dry,7,Female,2,1993,40,49,18.0,0.0,0.0,0.693328926,0.325969531,p,,,
Greece,82,Late-dry,7,Male,1,1993,50,59,35.0,0.0,0.0,0.693328926,0.526185095,p,,,
Greece,82,Late-dry,7,Female,2,1993,50,59,92.0,0.0,0.0,0.693328926,0.325969531,p,,,
Greece,82,Late-dry,7,Male,1,1993,60,69,95.0,0.0,0.0,0.693328926,0.526185095,p,,,
Greece,82,Late-dry,7,Female,2,1993,60,69,153.0,0.0,0.0,0.693328926,0.325969531,p,,,
Greece,82,Late-dry,7,Male,1,1993,70,79,126.0,0.0079365079365079,0.0079049511199364,0.693328926,0.526185095,p,,,
Greece,82,Late-dry,7,Female,2,1993,70,79,172.0,0.005813953488372,0.0057970278236708,0.693328926,0.325969531,p,,,
Greece,82,Late-dry,7,Male,1,1993,80,99,54.0,0.1296296296296296,0.0457095882541626,0.693328926,0.526185095,p,,,
Greece,82,Late-dry,7,Female,2,1993,80,99,27.0,0.074074074074074,0.0504010235140571,0.693328926,0.325969531,p,,,
Australia,71,Late-dry,7,Male,1,1992,40,49,558.0,0.0,0.0,0.733901404,0.305601672,p,,,
Australia,71,Late-dry,7,Female,2,1992,40,49,705.0,0.0,0.0,0.733901404,0.262295719,p,,,
Australia,71,Late-dry,7,Male,1,1992,50,59,628.0,0.0,0.0,0.733901404,0.305601672,p,,,
Australia,71,Late-dry,7,Female,2,1992,50,59,712.0,0.0,0.0,0.733901404,0.262295719,p,,,
Australia,71,Late-dry,7,Male,1,1992,60,69,591.0,0.0016920473773265,0.0016906152591035,0.733901404,0.305601672,p,,,
Australia,71,Late-dry,7,Female,2,1992,60,69,620.0,0.0,0.0,0.733901404,0.262295719,p,,,
Australia,71,Late-dry,7,Male,1,1992,70,79,384.0,0.0026041666666666,0.0026007736141942,0.733901404,0.305601672,p,,,
Australia,71,Late-dry,7,Female,2,1992,70,79,427.0,0.0070257611241217,0.0040420505742561,0.733901404,0.262295719,p,,,
Australia,71,Late-dry,7,Male,1,1992,80,89,118.0,0.0,0.0,0.733901404,0.305601672,p,,,
Australia,71,Late-dry,7,Female,2,1992,80,89,285.0,0.0385964912280701,0.0114104910319102,0.733901404,0.262295719,p,,,
Australia,71,Late-dry,7,Male,1,1992,90,95,18.0,0.5,0.1178511301977579,0.733901404,0.305601672,p,,,
Australia,71,Late-dry,7,Female,2,1992,90,95,101.0,0.198019801980198,0.0396529449050481,0.733901404,0.262295719,p,,,
Japan,67,Late-dry,7,Male,1,1998,50,59,155.0,0.0,0.0,0.819016202,0.525779981,p,,,
Japan,67,Late-dry,7,Female,2,1998,50,59,285.0,0.0,0.0,0.819016202,0.147906099,p,,,
Japan,67,Late-dry,7,Male,1,1998,60,69,231.0,0.0086580086580086,0.0060955762627007,0.819016202,0.525779981,p,,,
Japan,67,Late-dry,7,Female,2,1998,60,69,334.0,0.0,0.0,0.819016202,0.147906099,p,,,
Japan,67,Late-dry,7,Male,1,1998,70,79,180.0,0.0,0.0,0.819016202,0.525779981,p,,,
Japan,67,Late-dry,7,Female,2,1998,70,79,211.0,0.0,0.0,0.819016202,0.147906099,p,,,
Japan,67,Late-dry,7,Male,1,1998,80,95,32.0,0.03125,0.0307578432578586,0.819016202,0.525779981,p,,,
Japan,67,Late-dry,7,Female,2,1998,80,95,58.0,0.0,0.0,0.819016202,0.147906099,p,,,
Iceland,83,Late-dry,7,Male,1,1996,50,59,166.0,0.0,0.0,0.78535642,0.288081062,p,,,
Iceland,83,Late-dry,7,Female,2,1996,50,59,167.0,0.0059880239520958,0.0059700688173673,0.78535642,0.271188707,p,,,
Iceland,83,Late-dry,7,Male,1,1996,60,69,133.0,0.0150375939849624,0.0105529330819623,0.78535642,0.288081062,p,,,
Iceland,83,Late-dry,7,Female,2,1996,60,69,200.0,0.01,0.0070356236397351,0.78535642,0.271188707,p,,,
Iceland,83,Late-dry,7,Male,1,1996,70,79,98.0,0.0408163265306122,0.0199873311965045,0.78535642,0.288081062,p,,,
Iceland,83,Late-dry,7,Female,2,1996,70,79,108.0,0.0648148148148148,0.0236904916454104,0.78535642,0.271188707,p,,,
Iceland,83,Late-dry,7,Male,1,1996,80,95,28.0,0.1785714285714285,0.0723788824444444,0.78535642,0.288081062,p,,,
Iceland,83,Late-dry,7,Female,2,1996,80,95,26.0,0.3076923076923077,0.0905151392945464,0.78535642,0.271188707,p,,,
