original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev,data_type,upper_ci,lower_ci
32,United States of America,102,Intermediate,5,Male,1,2002,45,54,99,0.0,0.0,Asian ancestry,0.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363,p,,
33,United States of America,102,Intermediate,5,Female,2,2002,45,54,102,0.0098039215686274,0.0097557447583078,Asian ancestry,1.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071,p,,
34,United States of America,102,Intermediate,5,Male,1,2002,55,64,96,0.03125,0.017758049084617,Asian ancestry,3.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363,p,,
35,United States of America,102,Intermediate,5,Female,2,2002,55,64,103,0.0097087378640776,0.0096614931172165,Asian ancestry,1.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071,p,,
36,United States of America,102,Intermediate,5,Male,1,2002,65,74,100,0.05,0.0217944947177033,Asian ancestry,5.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363,p,,
37,United States of America,102,Intermediate,5,Female,2,2002,65,74,101,0.0495049504950495,0.0215843292924582,Asian ancestry,5.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071,p,,
38,United States of America,102,Intermediate,5,Male,1,2002,75,85,47,0.1489361702127659,0.0519316628327749,Asian ancestry,7.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363,p,,
39,United States of America,102,Intermediate,5,Female,2,2002,75,85,43,0.0697674418604651,0.0388497241667235,Asian ancestry,3.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071,p,,
48,China,6,Intermediate,5,Both,3,2001,40,44,733,0.1678035470668485,0.0138026193541287,Asian ancestry,123.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
49,China,6,Intermediate,5,Both,3,2001,45,49,710,0.1619718309859155,0.0138267426608669,Asian ancestry,115.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
50,China,6,Intermediate,5,Both,3,2001,50,54,595,0.1361344537815126,0.0140588119006916,Asian ancestry,81.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
51,China,6,Intermediate,5,Both,3,2001,55,59,576,0.1319444444444444,0.0141012649664481,Asian ancestry,76.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
52,China,6,Intermediate,5,Both,3,2001,60,64,726,0.1666666666666666,0.0138313777147769,Asian ancestry,121.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
53,China,6,Intermediate,5,Both,3,2001,65,69,554,0.1263537906137184,0.014115850617249,Asian ancestry,70.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
54,China,6,Intermediate,5,Both,3,2001,70,74,302,0.0695364238410596,0.0146370107866914,Asian ancestry,21.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
55,China,6,Intermediate,5,Both,3,2001,75,95,180,0.0388888888888888,0.014409977872193,Asian ancestry,7.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542,p,,
115,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,65,69,246,0.056910569105691,0.0147708452991923,Asian ancestry,14.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674,p,,
116,Taiwan (Province of China),8,Intermediate,5,Female,2,1999,65,69,158,0.0379746835443038,0.0152058880488617,Asian ancestry,6.0,Intermediate,33.25530514837849,0.745338399,32.724432592605,p,,
117,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,70,74,260,0.0769230769230769,0.0165257278624484,Asian ancestry,20.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674,p,,
118,Taiwan (Province of China),8,Intermediate,5,Female,2,1999,70,74,128,0.078125,0.0237206207060373,Asian ancestry,10.0,Intermediate,33.25530514837849,0.745338399,32.724432592605,p,,
119,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,75,79,101,0.1188118811881188,0.0321961220954748,Asian ancestry,12.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674,p,,
