original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev,data_type,upper_ci,lower_ci
44,Netherlands,89,Late-dry,7,Male,1,1990,55,64,1418,0.0021156558533145,0.001220181682472,NR,3.0000000000000004,Late-dry,10.83692284872054,0.794612123,48.33573342005104,p,,
45,Netherlands,89,Late-dry,7,Female,2,1990,55,64,1802,0.0,0.0,NR,0.0,Late-dry,19.33687630462064,0.794612123,43.5806991988576,p,,
46,Netherlands,89,Late-dry,7,Male,1,1990,65,74,1382,0.0057887120115774,0.0020406865180964,NR,7.999999999999999,Late-dry,10.83692284872054,0.794612123,48.33573342005104,p,,
47,Netherlands,89,Late-dry,7,Female,2,1990,65,74,1865,0.0021447721179624,0.0010712354298312,NR,4.0,Late-dry,19.33687630462064,0.794612123,43.5806991988576,p,,
48,Netherlands,89,Late-dry,7,Male,1,1990,75,84,796,0.0113065326633165,0.0037474773730296,NR,9.0,Late-dry,10.83692284872054,0.794612123,48.33573342005104,p,,
49,Netherlands,89,Late-dry,7,Female,2,1990,75,84,1505,0.013953488372093,0.0030235826733012,NR,21.0,Late-dry,19.33687630462064,0.794612123,43.5806991988576,p,,
50,Netherlands,89,Late-dry,7,Male,1,1990,85,98,191,0.0261780104712041,0.0115529108861044,NR,5.0,Late-dry,10.83692284872054,0.794612123,48.33573342005104,p,,
51,Netherlands,89,Late-dry,7,Female,2,1990,85,98,815,0.0404907975460122,0.0069043680368193,NR,33.0,Late-dry,19.33687630462064,0.794612123,43.5806991988576,p,,
54,Finland,79,Late-dry,7,Male,1,1991,70,95,173,0.0635838150289017,0.0185517419675478,NR,11.0,Late-dry,15.96813022309119,0.758410687,37.08989324654487,p,,
55,Finland,79,Late-dry,7,Female,2,1991,70,95,305,0.0327868852459016,0.0101967377299646,NR,10.0,Late-dry,29.838789144139938,0.758410687,29.543637911979097,p,,
78,Italy,86,Late-dry,7,Both,3,1991,60,74,272,0.0,0.0,NR,0.0,Late-dry,27.22968054236638,0.711457349,40.974435933793416,p,,
79,Italy,86,Late-dry,7,Both,3,1991,75,89,96,0.0208333333333333,0.0145771316178356,NR,2.0,Late-dry,27.22968054236638,0.711457349,40.974435933793416,p,,
106,Greece,82,Late-dry,7,Male,1,1993,40,49,5,0.0,0.0,NR,0.0,Late-dry,14.046649646659851,0.693328926,60.87086615708489,p,,
107,Greece,82,Late-dry,7,Female,2,1993,40,49,18,0.0,0.0,NR,0.0,Late-dry,24.376106304232533,0.693328926,42.93294471587442,p,,
108,Greece,82,Late-dry,7,Male,1,1993,50,59,35,0.0,0.0,NR,0.0,Late-dry,14.046649646659851,0.693328926,60.87086615708489,p,,
109,Greece,82,Late-dry,7,Female,2,1993,50,59,92,0.0,0.0,NR,0.0,Late-dry,24.376106304232533,0.693328926,42.93294471587442,p,,
110,Greece,82,Late-dry,7,Male,1,1993,60,69,95,0.0,0.0,NR,0.0,Late-dry,14.046649646659851,0.693328926,60.87086615708489,p,,
111,Greece,82,Late-dry,7,Female,2,1993,60,69,153,0.0,0.0,NR,0.0,Late-dry,24.376106304232533,0.693328926,42.93294471587442,p,,
112,Greece,82,Late-dry,7,Male,1,1993,70,79,126,0.0079365079365079,0.0079049511199364,NR,1.0,Late-dry,14.046649646659851,0.693328926,60.87086615708489,p,,
113,Greece,82,Late-dry,7,Female,2,1993,70,79,172,0.005813953488372,0.0057970278236708,NR,1.0,Late-dry,24.376106304232533,0.693328926,42.93294471587442,p,,
114,Greece,82,Late-dry,7,Male,1,1993,80,99,54,0.1296296296296296,0.0457095882541626,NR,7.0,Late-dry,14.046649646659851,0.693328926,60.87086615708489,p,,
115,Greece,82,Late-dry,7,Female,2,1993,80,99,27,0.074074074074074,0.0504010235140571,NR,2.0,Late-dry,24.376106304232533,0.693328926,42.93294471587442,p,,
140,Australia,71,Late-dry,7,Male,1,1992,40,49,558,0.0,0.0,NR,0.0,Late-dry,25.79390785187702,0.733901404,38.97893443112841,p,,
141,Australia,71,Late-dry,7,Female,2,1992,40,49,705,0.0,0.0,NR,0.0,Late-dry,35.33903138197924,0.733901404,34.20508105104858,p,,
142,Australia,71,Late-dry,7,Male,1,1992,50,59,628,0.0,0.0,NR,0.0,Late-dry,25.79390785187702,0.733901404,38.97893443112841,p,,
143,Australia,71,Late-dry,7,Female,2,1992,50,59,712,0.0,0.0,NR,0.0,Late-dry,35.33903138197924,0.733901404,34.20508105104858,p,,
144,Australia,71,Late-dry,7,Male,1,1992,60,69,591,0.0016920473773265,0.0016906152591035,NR,1.0,Late-dry,25.79390785187702,0.733901404,38.97893443112841,p,,
145,Australia,71,Late-dry,7,Female,2,1992,60,69,620,0.0,0.0,NR,0.0,Late-dry,35.33903138197924,0.733901404,34.20508105104858,p,,
146,Australia,71,Late-dry,7,Male,1,1992,70,79,384,0.0026041666666666,0.0026007736141942,NR,1.0,Late-dry,25.79390785187702,0.733901404,38.97893443112841,p,,
147,Australia,71,Late-dry,7,Female,2,1992,70,79,427,0.0070257611241217,0.0040420505742561,NR,3.0,Late-dry,35.33903138197924,0.733901404,34.20508105104858,p,,
148,Australia,71,Late-dry,7,Male,1,1992,80,89,118,0.0,0.0,NR,0.0,Late-dry,25.79390785187702,0.733901404,38.97893443112841,p,,
149,Australia,71,Late-dry,7,Female,2,1992,80,89,285,0.0385964912280701,0.0114104910319102,NR,11.0,Late-dry,35.33903138197924,0.733901404,34.20508105104858,p,,
150,Australia,71,Late-dry,7,Male,1,1992,90,95,18,0.5,0.1178511301977579,NR,9.0,Late-dry,25.79390785187702,0.733901404,38.97893443112841,p,,
151,Australia,71,Late-dry,7,Female,2,1992,90,95,101,0.198019801980198,0.0396529449050481,NR,20.0,Late-dry,35.33903138197924,0.733901404,34.20508105104858,p,,
168,Japan,67,Late-dry,7,Male,1,1998,50,59,155,0.0,0.0,NR,0.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066,p,,
169,Japan,67,Late-dry,7,Female,2,1998,50,59,285,0.0,0.0,NR,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257,p,,
170,Japan,67,Late-dry,7,Male,1,1998,60,69,231,0.0086580086580086,0.0060955762627007,NR,2.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066,p,,
171,Japan,67,Late-dry,7,Female,2,1998,60,69,334,0.0,0.0,NR,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257,p,,
172,Japan,67,Late-dry,7,Male,1,1998,70,79,180,0.0,0.0,NR,0.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066,p,,
173,Japan,67,Late-dry,7,Female,2,1998,70,79,211,0.0,0.0,NR,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257,p,,
174,Japan,67,Late-dry,7,Male,1,1998,80,95,32,0.03125,0.0307578432578586,NR,1.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066,p,,
175,Japan,67,Late-dry,7,Female,2,1998,80,95,58,0.0,0.0,NR,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257,p,,
204,Iceland,83,Late-dry,7,Male,1,1996,50,59,166,0.0,0.0,NR,0.0,Late-dry,16.942705906454698,0.78535642,44.08721977729689,p,,
205,Iceland,83,Late-dry,7,Female,2,1996,50,59,167,0.0059880239520958,0.0059700688173673,NR,1.0,Late-dry,27.606179400875703,0.78535642,35.50515615570783,p,,
206,Iceland,83,Late-dry,7,Male,1,1996,60,69,133,0.0150375939849624,0.0105529330819623,NR,2.0,Late-dry,16.942705906454698,0.78535642,44.08721977729689,p,,
207,Iceland,83,Late-dry,7,Female,2,1996,60,69,200,0.01,0.0070356236397351,NR,2.0,Late-dry,27.606179400875703,0.78535642,35.50515615570783,p,,
208,Iceland,83,Late-dry,7,Male,1,1996,70,79,98,0.0408163265306122,0.0199873311965045,NR,4.0,Late-dry,16.942705906454698,0.78535642,44.08721977729689,p,,
209,Iceland,83,Late-dry,7,Female,2,1996,70,79,108,0.0648148148148148,0.0236904916454104,NR,7.0,Late-dry,27.606179400875703,0.78535642,35.50515615570783,p,,
210,Iceland,83,Late-dry,7,Male,1,1996,80,95,28,0.1785714285714285,0.0723788824444444,NR,5.0,Late-dry,16.942705906454698,0.78535642,44.08721977729689,p,,
211,Iceland,83,Late-dry,7,Female,2,1996,80,95,26,0.3076923076923077,0.0905151392945464,NR,8.0,Late-dry,27.606179400875703,0.78535642,35.50515615570783,p,,
223,Lithuania,60,Late-dry,7,Both,3,2001,35,64,1357,0.0,0.0,NR,0.0,Late-dry,16.461614450137798,0.727133585,32.75123880228238,p,,
244,United States of America,102,Late-dry,7,Male,1,2004,40,49,957,0.0010449320794148,0.001044385995197,NR,1.0,Late-dry,14.228503173847578,0.805304692,34.183704542571704,p,,
245,United States of America,102,Late-dry,7,Female,2,2004,40,49,1339,0.0,0.0,NR,0.0,Late-dry,26.26374001286237,0.805304692,29.73308701940423,p,,
246,United States of America,102,Late-dry,7,Male,1,2004,50,59,739,0.0013531799729364,0.0013522641149817,NR,1.0,Late-dry,14.228503173847578,0.805304692,34.183704542571704,p,,
247,United States of America,102,Late-dry,7,Female,2,2004,50,59,1055,0.0,0.0,NR,0.0,Late-dry,26.26374001286237,0.805304692,29.73308701940423,p,,
248,United States of America,102,Late-dry,7,Male,1,2004,60,69,470,0.0042553191489361,0.0030025561478537,NR,2.0,Late-dry,14.228503173847578,0.805304692,34.183704542571704,p,,
249,United States of America,102,Late-dry,7,Female,2,2004,60,69,665,0.0045112781954887,0.00259870602981,NR,3.0,Late-dry,26.26374001286237,0.805304692,29.73308701940423,p,,
250,United States of America,102,Late-dry,7,Male,1,2004,70,79,236,0.0042372881355932,0.0042283013001622,NR,1.0,Late-dry,14.228503173847578,0.805304692,34.183704542571704,p,,
251,United States of America,102,Late-dry,7,Female,2,2004,70,79,296,0.0033783783783783,0.0033726668301206,NR,1.0,Late-dry,26.26374001286237,0.805304692,29.73308701940423,p,,
252,United States of America,102,Late-dry,7,Male,1,2004,80,95,45,0.1111111111111111,0.0468485579284204,NR,5.0,Late-dry,14.228503173847578,0.805304692,34.183704542571704,p,,
253,United States of America,102,Late-dry,7,Female,2,2004,80,95,73,0.0547945205479452,0.026636076335416,NR,4.0,Late-dry,26.26374001286237,0.805304692,29.73308701940423,p,,
303,Greece,82,Late-dry,7,Male,1,2000,60,64,161,0.0,0.0,NR,0.0,Late-dry,14.051245616860742,0.73271054,57.94129440648253,p,,
304,Greece,82,Late-dry,7,Female,2,2000,60,64,150,0.0066666666666666,0.0066444072834338,NR,1.0,Late-dry,24.35877614407825,0.73271054,41.69867769743265,p,,
305,Greece,82,Late-dry,7,Male,1,2000,65,69,486,0.0020576131687242,0.0020554951926933,NR,1.0,Late-dry,14.051245616860742,0.73271054,57.94129440648253,p,,
306,Greece,82,Late-dry,7,Female,2,2000,65,69,408,0.0024509803921568,0.0024479748969832,NR,1.0,Late-dry,24.35877614407825,0.73271054,41.69867769743265,p,,
307,Greece,82,Late-dry,7,Male,1,2000,70,74,388,0.0206185567010309,0.0072142170311596,NR,8.0,Late-dry,14.051245616860742,0.73271054,57.94129440648253,p,,
308,Greece,82,Late-dry,7,Female,2,2000,70,74,306,0.0163398692810457,0.0072474647252812,NR,5.0,Late-dry,24.35877614407825,0.73271054,41.69867769743265,p,,
309,Greece,82,Late-dry,7,Male,1,2000,75,79,180,0.0166666666666666,0.009541980020732,NR,3.0,Late-dry,14.051245616860742,0.73271054,57.94129440648253,p,,
310,Greece,82,Late-dry,7,Female,2,2000,75,79,198,0.0252525252525252,0.0111497690379883,NR,5.0,Late-dry,24.35877614407825,0.73271054,41.69867769743265,p,,
311,Greece,82,Late-dry,7,Male,1,2000,80,95,137,0.0583941605839416,0.0200335999865405,NR,8.0,Late-dry,14.051245616860742,0.73271054,57.94129440648253,p,,
312,Greece,82,Late-dry,7,Female,2,2000,80,95,140,0.0285714285714285,0.014080153722988,NR,4.0,Late-dry,24.35877614407825,0.73271054,41.69867769743265,p,,
341,Norway,90,Late-dry,7,Male,1,2002,51,60,75,0.0,0.0,NR,0.0,Late-dry,21.5664140825293,0.856757888,38.05582485011371,p,,
342,Norway,90,Late-dry,7,Female,2,2002,51,60,85,0.0,0.0,NR,0.0,Late-dry,30.08087921174948,0.856757888,32.401796620109465,p,,
343,Norway,90,Late-dry,7,Male,1,2002,61,70,79,0.0253164556962025,0.0176733843968922,NR,2.0,Late-dry,21.5664140825293,0.856757888,38.05582485011371,p,,
344,Norway,90,Late-dry,7,Female,2,2002,61,70,83,0.0,0.0,NR,0.0,Late-dry,30.08087921174948,0.856757888,32.401796620109465,p,,
345,Norway,90,Late-dry,7,Male,1,2002,71,80,44,0.0227272727272727,0.0224675239369127,NR,1.0,Late-dry,21.5664140825293,0.856757888,38.05582485011371,p,,
346,Norway,90,Late-dry,7,Female,2,2002,71,80,46,0.0,0.0,NR,0.0,Late-dry,30.08087921174948,0.856757888,32.401796620109465,p,,
347,Norway,90,Late-dry,7,Male,1,2002,81,90,25,0.12,0.0649923072370876,NR,3.0,Late-dry,21.5664140825293,0.856757888,38.05582485011371,p,,
348,Norway,90,Late-dry,7,Female,2,2002,81,90,22,0.0454545454545454,0.0444094736781088,NR,1.0,Late-dry,30.08087921174948,0.856757888,32.401796620109465,p,,
