original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev
16,Japan,67,Late-dry,7,Male,1,1998,50,59,155,0.0,0.0,Asian ancestry,0.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066
17,Japan,67,Late-dry,7,Female,2,1998,50,59,285,0.0,0.0,Asian ancestry,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257
18,Japan,67,Late-dry,7,Male,1,1998,60,69,231,0.0086580086580086,0.0060955762627007,Asian ancestry,2.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066
19,Japan,67,Late-dry,7,Female,2,1998,60,69,334,0.0,0.0,Asian ancestry,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257
20,Japan,67,Late-dry,7,Male,1,1998,70,79,180,0.0,0.0,Asian ancestry,0.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066
21,Japan,67,Late-dry,7,Female,2,1998,70,79,211,0.0,0.0,Asian ancestry,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257
22,Japan,67,Late-dry,7,Male,1,1998,80,95,32,0.03125,0.0307578432578586,Asian ancestry,1.0,Late-dry,31.97009867492509,0.819016202,46.91428481221066
23,Japan,67,Late-dry,7,Female,2,1998,80,95,58,0.0,0.0,Asian ancestry,0.0,Late-dry,43.41517567203204,0.819016202,30.504705402988257
72,China,6,Late-dry,7,Both,3,2001,40,44,733,0.0,0.0,Asian ancestry,0.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
73,China,6,Late-dry,7,Both,3,2001,45,49,710,0.0,0.0,Asian ancestry,0.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
74,China,6,Late-dry,7,Both,3,2001,50,54,595,0.0,0.0,Asian ancestry,0.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
75,China,6,Late-dry,7,Both,3,2001,55,59,576,0.0,0.0,Asian ancestry,0.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
76,China,6,Late-dry,7,Both,3,2001,60,64,726,0.0013774104683195,0.0013764615116321,Asian ancestry,1.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
77,China,6,Late-dry,7,Both,3,2001,65,69,554,0.0,0.0,Asian ancestry,0.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
78,China,6,Late-dry,7,Both,3,2001,70,74,302,0.0,0.0,Asian ancestry,0.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
79,China,6,Late-dry,7,Both,3,2001,75,95,180,0.0,0.0,Asian ancestry,0.0,Late-dry,14.31813828565601,0.553680374,44.28757119711542
104,Brazil,135,Late-dry,7,Both,3,2002,60,95,478,0.00418410041841,0.0029524097391772,Asian ancestry,2.0,Late-dry,21.90408330754095,0.552776035,35.87637986963295
156,Republic of Korea,68,Late-dry,7,Both,3,2006,50,92,10551,0.0009477774618519,0.0002995714848995,Asian ancestry,10.0,Late-dry,22.91578855416849,0.82417982,35.15203003888498
195,China,6,Late-dry,7,Male,1,2006,30,39,549,0.0,0.0,Asian ancestry,0.0,Late-dry,11.27346023584938,0.59875817,50.46813324189967
196,China,6,Late-dry,7,Female,2,2006,30,39,671,0.0,0.0,Asian ancestry,0.0,Late-dry,19.86149612415943,0.59875817,32.35682918988798
197,China,6,Late-dry,7,Male,1,2006,40,49,597,0.0,0.0,Asian ancestry,0.0,Late-dry,11.27346023584938,0.59875817,50.46813324189967
198,China,6,Late-dry,7,Female,2,2006,40,49,715,0.0,0.0,Asian ancestry,0.0,Late-dry,19.86149612415943,0.59875817,32.35682918988798
199,China,6,Late-dry,7,Male,1,2006,50,59,1134,0.0,0.0,Asian ancestry,0.0,Late-dry,11.27346023584938,0.59875817,50.46813324189967
200,China,6,Late-dry,7,Female,2,2006,50,59,1304,0.0,0.0,Asian ancestry,0.0,Late-dry,19.86149612415943,0.59875817,32.35682918988798
201,China,6,Late-dry,7,Male,1,2006,60,69,537,0.0,0.0,Asian ancestry,0.0,Late-dry,11.27346023584938,0.59875817,50.46813324189967
202,China,6,Late-dry,7,Female,2,2006,60,69,534,0.0,0.0,Asian ancestry,0.0,Late-dry,19.86149612415943,0.59875817,32.35682918988798
203,China,6,Late-dry,7,Male,1,2006,70,95,235,0.0,0.0,Asian ancestry,0.0,Late-dry,11.27346023584938,0.59875817,50.46813324189967
204,China,6,Late-dry,7,Female,2,2006,70,95,295,0.0,0.0,Asian ancestry,0.0,Late-dry,19.86149612415943,0.59875817,32.35682918988798
