original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev
8,Japan,67,Late-wet,6,Male,1,1998,50,59,155,0.0,0.0,Asian ancestry,0.0,Late-wet,31.97009867492509,0.819016202,46.91428481221066
9,Japan,67,Late-wet,6,Female,2,1998,50,59,285,0.0070175438596491,0.0049447111344245,Asian ancestry,2.0,Late-wet,43.41517567203204,0.819016202,30.504705402988257
10,Japan,67,Late-wet,6,Male,1,1998,60,69,231,0.0173160173160173,0.0085827201967353,Asian ancestry,4.0,Late-wet,31.97009867492509,0.819016202,46.91428481221066
11,Japan,67,Late-wet,6,Female,2,1998,60,69,334,0.0029940119760479,0.0029895265623291,Asian ancestry,1.0,Late-wet,43.41517567203204,0.819016202,30.504705402988257
12,Japan,67,Late-wet,6,Male,1,1998,70,79,180,0.0111111111111111,0.0078129715221218,Asian ancestry,2.0,Late-wet,31.97009867492509,0.819016202,46.91428481221066
13,Japan,67,Late-wet,6,Female,2,1998,70,79,211,0.0,0.0,Asian ancestry,0.0,Late-wet,43.41517567203204,0.819016202,30.504705402988257
14,Japan,67,Late-wet,6,Male,1,1998,80,95,32,0.03125,0.0307578432578586,Asian ancestry,1.0,Late-wet,31.97009867492509,0.819016202,46.91428481221066
15,Japan,67,Late-wet,6,Female,2,1998,80,95,58,0.0,0.0,Asian ancestry,0.0,Late-wet,43.41517567203204,0.819016202,30.504705402988257
64,China,6,Late-wet,6,Both,3,2001,40,44,733,0.0013642564802182,0.0013633255647361,Asian ancestry,1.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
65,China,6,Late-wet,6,Both,3,2001,45,49,710,0.0,0.0,Asian ancestry,0.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
66,China,6,Late-wet,6,Both,3,2001,50,54,595,0.0,0.0,Asian ancestry,0.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
67,China,6,Late-wet,6,Both,3,2001,55,59,576,0.0052083333333333,0.0029991916148188,Asian ancestry,3.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
68,China,6,Late-wet,6,Both,3,2001,60,64,726,0.0,0.0,Asian ancestry,0.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
69,China,6,Late-wet,6,Both,3,2001,65,69,554,0.0,0.0,Asian ancestry,0.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
70,China,6,Late-wet,6,Both,3,2001,70,74,302,0.0,0.0,Asian ancestry,0.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
71,China,6,Late-wet,6,Both,3,2001,75,95,180,0.0111111111111111,0.0078129715221218,Asian ancestry,2.0,Late-wet,14.31813828565601,0.553680374,44.28757119711542
103,Brazil,135,Late-wet,6,Both,3,2002,60,95,478,0.00836820083682,0.0041665569431626,Asian ancestry,4.0,Late-wet,21.90408330754095,0.552776035,35.87637986963295
155,Republic of Korea,68,Late-wet,6,Both,3,2006,50,92,10551,0.0010425552080371,0.0003141783202807,Asian ancestry,11.0,Late-wet,22.91578855416849,0.82417982,35.15203003888498
