original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev,data_type,upper_ci,lower_ci
0,Barbados,107,Early to intermediate,2,Male,1,1995,40,49,526,0.1254752851711026,0.0144434940675364,African ancestry,66.0,Early to intermediate,25.06485578554531,0.676012247,17.21265989141646,p,,
1,Barbados,107,Early to intermediate,2,Female,2,1995,40,49,636,0.1792452830188679,0.0152090470600691,African ancestry,114.0,Early to intermediate,51.8140544697054,0.676012247,11.00067956962289,p,,
2,Barbados,107,Early to intermediate,2,Male,1,1995,50,59,393,0.2061068702290076,0.0204047360336785,African ancestry,81.0,Early to intermediate,25.06485578554531,0.676012247,17.21265989141646,p,,
3,Barbados,107,Early to intermediate,2,Female,2,1995,50,59,571,0.1856392294220665,0.0162714121852948,African ancestry,106.0,Early to intermediate,51.8140544697054,0.676012247,11.00067956962289,p,,
4,Barbados,107,Early to intermediate,2,Male,1,1995,60,69,307,0.260586319218241,0.0250524589321878,African ancestry,80.0,Early to intermediate,25.06485578554531,0.676012247,17.21265989141646,p,,
5,Barbados,107,Early to intermediate,2,Female,2,1995,60,69,464,0.2456896551724137,0.019985245015972,African ancestry,114.0,Early to intermediate,51.8140544697054,0.676012247,11.00067956962289,p,,
6,Barbados,107,Early to intermediate,2,Male,1,1995,70,79,171,0.2573099415204678,0.0334298196116907,African ancestry,44.0,Early to intermediate,25.06485578554531,0.676012247,17.21265989141646,p,,
7,Barbados,107,Early to intermediate,2,Female,2,1995,70,79,219,0.2100456621004566,0.0275255366640674,African ancestry,46.0,Early to intermediate,51.8140544697054,0.676012247,11.00067956962289,p,,
8,Barbados,107,Early to intermediate,2,Male,1,1995,80,95,28,0.1428571428571428,0.0661300071266108,African ancestry,4.0,Early to intermediate,25.06485578554531,0.676012247,17.21265989141646,p,,
9,Barbados,107,Early to intermediate,2,Female,2,1995,80,95,22,0.2272727272727272,0.0893460673985109,African ancestry,5.0,Early to intermediate,51.8140544697054,0.676012247,11.00067956962289,p,,
20,United States of America,102,Early to intermediate,2,Male,1,1993,48,54,283,0.0141342756183745,0.0070170156319129,African ancestry,4.0,Early to intermediate,15.35815191283064,0.773103517,40.93012527867885,p,,
21,United States of America,102,Early to intermediate,2,Female,2,1993,48,54,480,0.0291666666666666,0.0076805995076098,African ancestry,14.0,Early to intermediate,25.710959528308702,0.773103517,35.59556237485877,p,,
22,United States of America,102,Early to intermediate,2,Male,1,1993,55,59,266,0.018796992481203,0.0083268894884057,African ancestry,5.0,Early to intermediate,15.35815191283064,0.773103517,40.93012527867885,p,,
23,United States of America,102,Early to intermediate,2,Female,2,1993,55,59,495,0.0383838383838383,0.0086352015452328,African ancestry,19.0,Early to intermediate,25.710959528308702,0.773103517,35.59556237485877,p,,
24,United States of America,102,Early to intermediate,2,Male,1,1993,60,64,191,0.0471204188481675,0.0153322855090355,African ancestry,9.0,Early to intermediate,15.35815191283064,0.773103517,40.93012527867885,p,,
25,United States of America,102,Early to intermediate,2,Female,2,1993,60,64,361,0.038781163434903,0.0101617370422665,African ancestry,13.999999999999998,Early to intermediate,25.710959528308702,0.773103517,35.59556237485877,p,,
26,United States of America,102,Early to intermediate,2,Male,1,1993,65,72,195,0.0666666666666666,0.0178630433881888,African ancestry,13.0,Early to intermediate,15.35815191283064,0.773103517,40.93012527867885,p,,
27,United States of America,102,Early to intermediate,2,Female,2,1993,65,72,277,0.0324909747292418,0.0106529281563634,African ancestry,9.0,Early to intermediate,25.710959528308702,0.773103517,35.59556237485877,p,,
38,United States of America,102,Early to intermediate,2,Both,3,1997,69,74,120,0.05,0.0198955606438555,African ancestry,6.0,Early to intermediate,20.64139289467964,0.783979278,36.38047390588547,p,,
39,United States of America,102,Early to intermediate,2,Both,3,1997,75,79,153,0.0784313725490196,0.0217351695887775,African ancestry,12.0,Early to intermediate,20.64139289467964,0.783979278,36.38047390588547,p,,
40,United States of America,102,Early to intermediate,2,Both,3,1997,80,84,63,0.1269841269841269,0.0419484109614863,African ancestry,8.0,Early to intermediate,20.64139289467964,0.783979278,36.38047390588547,p,,
41,United States of America,102,Early to intermediate,2,Both,3,1997,85,89,24,0.125,0.0675077156084152,African ancestry,3.0,Early to intermediate,20.64139289467964,0.783979278,36.38047390588547,p,,
42,United States of America,102,Early to intermediate,2,Both,3,1997,90,97,3,0.0,0.0,African ancestry,0.0,Early to intermediate,20.64139289467964,0.783979278,36.38047390588547,p,,
