original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev,data_type,upper_ci,lower_ci
70,United States of America,102,Late-dry,7,Both,3,2005,40,59,605,0.0,0.0,African ancestry,0.0,Late-dry,20.60571167468248,0.80603308,31.26432249591815,p,,
71,United States of America,102,Late-dry,7,Both,3,2005,60,95,509,0.0039292730844793,0.0027729516936467,African ancestry,2.0,Late-dry,20.60571167468248,0.80603308,31.26432249591815,p,,
77,United States of America,102,Late-dry,7,Both,3,2001,40,49,27696,0.0128538417099942,0.0006768597330196,African ancestry,356.0,Late-dry,20.4337621672936,0.796676793,34.07843179273114,p,,
78,United States of America,102,Late-dry,7,Both,3,2001,50,59,26869,0.0253079757341173,0.0009581569612044,African ancestry,680.0,Late-dry,20.4337621672936,0.796676793,34.07843179273114,p,,
79,United States of America,102,Late-dry,7,Both,3,2001,60,69,14659,0.0500034108738658,0.0018001498784507,African ancestry,733.0,Late-dry,20.4337621672936,0.796676793,34.07843179273114,p,,
80,United States of America,102,Late-dry,7,Both,3,2001,70,79,7504,0.1040778251599147,0.0035250707222316,African ancestry,781.0,Late-dry,20.4337621672936,0.796676793,34.07843179273114,p,,
81,United States of America,102,Late-dry,7,Both,3,2001,80,87,1587,0.180214240705734,0.0096484216545408,African ancestry,286.0,Late-dry,20.4337621672936,0.796676793,34.07843179273114,p,,
90,Kenya,180,Late-dry,7,Both,3,2007,50,59,1508,0.0019893899204244,0.0011474317557328,African ancestry,3.0,Late-dry,12.40188099525535,0.413736227,20.89943685978214,p,,
91,Kenya,180,Late-dry,7,Both,3,2007,60,69,997,0.0040120361083249,0.0020019899013946,African ancestry,4.0,Late-dry,12.40188099525535,0.413736227,20.89943685978214,p,,
92,Kenya,180,Late-dry,7,Both,3,2007,70,79,547,0.0109689213893967,0.0044534160322609,African ancestry,6.0,Late-dry,12.40188099525535,0.413736227,20.89943685978214,p,,
93,Kenya,180,Late-dry,7,Both,3,2007,80,95,252,0.0198412698412698,0.00878481596151,African ancestry,5.0,Late-dry,12.40188099525535,0.413736227,20.89943685978214,p,,
10,Barbados,107,Late,3,Male,1,1995,40,49,525,0.0038095238095238,0.0026886042893128,African ancestry,1.5847202496857742,Late-dry,25.06485578554531,0.676012247,17.21265989141646,p,,
11,Barbados,107,Late,3,Female,2,1995,40,49,634,0.0047318611987381,0.0027254700889157,African ancestry,2.3550853447643787,Late-dry,51.8140544697054,0.676012247,11.00067956962289,p,,
12,Barbados,107,Late,3,Male,1,1995,50,59,393,0.0025445292620865,0.002541289885519,African ancestry,0.7809231644388066,Late-dry,25.06485578554531,0.676012247,17.21265989141646,p,,
13,Barbados,107,Late,3,Female,2,1995,50,59,571,0.010507880910683,0.0042672264150728,African ancestry,4.637527979775583,Late-dry,51.8140544697054,0.676012247,11.00067956962289,p,,
14,Barbados,107,Late,3,Male,1,1995,60,69,304,0.0032894736842105,0.0032840589090428,African ancestry,0.7762429946531627,Late-dry,25.06485578554531,0.676012247,17.21265989141646,p,,
15,Barbados,107,Late,3,Female,2,1995,60,69,465,0.0043010752688172,0.0030347719690244,African ancestry,1.5341147890239248,Late-dry,51.8140544697054,0.676012247,11.00067956962289,p,,
16,Barbados,107,Late,3,Male,1,1995,70,79,176,0.0056818181818181,0.0056656536592149,African ancestry,0.7763740056466789,Late-dry,25.06485578554531,0.676012247,17.21265989141646,p,,
17,Barbados,107,Late,3,Female,2,1995,70,79,224,0.0133928571428571,0.0076804158766004,African ancestry,2.2995763912710734,Late-dry,51.8140544697054,0.676012247,11.00067956962289,p,,
18,Barbados,107,Late,3,Male,1,1995,80,95,30,0.0,0.0,African ancestry,0.01,Late-dry,25.06485578554531,0.676012247,17.21265989141646,p,,
19,Barbados,107,Late,3,Female,2,1995,80,95,22,0.0,0.0,African ancestry,0.01,Late-dry,51.8140544697054,0.676012247,11.00067956962289,p,,
28,United States of America,102,Late,3,Male,1,1993,48,72,935,0.0,0.0,African ancestry,0.01,Late-dry,15.35815191283064,0.773103517,40.93012527867885,p,,
29,United States of America,102,Late,3,Female,2,1993,48,72,1613,0.0006199628022318,0.0006197705954989,African ancestry,0.7690347854462232,Late-dry,25.710959528308702,0.773103517,35.59556237485877,p,,
30,United States of America,102,Late,3,Male,1,1993,48,54,283,0.0,0.0,African ancestry,0.01,Late-dry,15.35815191283064,0.773103517,40.93012527867885,p,,
31,United States of America,102,Late,3,Female,2,1993,48,54,480,0.0,0.0,African ancestry,0.01,Late-dry,25.710959528308702,0.773103517,35.59556237485877,p,,
32,United States of America,102,Late,3,Male,1,1993,55,59,266,0.0,0.0,African ancestry,0.01,Late-dry,15.35815191283064,0.773103517,40.93012527867885,p,,
33,United States of America,102,Late,3,Female,2,1993,55,59,495,0.0,0.0,African ancestry,0.01,Late-dry,25.710959528308702,0.773103517,35.59556237485877,p,,
34,United States of America,102,Late,3,Male,1,1993,60,64,191,0.0,0.0,African ancestry,0.01,Late-dry,15.35815191283064,0.773103517,40.93012527867885,p,,
35,United States of America,102,Late,3,Female,2,1993,60,64,361,0.002770083102493,0.0027662437616285,African ancestry,0.7673705273357068,Late-dry,25.710959528308702,0.773103517,35.59556237485877,p,,
36,United States of America,102,Late,3,Male,1,1993,65,72,195,0.0,0.0,African ancestry,0.01,Late-dry,15.35815191283064,0.773103517,40.93012527867885,p,,
37,United States of America,102,Late,3,Female,2,1993,65,72,277,0.0,0.0,African ancestry,0.01,Late-dry,25.710959528308702,0.773103517,35.59556237485877,p,,
43,United States of America,102,Late,3,Both,3,1997,69,74,120,0.0083333333333333,0.0082985384701609,African ancestry,0.7718795283436379,Late-dry,20.64139289467964,0.783979278,36.38047390588547,p,,
44,United States of America,102,Late,3,Both,3,1997,75,79,153,0.0,0.0,African ancestry,0.01,Late-dry,20.64139289467964,0.783979278,36.38047390588547,p,,
45,United States of America,102,Late,3,Both,3,1997,80,84,63,0.0,0.0,African ancestry,0.01,Late-dry,20.64139289467964,0.783979278,36.38047390588547,p,,
46,United States of America,102,Late,3,Both,3,1997,85,89,24,0.0,0.0,African ancestry,0.01,Late-dry,20.64139289467964,0.783979278,36.38047390588547,p,,
47,United States of America,102,Late,3,Both,3,1997,90,97,3,0.0,0.0,African ancestry,0.01,Late-dry,20.64139289467964,0.783979278,36.38047390588547,p,,
56,United States of America,102,Late,3,Male,1,2002,45,54,198,0.0,0.0,African ancestry,0.01,Late-dry,14.397347186789618,0.800403318,35.72280720992363,p,,
57,United States of America,102,Late,3,Female,2,2002,45,54,252,0.0,0.0,African ancestry,0.01,Late-dry,25.943561402943587,0.800403318,31.09972484695071,p,,
58,United States of America,102,Late,3,Male,1,2002,55,64,211,0.0,0.0,African ancestry,0.01,Late-dry,14.397347186789618,0.800403318,35.72280720992363,p,,
59,United States of America,102,Late,3,Female,2,2002,55,64,253,0.0,0.0,African ancestry,0.01,Late-dry,25.943561402943587,0.800403318,31.09972484695071,p,,
60,United States of America,102,Late,3,Male,1,2002,65,74,231,0.0043290043290043,0.0043196240269112,African ancestry,0.776328121343449,Late-dry,14.397347186789618,0.800403318,35.72280720992363,p,,
61,United States of America,102,Late,3,Female,2,2002,65,74,253,0.0,0.0,African ancestry,0.01,Late-dry,25.943561402943587,0.800403318,31.09972484695071,p,,
62,United States of America,102,Late,3,Male,1,2002,75,85,85,0.0,0.0,African ancestry,0.01,Late-dry,14.397347186789618,0.800403318,35.72280720992363,p,,
63,United States of America,102,Late,3,Female,2,2002,75,85,107,0.02803738317757,0.0159588513869246,African ancestry,2.21135778132989,Late-dry,25.943561402943587,0.800403318,31.09972484695071,p,,
65,United States of America,102,Late,3,Both,3,1993,65,84,615,0.0146341463414634,0.0048422241920137,African ancestry,6.813792211002452,Late-dry,20.78260629701648,0.773103517,38.20520732392997,p,,
