original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev
210,Germany,81,Early,4,Both,3,2013,70,95,1040,0.2644230769230769,0.013675620971473,European ancestry,275.0,Early,18.28797348560178,0.885926953,30.19969133121192
213,Germany,81,Early,4,Both,3,2008,29,79,1841,0.048886474741988,0.0050255505414961,European ancestry,90.0,Early,17.82229886644571,0.872552849,32.0271851860873
217,Spain,92,Early,4,Both,3,2013,55,65,61338,0.014574977990805,0.0004838947843317,European ancestry,894.0,Early,22.57744736238809,0.747651982,36.79157002361213
218,Spain,92,Early,4,Both,3,2013,66,75,37381,0.0355528209518204,0.0009577469966824,European ancestry,1329.0,Early,22.57744736238809,0.747651982,36.79157002361213
219,Spain,92,Early,4,Both,3,2013,76,85,17496,0.0593850022862368,0.0017867959248475,European ancestry,1039.0,Early,22.57744736238809,0.747651982,36.79157002361213
220,Spain,92,Early,4,Both,3,2013,85,95,3362,0.0746579417013682,0.0045330478419211,European ancestry,251.0,Early,22.57744736238809,0.747651982,36.79157002361213
241,Ireland,84,Early,4,Both,3,2013,55,64,1257,0.3070803500397772,0.0130106745434568,European ancestry,386.0,Early,26.16115382538215,0.838644433,29.98146061841262
242,Ireland,84,Early,4,Both,3,2013,65,74,1061,0.3091423185673893,0.0141878253366533,European ancestry,328.0,Early,26.16115382538215,0.838644433,29.98146061841262
243,Ireland,84,Early,4,Both,3,2013,75,84,325,0.2923076923076923,0.0252290373196895,European ancestry,95.0,Early,26.16115382538215,0.838644433,29.98146061841262
244,Ireland,84,Early,4,Both,3,2013,85,99,47,0.1914893617021276,0.0573939699659088,European ancestry,9.0,Early,26.16115382538215,0.838644433,29.98146061841262
262,Germany,81,Early,4,Both,3,2016,50,95,4016,0.1038346613545816,0.0048135822231177,European ancestry,417.0,Early,18.36343264605485,0.890896369,29.38559063799729
0,United States of America,102,Early to intermediate,2,Male,1,1993,48,54,776,0.0257731958762886,0.0056883107500321,European ancestry,12.942433045257562,Early,15.35815191283064,0.773103517,40.93012527867885
1,United States of America,102,Early to intermediate,2,Female,2,1993,48,54,1098,0.0200364298724954,0.0042287690370514,European ancestry,15.396417189383287,Early,25.710959528308702,0.773103517,35.59556237485877
2,United States of America,102,Early to intermediate,2,Male,1,1993,55,59,1106,0.0397830018083182,0.0058770029155115,European ancestry,30.862861705344905,Early,15.35815191283064,0.773103517,40.93012527867885
3,United States of America,102,Early to intermediate,2,Female,2,1993,55,59,1354,0.0310192023633678,0.0047115474167879,European ancestry,31.45772314919616,Early,25.710959528308702,0.773103517,35.59556237485877
4,United States of America,102,Early to intermediate,2,Male,1,1993,60,64,1103,0.0598368087035358,0.007141642023775,European ancestry,46.039747607533926,Early,15.35815191283064,0.773103517,40.93012527867885
5,United States of America,102,Early to intermediate,2,Female,2,1993,60,64,1204,0.0448504983388704,0.0059649398646918,European ancestry,40.256811980204944,Early,25.710959528308702,0.773103517,35.59556237485877
6,United States of America,102,Early to intermediate,2,Male,1,1993,65,72,1191,0.0612930310663308,0.0069504782654444,European ancestry,48.78048662764685,Early,15.35815191283064,0.773103517,40.93012527867885
7,United States of America,102,Early to intermediate,2,Female,2,1993,65,72,1152,0.078125,0.0079068735686791,European ancestry,64.6920824351039,Early,25.710959528308702,0.773103517,35.59556237485877
16,France,80,Early to intermediate,2,Male,1,1995,60,69,475,0.1936842105263158,0.0181322995969021,European ancestry,62.821086810069644,Early,19.86069874227724,0.757125789,41.5842440722299
17,France,80,Early to intermediate,2,Female,2,1995,60,69,611,0.0687397708674304,0.0102357333365532,European ancestry,30.750998104790146,Early,30.06338188585747,0.757125789,32.19175205429531
18,France,80,Early to intermediate,2,Male,1,1995,70,79,321,0.2242990654205607,0.0232813614347513,European ancestry,47.21739586903544,Early,19.86069874227724,0.757125789,41.5842440722299
19,France,80,Early to intermediate,2,Female,2,1995,70,79,464,0.2995689655172414,0.0212653291776744,European ancestry,98.31692209957612,Early,30.06338188585747,0.757125789,32.19175205429531
20,France,80,Early to intermediate,2,Male,1,1995,80,95,91,0.2747252747252747,0.0467928916072879,European ancestry,16.139190914012115,Early,19.86069874227724,0.757125789,41.5842440722299
21,France,80,Early to intermediate,2,Female,2,1995,80,95,127,0.984251968503937,0.0110475104973683,European ancestry,87.20098792666289,Early,30.06338188585747,0.757125789,32.19175205429531
28,United States of America,102,Early to intermediate,2,Both,3,1997,69,74,267,0.1310861423220973,0.0206543305226254,European ancestry,24.00592801648056,Early,20.64139289467964,0.783979278,36.38047390588547
29,United States of America,102,Early to intermediate,2,Both,3,1997,75,79,1032,0.1337209302325581,0.0105947022673602,European ancestry,93.48234284705848,Early,20.64139289467964,0.783979278,36.38047390588547
30,United States of America,102,Early to intermediate,2,Both,3,1997,80,84,466,0.2274678111587982,0.0194189305256087,European ancestry,71.34343804119735,Early,20.64139289467964,0.783979278,36.38047390588547
31,United States of America,102,Early to intermediate,2,Both,3,1997,85,89,191,0.2617801047120419,0.0318085965436783,European ancestry,33.53606741994603,Early,20.64139289467964,0.783979278,36.38047390588547
32,United States of America,102,Early to intermediate,2,Both,3,1997,90,97,42,0.2857142857142857,0.0697071480677523,European ancestry,8.026217735254287,Early,20.64139289467964,0.783979278,36.38047390588547
81,Norway,90,Early to intermediate,2,Both,3,2002,51,60,160,0.33125,0.0372091586088022,European ancestry,37.93843615948289,Early,25.9340499414573,0.856757888,35.20075789112773
82,Norway,90,Early to intermediate,2,Both,3,2002,61,70,162,0.4074074074074074,0.0386042449368183,European ancestry,46.37100028876978,Early,25.9340499414573,0.856757888,35.20075789112773
83,Norway,90,Early to intermediate,2,Both,3,2002,71,80,90,0.5666666666666667,0.0522340412157473,European ancestry,34.64626250371538,Early,25.9340499414573,0.856757888,35.20075789112773
84,Norway,90,Early to intermediate,2,Both,3,2002,81,90,47,0.574468085106383,0.0721190658977913,European ancestry,18.12685263041404,Early,25.9340499414573,0.856757888,35.20075789112773
104,Norway,90,Early to intermediate,2,Female,2,2009,65,69,603,0.5671641791044776,0.0201770345884815,European ancestry,247.2747354974692,Early,30.82004656943528,0.876582817,24.62771218645365
105,Norway,90,Early to intermediate,2,Female,2,2009,70,74,398,0.6206030150753769,0.0243227313058733,European ancestry,175.6912051284727,Early,30.82004656943528,0.876582817,24.62771218645365
106,Norway,90,Early to intermediate,2,Female,2,2009,75,79,288,0.6215277777777778,0.0285792635117907,European ancestry,126.03397315751567,Early,30.82004656943528,0.876582817,24.62771218645365
107,Norway,90,Early to intermediate,2,Female,2,2009,80,87,175,0.6742857142857143,0.0354259380193115,European ancestry,82.49991540489562,Early,30.82004656943528,0.876582817,24.62771218645365
108,Norway,90,Early to intermediate,2,Male,1,2009,65,69,365,0.5178082191780822,0.0261545913793041,European ancestry,127.16432039253723,Early,22.588186152799487,0.876582817,32.32006845362921
109,Norway,90,Early to intermediate,2,Male,1,2009,70,74,365,0.5506849315068493,0.0260363832746085,European ancestry,132.67925768537404,Early,22.588186152799487,0.876582817,32.32006845362921
110,Norway,90,Early to intermediate,2,Male,1,2009,75,79,234,0.6452991452991453,0.0312754619945338,European ancestry,98.5030657355964,Early,22.588186152799487,0.876582817,32.32006845362921
111,Norway,90,Early to intermediate,2,Male,1,2009,80,87,111,0.6306306306306306,0.0458095979499245,European ancestry,45.29943894136065,Early,22.588186152799487,0.876582817,32.32006845362921
120,United Kingdom,95,Early to intermediate,2,Both,3,2005,39,45,245,0.0163265306122449,0.0080963521668617,European ancestry,1.782196560324194,Early,34.62475816655215,0.804489194,34.09332067948443
121,United Kingdom,95,Early to intermediate,2,Both,3,2005,46,52,165,0.0181818181818181,0.0104014100644973,European ancestry,1.9111246000580608,Early,34.62475816655215,0.804489194,34.09332067948443
122,United Kingdom,95,Early to intermediate,2,Both,3,2005,53,59,15,0.0,0.0,European ancestry,0.01,Early,34.62475816655215,0.804489194,34.09332067948443
123,Germany,81,Early to intermediate,2,Both,3,2010,90,92,89,0.3370786516853932,0.050107371709043,European ancestry,20.07585955014525,Early,18.05210317103823,0.87794671,31.25754054335163
124,Germany,81,Early to intermediate,2,Both,3,2010,93,100,66,0.2727272727272727,0.0548202444686842,European ancestry,12.03048802795642,Early,18.05210317103823,0.87794671,31.25754054335163
