original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev
10,United States of America,102,Late-wet,6,Male,1,2004,40,49,957,0.0,0.0,Hispanic,0.0,Late-wet,14.228503173847578,0.805304692,34.183704542571704
11,United States of America,102,Late-wet,6,Female,2,2004,40,49,1339,0.0,0.0,Hispanic,0.0,Late-wet,26.26374001286237,0.805304692,29.73308701940423
12,United States of America,102,Late-wet,6,Male,1,2004,50,59,739,0.0040595399188092,0.0023390142998857,Hispanic,3.0,Late-wet,14.228503173847578,0.805304692,34.183704542571704
13,United States of America,102,Late-wet,6,Female,2,2004,50,59,1055,0.0,0.0,Hispanic,0.0,Late-wet,26.26374001286237,0.805304692,29.73308701940423
14,United States of America,102,Late-wet,6,Male,1,2004,60,69,470,0.002127659574468,0.002125394901581,Hispanic,1.0,Late-wet,14.228503173847578,0.805304692,34.183704542571704
15,United States of America,102,Late-wet,6,Female,2,2004,60,69,665,0.0015037593984962,0.0015026283269571,Hispanic,1.0,Late-wet,26.26374001286237,0.805304692,29.73308701940423
16,United States of America,102,Late-wet,6,Male,1,2004,70,79,236,0.0127118644067796,0.0072924016963105,Hispanic,3.0,Late-wet,14.228503173847578,0.805304692,34.183704542571704
17,United States of America,102,Late-wet,6,Female,2,2004,70,79,296,0.0033783783783783,0.0033726668301206,Hispanic,1.0,Late-wet,26.26374001286237,0.805304692,29.73308701940423
18,United States of America,102,Late-wet,6,Male,1,2004,80,95,45,0.0222222222222222,0.0219739214432464,Hispanic,1.0,Late-wet,14.228503173847578,0.805304692,34.183704542571704
19,United States of America,102,Late-wet,6,Female,2,2004,80,95,73,0.0958904109589041,0.0344617000123358,Hispanic,7.0,Late-wet,26.26374001286237,0.805304692,29.73308701940423
72,United States of America,102,Late-wet,6,Both,3,2005,40,59,505,0.0,0.0,Hispanic,0.0,Late-wet,20.60571167468248,0.80603308,31.26432249591815
73,United States of America,102,Late-wet,6,Both,3,2005,60,95,343,0.0029154518950437,0.0029111988630273,Hispanic,1.0,Late-wet,20.60571167468248,0.80603308,31.26432249591815
76,United States of America,102,Late-wet,6,Both,3,2001,40,49,44673,0.0021713339153403,0.000220226074177,Hispanic,97.0,Late-wet,20.4337621672936,0.796676793,34.07843179273114
77,United States of America,102,Late-wet,6,Both,3,2001,50,59,33234,0.0035505807305771,0.0003262766670675,Hispanic,118.0,Late-wet,20.4337621672936,0.796676793,34.07843179273114
78,United States of America,102,Late-wet,6,Both,3,2001,60,69,15150,0.0099009900990099,0.0008044004591112,Hispanic,150.0,Late-wet,20.4337621672936,0.796676793,34.07843179273114
79,United States of America,102,Late-wet,6,Both,3,2001,70,79,5393,0.0305952160207676,0.0023451149275151,Hispanic,165.0,Late-wet,20.4337621672936,0.796676793,34.07843179273114
80,United States of America,102,Late-wet,6,Both,3,2001,80,87,1068,0.0571161048689138,0.0071010533212392,Hispanic,61.0,Late-wet,20.4337621672936,0.796676793,34.07843179273114
46,United States of America,102,Late,3,Male,1,1997,50,59,491,0.0,0.0,Hispanic,0.01,Late-wet,15.16644973041776,0.783979278,38.915272930557634
47,United States of America,102,Late,3,Female,2,1997,50,59,779,0.0012836970474967,0.00128287284385,Hispanic,0.1915908967317488,Late-wet,25.65802996201684,0.783979278,33.94108898955987
48,United States of America,102,Late,3,Male,1,1997,60,69,347,0.0086455331412103,0.0049698769541342,Hispanic,0.6482661529685068,Late-wet,15.16644973041776,0.783979278,38.915272930557634
49,United States of America,102,Late,3,Female,2,1997,60,69,512,0.001953125,0.001951216719134,Hispanic,0.2043571522594461,Late-wet,25.65802996201684,0.783979278,33.94108898955987
50,United States of America,102,Late,3,Male,1,1997,70,79,214,0.0093457943925233,0.0065775213777847,Hispanic,0.4602688140085155,Late-wet,15.16644973041776,0.783979278,38.915272930557634
51,United States of America,102,Late,3,Female,2,1997,70,79,300,0.0066666666666666,0.0046983054470813,Hispanic,0.4342362627359115,Late-wet,25.65802996201684,0.783979278,33.94108898955987
52,United States of America,102,Late,3,Male,1,1997,80,95,36,0.0277777777777777,0.0273892582550908,Hispanic,0.3111911138558103,Late-wet,15.16644973041776,0.783979278,38.915272930557634
53,United States of America,102,Late,3,Female,2,1997,80,95,97,0.0515463917525773,0.0224502568694388,Hispanic,1.4247642851316134,Late-wet,25.65802996201684,0.783979278,33.94108898955987
62,United States of America,102,Late,3,Male,1,2002,45,54,185,0.0,0.0,Hispanic,0.01,Late-wet,14.397347186789618,0.800403318,35.72280720992363
63,United States of America,102,Late,3,Female,2,2002,45,54,210,0.0,0.0,Hispanic,0.01,Late-wet,25.943561402943587,0.800403318,31.09972484695071
64,United States of America,102,Late,3,Male,1,2002,55,64,191,0.0,0.0,Hispanic,0.01,Late-wet,14.397347186789618,0.800403318,35.72280720992363
