original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev
28,Netherlands,89,Intermediate,5,Male,1,1990,55,64,1418,0.0409026798307475,0.0052597984734444,NR,58.0,Intermediate,10.83692284872054,0.794612123,48.33573342005104
29,Netherlands,89,Intermediate,5,Female,2,1990,55,64,1802,0.0338512763596004,0.0042602209438951,NR,61.00000000000001,Intermediate,19.33687630462064,0.794612123,43.5806991988576
30,Netherlands,89,Intermediate,5,Male,1,1990,65,74,1382,0.0723589001447178,0.0069691842751222,NR,100.0,Intermediate,10.83692284872054,0.794612123,48.33573342005104
31,Netherlands,89,Intermediate,5,Female,2,1990,65,74,1865,0.0369973190348525,0.0043707851344122,NR,69.0,Intermediate,19.33687630462064,0.794612123,43.5806991988576
32,Netherlands,89,Intermediate,5,Male,1,1990,75,84,796,0.1030150753768844,0.0107742346684545,NR,82.0,Intermediate,10.83692284872054,0.794612123,48.33573342005104
33,Netherlands,89,Intermediate,5,Female,2,1990,75,84,1505,0.0870431893687707,0.0072664830408466,NR,131.0,Intermediate,19.33687630462064,0.794612123,43.5806991988576
34,Netherlands,89,Intermediate,5,Male,1,1990,85,98,191,0.2041884816753926,0.02916782506439,NR,39.0,Intermediate,10.83692284872054,0.794612123,48.33573342005104
35,Netherlands,89,Intermediate,5,Female,2,1990,85,98,815,0.1374233128834356,0.0120600820007374,NR,112.0,Intermediate,19.33687630462064,0.794612123,43.5806991988576
258,United States of America,102,Intermediate,5,Male,1,1997,50,59,491,0.2464358452138492,0.0194478371410691,NR,121.0,Intermediate,15.16644973041776,0.783979278,38.915272930557634
259,United States of America,102,Intermediate,5,Female,2,1997,50,59,779,0.2400513478818998,0.0153029609534722,NR,187.0,Intermediate,25.65802996201684,0.783979278,33.94108898955987
260,United States of America,102,Intermediate,5,Male,1,1997,60,69,347,0.3141210374639769,0.0249176749003508,NR,109.0,Intermediate,15.16644973041776,0.783979278,38.915272930557634
261,United States of America,102,Intermediate,5,Female,2,1997,60,69,512,0.322265625,0.0206538856411299,NR,165.0,Intermediate,25.65802996201684,0.783979278,33.94108898955987
262,United States of America,102,Intermediate,5,Male,1,1997,70,79,214,0.2663551401869158,0.0302180610320554,NR,56.99999999999999,Intermediate,15.16644973041776,0.783979278,38.915272930557634
263,United States of America,102,Intermediate,5,Female,2,1997,70,79,300,0.3566666666666667,0.0276559550884045,NR,107.0,Intermediate,25.65802996201684,0.783979278,33.94108898955987
264,United States of America,102,Intermediate,5,Male,1,1997,80,95,36,0.3888888888888889,0.0812496702536307,NR,14.0,Intermediate,15.16644973041776,0.783979278,38.915272930557634
265,United States of America,102,Intermediate,5,Female,2,1997,80,95,97,0.2164948453608247,0.0418175747709241,NR,21.0,Intermediate,25.65802996201684,0.783979278,33.94108898955987
313,United States of America,102,Intermediate,5,Male,1,2002,45,54,778,0.0141388174807197,0.0042327695967092,NR,11.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363
314,United States of America,102,Intermediate,5,Female,2,2002,45,54,891,0.0123456790123456,0.0036993133742839,NR,11.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071
315,United States of America,102,Intermediate,5,Male,1,2002,55,64,814,0.027027027027027,0.0056837808424279,NR,22.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363
316,United States of America,102,Intermediate,5,Female,2,2002,55,64,900,0.0233333333333333,0.0050319963885441,NR,21.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071
317,United States of America,102,Intermediate,5,Male,1,2002,65,74,836,0.0430622009569378,0.0070208036561414,NR,36.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363
318,United States of America,102,Intermediate,5,Female,2,2002,65,74,866,0.0427251732101616,0.0068722870174533,NR,37.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071
319,United States of America,102,Intermediate,5,Male,1,2002,75,85,364,0.1043956043956044,0.0160268629386779,NR,38.0,Intermediate,14.397347186789618,0.800403318,35.72280720992363
320,United States of America,102,Intermediate,5,Female,2,2002,75,85,398,0.1130653266331658,0.0158733649533096,NR,45.0,Intermediate,25.943561402943587,0.800403318,31.09972484695071
349,China,6,Intermediate,5,Both,3,2001,40,44,733,0.1678035470668485,0.0138026193541287,NR,123.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
350,China,6,Intermediate,5,Both,3,2001,45,49,710,0.1619718309859155,0.0138267426608669,NR,115.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
351,China,6,Intermediate,5,Both,3,2001,50,54,595,0.1361344537815126,0.0140588119006916,NR,81.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
352,China,6,Intermediate,5,Both,3,2001,55,59,576,0.1319444444444444,0.0141012649664481,NR,76.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
353,China,6,Intermediate,5,Both,3,2001,60,64,726,0.1666666666666666,0.0138313777147769,NR,121.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
354,China,6,Intermediate,5,Both,3,2001,65,69,554,0.1263537906137184,0.014115850617249,NR,70.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
355,China,6,Intermediate,5,Both,3,2001,70,74,302,0.0695364238410596,0.0146370107866914,NR,21.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
356,China,6,Intermediate,5,Both,3,2001,75,95,180,0.0388888888888888,0.014409977872193,NR,7.0,Intermediate,14.31813828565601,0.553680374,44.28757119711542
426,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,65,69,246,0.056910569105691,0.0147708452991923,NR,14.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674
427,Taiwan (Province of China),8,Intermediate,5,Female,2,1999,65,69,158,0.0379746835443038,0.0152058880488617,NR,6.0,Intermediate,33.25530514837849,0.745338399,32.724432592605
428,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,70,74,260,0.0769230769230769,0.0165257278624484,NR,20.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674
429,Taiwan (Province of China),8,Intermediate,5,Female,2,1999,70,74,128,0.078125,0.0237206207060373,NR,10.0,Intermediate,33.25530514837849,0.745338399,32.724432592605
430,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,75,79,101,0.1188118811881188,0.0321961220954748,NR,12.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674
431,Taiwan (Province of China),8,Intermediate,5,Female,2,1999,75,79,87,0.1839080459770115,0.0415346243321518,NR,16.0,Intermediate,33.25530514837849,0.745338399,32.724432592605
432,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,80,84,30,0.2333333333333333,0.0772202237950846,NR,7.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674
433,Taiwan (Province of China),8,Intermediate,5,Female,2,1999,80,84,21,0.2857142857142857,0.0985807941917649,NR,6.0,Intermediate,33.25530514837849,0.745338399,32.724432592605
434,Taiwan (Province of China),8,Intermediate,5,Male,1,1999,85,95,21,0.2857142857142857,0.0985807941917649,NR,6.0,Intermediate,24.67685308601169,0.745338399,47.76344584857674
435,Taiwan (Province of China),8,Intermediate,5,Female,2,1999,85,95,6,0.0,0.0,NR,0.0,Intermediate,33.25530514837849,0.745338399,32.724432592605
462,Iran (Islamic Republic of),142,Intermediate,5,Both,3,2002,5,39,2920,0.0003424657534246,0.0003424071070069,NR,1.0,Intermediate,23.43604653039586,0.584097268,26.54147080888621
463,Iran (Islamic Republic of),142,Intermediate,5,Both,3,2002,40,96,1434,0.0711297071129707,0.0067877911504573,NR,102.0,Intermediate,23.43604653039586,0.584097268,26.54147080888621
464,Republic of Korea,68,Intermediate,5,Male,1,2006,50,92,5930,0.0311973018549747,0.0022576095870511,NR,185.0,Intermediate,17.96848428162092,0.82417982,44.69173606499552
465,Republic of Korea,68,Intermediate,5,Female,2,2006,50,92,4621,0.0287816489937243,0.002459508296241,NR,133.0,Intermediate,27.60679222161732,0.82417982,25.65270791784186
487,United States of America,102,Intermediate,5,Male,1,1993,65,84,1023,0.1564027370478983,0.0113566943793356,NR,160.0,Intermediate,15.35815191283064,0.773103517,40.93012527867885
488,United States of America,102,Intermediate,5,Female,2,1993,65,84,1368,0.1608187134502924,0.0099323756917433,NR,220.0,Intermediate,25.710959528308702,0.773103517,35.59556237485877
570,Italy,86,Intermediate,5,Both,3,2005,61,64,79,0.0379746835443038,0.0215043731066272,NR,3.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
571,Italy,86,Intermediate,5,Both,3,2005,65,69,121,0.0330578512396694,0.0162534242319939,NR,4.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
572,Italy,86,Intermediate,5,Both,3,2005,70,74,86,0.0697674418604651,0.0274709034055171,NR,6.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
573,Italy,86,Intermediate,5,Both,3,2005,75,79,89,0.1348314606741573,0.0362035347902722,NR,12.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
574,Italy,86,Intermediate,5,Both,3,2005,80,95,45,0.1555555555555555,0.0540283926779569,NR,7.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
585,Italy,86,Intermediate,5,Both,3,2005,61,64,66,0.0454545454545454,0.0256398215826257,NR,3.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
586,Italy,86,Intermediate,5,Both,3,2005,65,69,123,0.056910569105691,0.0208891297498326,NR,7.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
587,Italy,86,Intermediate,5,Both,3,2005,70,74,102,0.1372549019607843,0.0340725859917024,NR,14.000000000000002,Intermediate,28.992082304573792,0.765689914,32.62396437236365
588,Italy,86,Intermediate,5,Both,3,2005,75,79,61,0.1475409836065573,0.0454075608932933,NR,9.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
589,Italy,86,Intermediate,5,Both,3,2005,80,95,73,0.2191780821917808,0.0484187004627363,NR,16.0,Intermediate,28.992082304573792,0.765689914,32.62396437236365
600,Iceland,83,Intermediate,5,Both,3,2002,66,69,530,0.1094339622641509,0.0135603591375132,NR,58.0,Intermediate,23.18223612662306,0.813400392,35.10074604325763
601,Iceland,83,Intermediate,5,Both,3,2002,70,74,1582,0.1302149178255373,0.0084612223596077,NR,206.0,Intermediate,23.18223612662306,0.813400392,35.10074604325763
602,Iceland,83,Intermediate,5,Both,3,2002,75,79,1532,0.2389033942558746,0.0108943586878671,NR,366.0,Intermediate,23.18223612662306,0.813400392,35.10074604325763
603,Iceland,83,Intermediate,5,Both,3,2002,80,84,1192,0.2953020134228188,0.0132128526471973,NR,352.0,Intermediate,23.18223612662306,0.813400392,35.10074604325763
604,Iceland,83,Intermediate,5,Both,3,2002,85,91,436,0.360091743119266,0.0229891118851385,NR,157.0,Intermediate,23.18223612662306,0.813400392,35.10074604325763
625,Thailand,18,Intermediate,5,Both,3,2006,50,59,4887,0.0192347043175772,0.001964735682973,NR,94.0,Intermediate,11.81743254026047,0.610356678,28.98530766959453
626,Thailand,18,Intermediate,5,Both,3,2006,60,69,3502,0.0334094802969731,0.0030366731869489,NR,117.0,Intermediate,11.81743254026047,0.610356678,28.98530766959453
627,Thailand,18,Intermediate,5,Both,3,2006,70,79,2034,0.0363815142576204,0.0041516188261983,NR,74.0,Intermediate,11.81743254026047,0.610356678,28.98530766959453
628,Thailand,18,Intermediate,5,Both,3,2006,80,95,465,0.0193548387096774,0.0063888728755379,NR,9.0,Intermediate,11.81743254026047,0.610356678,28.98530766959453
646,Singapore,69,Intermediate,5,Both,3,2005,40,99,3172,0.0639974779319041,0.0043456360373872,NR,203.0,Intermediate,23.54156314632148,0.796455751,23.082253448996426
674,Singapore,69,Intermediate,5,Male,1,2007,40,49,423,0.0260047281323877,0.0077381010992426,NR,11.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889
675,Singapore,69,Intermediate,5,Male,1,2007,50,59,538,0.0390334572490706,0.0083499044430851,NR,21.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889
676,Singapore,69,Intermediate,5,Male,1,2007,60,69,458,0.0720524017467248,0.012082400238462,NR,33.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889
677,Singapore,69,Intermediate,5,Male,1,2007,70,79,209,0.1483253588516746,0.0245850682863984,NR,31.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889
678,Singapore,69,Intermediate,5,Male,1,2007,80,83,39,0.2307692307692307,0.0674660014851561,NR,9.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889
679,Singapore,69,Intermediate,5,Female,2,2007,40,49,450,0.02,0.0065996632910744,NR,9.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686
680,Singapore,69,Intermediate,5,Female,2,2007,50,59,560,0.025,0.0065974832863968,NR,14.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686
681,Singapore,69,Intermediate,5,Female,2,2007,60,69,414,0.0700483091787439,0.0125437922326042,NR,29.000000000000004,Intermediate,27.108424579481227,0.810625304,17.50341826675686
682,Singapore,69,Intermediate,5,Female,2,2007,70,79,206,0.1262135922330097,0.0231378017694334,NR,26.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686
683,Singapore,69,Intermediate,5,Female,2,2007,80,83,33,0.1515151515151515,0.0624155940053863,NR,5.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686
684,India,163,Intermediate,5,Male,1,2006,40,49,632,0.0379746835443038,0.0076029440244308,NR,24.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356
685,India,163,Intermediate,5,Male,1,2006,50,59,392,0.0739795918367346,0.0132197490471029,NR,29.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356
686,India,163,Intermediate,5,Male,1,2006,60,69,333,0.09009009009009,0.0156897343839208,NR,30.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356
687,India,163,Intermediate,5,Male,1,2006,70,79,221,0.1040723981900452,0.0205403624421156,NR,23.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356
688,India,163,Intermediate,5,Male,1,2006,80,83,44,0.0909090909090909,0.0433392086020723,NR,4.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356
689,India,163,Intermediate,5,Female,2,2006,40,49,739,0.0230040595399188,0.0055147572699455,NR,17.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393
690,India,163,Intermediate,5,Female,2,2006,50,59,395,0.0860759493670886,0.0141122875185666,NR,34.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393
691,India,163,Intermediate,5,Female,2,2006,60,69,507,0.0749506903353057,0.0116940859269882,NR,38.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393
692,India,163,Intermediate,5,Female,2,2006,70,79,156,0.0641025641025641,0.0196105389931747,NR,10.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393
693,India,163,Intermediate,5,Female,2,2006,80,83,6,0.0,0.0,NR,0.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393
697,Japan,67,Intermediate,5,Both,3,2008,50,59,1830,0.1180327868852459,0.0075422687990287,NR,216.0,Intermediate,39.91874210940812,0.840301217,30.284791876787544
698,Japan,67,Intermediate,5,Both,3,2008,60,69,2842,0.1815622800844475,0.0072309206480476,NR,516.0,Intermediate,39.91874210940812,0.840301217,30.284791876787544
699,Japan,67,Intermediate,5,Both,3,2008,70,74,923,0.2589382448537378,0.0144186450184001,NR,239.0,Intermediate,39.91874210940812,0.840301217,30.284791876787544
778,Ireland,84,Intermediate,5,Male,1,2009,50,64,1365,0.0249084249084249,0.0042182227458181,NR,34.0,Intermediate,17.48858385175053,0.823929666,34.80519887583926
779,Ireland,84,Intermediate,5,Male,1,2009,65,74,603,0.0480928689883913,0.0087132259640878,NR,29.000000000000004,Intermediate,17.48858385175053,0.823929666,34.80519887583926
780,Ireland,84,Intermediate,5,Male,1,2009,75,95,189,0.074074074074074,0.0190497962916162,NR,14.0,Intermediate,17.48858385175053,0.823929666,34.80519887583926
781,Ireland,84,Intermediate,5,Female,2,2009,50,64,1735,0.0190201729106628,0.0032793481756478,NR,33.0,Intermediate,32.88174356577951,0.823929666,31.67145168216521
782,Ireland,84,Intermediate,5,Female,2,2009,65,74,646,0.0433436532507739,0.0080116962653981,NR,28.0,Intermediate,32.88174356577951,0.823929666,31.67145168216521
783,Ireland,84,Intermediate,5,Female,2,2009,75,95,209,0.0909090909090909,0.0198853926936275,NR,19.0,Intermediate,32.88174356577951,0.823929666,31.67145168216521
797,Australia,71,Intermediate,5,Both,3,2003,40,69,18316,0.1470845162699279,0.0026171050781634,NR,2694.0,Intermediate,34.65286640359811,0.783600181,31.08504734435601
799,Japan,67,Intermediate,5,Male,1,2010,60,69,74,0.3513513513513513,0.0554957484681448,NR,26.0,Intermediate,34.610428227183995,0.844361811,36.82829931398472
800,Japan,67,Intermediate,5,Male,1,2010,70,79,182,0.3571428571428571,0.0355175112927747,NR,65.0,Intermediate,34.610428227183995,0.844361811,36.82829931398472
801,Japan,67,Intermediate,5,Male,1,2010,80,89,32,0.28125,0.0794804294897492,NR,9.0,Intermediate,34.610428227183995,0.844361811,36.82829931398472
802,Japan,67,Intermediate,5,Female,2,2010,60,69,61,0.3114754098360656,0.0592934462559748,NR,19.0,Intermediate,45.39442739891856,0.844361811,20.47164574265571
803,Japan,67,Intermediate,5,Female,2,2010,70,79,100,0.44,0.0496386945839634,NR,44.0,Intermediate,45.39442739891856,0.844361811,20.47164574265571
804,Japan,67,Intermediate,5,Female,2,2010,80,89,31,0.4193548387096774,0.0886268651399275,NR,13.0,Intermediate,45.39442739891856,0.844361811,20.47164574265571
887,Nepal,164,Intermediate,5,Both,3,2013,60,69,950,0.32,0.0151344848468306,NR,304.0,Intermediate,10.35161990511118,0.380022326,33.207667631952795
888,Nepal,164,Intermediate,5,Both,3,2013,70,79,697,0.3543758967001434,0.0181178043862719,NR,247.0,Intermediate,10.35161990511118,0.380022326,33.207667631952795
889,Nepal,164,Intermediate,5,Both,3,2013,80,95,213,0.3568075117370892,0.0328244663777125,NR,76.0,Intermediate,10.35161990511118,0.380022326,33.207667631952795
902,Australia,71,Intermediate,5,Both,3,2015,50,59,933,0.0407288317256162,0.0064711408146116,NR,38.0,Intermediate,40.48191666182101,0.824860715,25.01168331715078
903,Australia,71,Intermediate,5,Both,3,2015,60,69,1181,0.0753598645215918,0.0076812424982827,NR,89.0,Intermediate,40.48191666182101,0.824860715,25.01168331715078
904,Australia,71,Intermediate,5,Both,3,2015,70,79,718,0.149025069637883,0.0132900259088988,NR,107.0,Intermediate,40.48191666182101,0.824860715,25.01168331715078
905,Australia,71,Intermediate,5,Both,3,2015,80,89,366,0.2322404371584699,0.0220719647924761,NR,85.0,Intermediate,40.48191666182101,0.824860715,25.01168331715078
914,Australia,71,Intermediate,5,Both,3,2015,40,49,571,0.0245183887915936,0.0064719842699085,NR,14.0,Intermediate,40.48191666182101,0.824860715,25.01168331715078
915,Australia,71,Intermediate,5,Both,3,2015,50,59,590,0.0491525423728813,0.0089002542290068,NR,29.0,Intermediate,40.48191666182101,0.824860715,25.01168331715078
916,Australia,71,Intermediate,5,Both,3,2015,60,69,284,0.1161971830985915,0.0190158752931304,NR,33.0,Intermediate,40.48191666182101,0.824860715,25.01168331715078
