original_row_id,location_name,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,x_sdi,x_tob,Patients with AMD,split_stage,data_type,upper_ci,lower_ci
16,Japan,67,Late-dry,7,Male,1,1998,50,59,155,0.0,0.0,Asian ancestry,0.819016202,0.525779981,0.0,Late-dry,p,,
17,Japan,67,Late-dry,7,Female,2,1998,50,59,285,0.0,0.0,Asian ancestry,0.819016202,0.147906099,0.0,Late-dry,p,,
18,Japan,67,Late-dry,7,Male,1,1998,60,69,231,0.0086580086580086,0.0060955762627007,Asian ancestry,0.819016202,0.525779981,2.0,Late-dry,p,,
19,Japan,67,Late-dry,7,Female,2,1998,60,69,334,0.0,0.0,Asian ancestry,0.819016202,0.147906099,0.0,Late-dry,p,,
20,Japan,67,Late-dry,7,Male,1,1998,70,79,180,0.0,0.0,Asian ancestry,0.819016202,0.525779981,0.0,Late-dry,p,,
21,Japan,67,Late-dry,7,Female,2,1998,70,79,211,0.0,0.0,Asian ancestry,0.819016202,0.147906099,0.0,Late-dry,p,,
22,Japan,67,Late-dry,7,Male,1,1998,80,95,32,0.03125,0.0307578432578586,Asian ancestry,0.819016202,0.525779981,1.0,Late-dry,p,,
23,Japan,67,Late-dry,7,Female,2,1998,80,95,58,0.0,0.0,Asian ancestry,0.819016202,0.147906099,0.0,Late-dry,p,,
72,China,6,Late-dry,7,Both,3,2001,40,44,733,0.0,0.0,Asian ancestry,0.553680374,0.284411231,0.0,Late-dry,p,,
73,China,6,Late-dry,7,Both,3,2001,45,49,710,0.0,0.0,Asian ancestry,0.553680374,0.284411231,0.0,Late-dry,p,,
74,China,6,Late-dry,7,Both,3,2001,50,54,595,0.0,0.0,Asian ancestry,0.553680374,0.284411231,0.0,Late-dry,p,,
75,China,6,Late-dry,7,Both,3,2001,55,59,576,0.0,0.0,Asian ancestry,0.553680374,0.284411231,0.0,Late-dry,p,,
76,China,6,Late-dry,7,Both,3,2001,60,64,726,0.0013774104683195,0.0013764615116321,Asian ancestry,0.553680374,0.284411231,1.0,Late-dry,p,,
77,China,6,Late-dry,7,Both,3,2001,65,69,554,0.0,0.0,Asian ancestry,0.553680374,0.284411231,0.0,Late-dry,p,,
78,China,6,Late-dry,7,Both,3,2001,70,74,302,0.0,0.0,Asian ancestry,0.553680374,0.284411231,0.0,Late-dry,p,,
79,China,6,Late-dry,7,Both,3,2001,75,95,180,0.0,0.0,Asian ancestry,0.553680374,0.284411231,0.0,Late-dry,p,,
104,Brazil,135,Late-dry,7,Both,3,2002,60,95,478,0.00418410041841,0.0029524097391772,Asian ancestry,0.552776035,0.229940798,2.0,Late-dry,p,,
156,Republic of Korea,68,Late-dry,7,Both,3,2006,50,92,10551,0.0009477774618519,0.0002995714848995,Asian ancestry,0.82417982,0.263337769,10.0,Late-dry,p,,
195,China,6,Late-dry,7,Male,1,2006,30,39,549,0.0,0.0,Asian ancestry,0.59875817,0.498311237,0.0,Late-dry,p,,
196,China,6,Late-dry,7,Female,2,2006,30,39,671,0.0,0.0,Asian ancestry,0.59875817,0.038673978,0.0,Late-dry,p,,
197,China,6,Late-dry,7,Male,1,2006,40,49,597,0.0,0.0,Asian ancestry,0.59875817,0.498311237,0.0,Late-dry,p,,
198,China,6,Late-dry,7,Female,2,2006,40,49,715,0.0,0.0,Asian ancestry,0.59875817,0.038673978,0.0,Late-dry,p,,
199,China,6,Late-dry,7,Male,1,2006,50,59,1134,0.0,0.0,Asian ancestry,0.59875817,0.498311237,0.0,Late-dry,p,,
200,China,6,Late-dry,7,Female,2,2006,50,59,1304,0.0,0.0,Asian ancestry,0.59875817,0.038673978,0.0,Late-dry,p,,
201,China,6,Late-dry,7,Male,1,2006,60,69,537,0.0,0.0,Asian ancestry,0.59875817,0.498311237,0.0,Late-dry,p,,
202,China,6,Late-dry,7,Female,2,2006,60,69,534,0.0,0.0,Asian ancestry,0.59875817,0.038673978,0.0,Late-dry,p,,
203,China,6,Late-dry,7,Male,1,2006,70,95,235,0.0,0.0,Asian ancestry,0.59875817,0.498311237,0.0,Late-dry,p,,
204,China,6,Late-dry,7,Female,2,2006,70,95,295,0.0,0.0,Asian ancestry,0.59875817,0.038673978,0.0,Late-dry,p,,
218,United States of America,102,Late-dry,7,Both,3,2001,40,49,19082,0.0210669741117283,0.0010395984545631,Asian ancestry,0.796676793,0.246828435,402.0,Late-dry,p,,
219,United States of America,102,Late-dry,7,Both,3,2001,50,59,15200,0.0448026315789473,0.0016779403842396,Asian ancestry,0.796676793,0.246828435,681.0,Late-dry,p,,
220,United States of America,102,Late-dry,7,Both,3,2001,60,69,7108,0.0858187957231288,0.0033222601911472,Asian ancestry,0.796676793,0.246828435,610.0,Late-dry,p,,
221,United States of America,102,Late-dry,7,Both,3,2001,70,79,2230,0.1766816143497757,0.0080765735947633,Asian ancestry,0.796676793,0.246828435,394.0,Late-dry,p,,
222,United States of America,102,Late-dry,7,Both,3,2001,80,87,483,0.2774327122153209,0.0203725042245991,Asian ancestry,0.796676793,0.246828435,134.0,Late-dry,p,,
270,Republic of Korea,68,Late-dry,7,Male,1,2008,40,49,1847,0.0,0.0,Asian ancestry,0.833894627,0.457010102,0.0,Late-dry,p,,
271,Republic of Korea,68,Late-dry,7,Male,1,2008,50,59,1668,0.001199040767386,0.0008473414018054,Asian ancestry,0.833894627,0.457010102,2.0,Late-dry,p,,
272,Republic of Korea,68,Late-dry,7,Male,1,2008,60,69,1516,0.0039577836411609,0.0016125578244956,Asian ancestry,0.833894627,0.457010102,6.0,Late-dry,p,,
273,Republic of Korea,68,Late-dry,7,Male,1,2008,70,95,1125,0.0088888888888888,0.0027983926407389,Asian ancestry,0.833894627,0.457010102,10.0,Late-dry,p,,
274,Republic of Korea,68,Late-dry,7,Female,2,2008,40,49,2385,0.0,0.0,Asian ancestry,0.833894627,0.059257658,0.0,Late-dry,p,,
275,Republic of Korea,68,Late-dry,7,Female,2,2008,50,59,2295,0.0,0.0,Asian ancestry,0.833894627,0.059257658,0.0,Late-dry,p,,
276,Republic of Korea,68,Late-dry,7,Female,2,2008,60,69,1908,0.000524109014675,0.0005239716515447,Asian ancestry,0.833894627,0.059257658,1.0,Late-dry,p,,
277,Republic of Korea,68,Late-dry,7,Female,2,2008,70,95,1608,0.0049751243781094,0.0017545910842253,Asian ancestry,0.833894627,0.059257658,8.0,Late-dry,p,,
323,Thailand,18,Late-dry,7,Both,3,2010,50,99,7043,0.0339344029532869,0.0021574690306306,Asian ancestry,0.62858944,0.226015097,239.0,Late-dry,p,,
359,Nepal,164,Late-dry,7,Both,3,2013,60,69,950,0.011578947368421,0.0034709130220433,Asian ancestry,0.380022326,0.236364844,11.0,Late-dry,p,,
360,Nepal,164,Late-dry,7,Both,3,2013,70,79,697,0.0057388809182209,0.0028611949235036,Asian ancestry,0.380022326,0.236364844,4.0,Late-dry,p,,
361,Nepal,164,Late-dry,7,Both,3,2013,80,95,213,0.0187793427230046,0.0093010875758381,Asian ancestry,0.380022326,0.236364844,4.0,Late-dry,p,,
363,India,163,Late-dry,7,Both,3,2009,60,95,4772,0.0121542330259849,0.0015862006860468,Asian ancestry,0.457672332,0.169289831,58.0,Late-dry,p,,
384,Japan,67,Late-dry,7,Male,1,2007,50,95,1158,0.0008635578583765,0.0008631849117564,Asian ancestry,0.83829416,0.42011668,1.0,Late-dry,p,,
387,Japan,67,Late-dry,7,Female,2,2007,50,95,1505,0.0,0.0,Asian ancestry,0.83829416,0.134044107,0.0,Late-dry,p,,
422,China,6,Late-dry,7,Both,3,2017,50,95,1202,0.0099833610648918,0.0028675262499744,Asian ancestry,0.684619661,0.269823221,12.0,Late-dry,p,,
452,China,6,Late-dry,7,Male,1,2017,50,59,1898,0.000526870389884,0.0005267315753935,Asian ancestry,0.684619661,0.499084021,1.0,Late-dry,p,,
453,China,6,Late-dry,7,Male,1,2017,60,69,1211,0.0016515276630883,0.0011668416791069,Asian ancestry,0.684619661,0.499084021,2.0,Late-dry,p,,
454,China,6,Late-dry,7,Male,1,2017,70,97,435,0.0068965517241379,0.0039679721502238,Asian ancestry,0.684619661,0.499084021,3.0,Late-dry,p,,
455,China,6,Late-dry,7,Female,2,2017,50,59,2168,0.0004612546125461,0.0004611482223676,Asian ancestry,0.684619661,0.036207942,1.0,Late-dry,p,,
456,China,6,Late-dry,7,Female,2,2017,60,69,1489,0.0013431833445265,0.0009491359766133,Asian ancestry,0.684619661,0.036207942,2.0,Late-dry,p,,
457,China,6,Late-dry,7,Female,2,2017,70,97,518,0.0,0.0,Asian ancestry,0.684619661,0.036207942,0.0,Late-dry,p,,
472,Republic of Korea,68,Late-dry,7,Male,1,2017,40,49,1536,0.0006510416666666,0.0006508297045361,Asian ancestry,0.872617764,0.424980009,1.0,Late-dry,p,,
473,Republic of Korea,68,Late-dry,7,Female,2,2017,40,49,2031,0.0,0.0,Asian ancestry,0.872617764,0.053116653,0.0,Late-dry,p,,
474,Republic of Korea,68,Late-dry,7,Male,1,2017,50,59,1609,0.0006215040397762,0.0006213108761228,Asian ancestry,0.872617764,0.424980009,1.0,Late-dry,p,,
475,Republic of Korea,68,Late-dry,7,Female,2,2017,50,59,2170,0.0,0.0,Asian ancestry,0.872617764,0.053116653,0.0,Late-dry,p,,
