area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Netherlands,89,Late-wet,6,Male,1,1990,55,64,1418.0,0.0007052186177715,0.0007049699072655,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,55,64,1802.0,0.0011098779134295,0.0007843665606518,0.794612123,0.383810069,p,,,
Netherlands,89,Late-wet,6,Male,1,1990,65,74,1382.0,0.0028943560057887,0.0014450821610952,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,65,74,1865.0,0.0048257372654155,0.001604693104592,0.794612123,0.383810069,p,,,
Netherlands,89,Late-wet,6,Male,1,1990,75,84,796.0,0.0238693467336683,0.0054102546661858,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,75,84,1505.0,0.0239202657807308,0.0039387407692875,0.794612123,0.383810069,p,,,
Netherlands,89,Late-wet,6,Male,1,1990,85,98,191.0,0.0680628272251308,0.0182234930898001,0.794612123,0.4341561,p,,,
Netherlands,89,Late-wet,6,Female,2,1990,85,98,815.0,0.0748466257668711,0.0092175218831573,0.794612123,0.383810069,p,,,
Finland,79,Late-wet,6,Male,1,1991,70,95,173.0,0.0520231213872832,0.0168839487047202,0.758410687,0.340418945,p,,,
Finland,79,Late-wet,6,Female,2,1991,70,95,305.0,0.0295081967213114,0.0096898566278059,0.758410687,0.262293227,p,,,
Barbados,107,Late-wet,6,Male,1,1995,40,95,712.0,0.0021067415730337,0.0017183343830394,0.676012247,0.165614195,p,,,
Barbados,107,Late-wet,6,Female,2,1995,40,95,956.0,0.0073221757322175,0.0027573715340791,0.676012247,0.049164157,p,,,
Italy,86,Late-wet,6,Both,3,1991,60,74,136.0,0.0,0.0,0.711457349,0.321166262,p,,,
Italy,86,Late-wet,6,Both,3,1991,75,89,48.0,0.0208333333333333,0.0206151772344408,0.711457349,0.321166262,p,,,
Greece,82,Late-wet,6,Male,1,1993,40,49,5.0,0.0,0.0,0.693328926,0.526185095,p,,,
Greece,82,Late-wet,6,Female,2,1993,40,49,18.0,0.0,0.0,0.693328926,0.325969531,p,,,
Greece,82,Late-wet,6,Male,1,1993,50,59,35.0,0.0,0.0,0.693328926,0.526185095,p,,,
Greece,82,Late-wet,6,Female,2,1993,50,59,92.0,0.0,0.0,0.693328926,0.325969531,p,,,
Greece,82,Late-wet,6,Male,1,1993,60,69,95.0,0.0,0.0,0.693328926,0.526185095,p,,,
Greece,82,Late-wet,6,Female,2,1993,60,69,153.0,0.0,0.0,0.693328926,0.325969531,p,,,
Greece,82,Late-wet,6,Male,1,1993,70,79,126.0,0.0079365079365079,0.0079049511199364,0.693328926,0.526185095,p,,,
Greece,82,Late-wet,6,Female,2,1993,70,79,172.0,0.005813953488372,0.0057970278236708,0.693328926,0.325969531,p,,,
