original_row_id,location_name,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,x_sdi,x_tob,Patients with AMD,split_stage,data_type,upper_ci,lower_ci
45,Greece,82,Late-wet,6,Male,1,2000,60,64,161,0.0,0.0,European ancestry,0.73271054,0.502183354,0.0,Late-wet,p,,
46,Greece,82,Late-wet,6,Female,2,2000,60,64,150,0.0066666666666666,0.0066444072834338,European ancestry,0.73271054,0.34892867,1.0,Late-wet,p,,
47,Greece,82,Late-wet,6,Male,1,2000,65,69,486,0.0061728395061728,0.0035528738609785,European ancestry,0.73271054,0.502183354,3.0,Late-wet,p,,
48,Greece,82,Late-wet,6,Female,2,2000,65,69,408,0.0098039215686274,0.0048778723791539,European ancestry,0.73271054,0.34892867,4.0,Late-wet,p,,
49,Greece,82,Late-wet,6,Male,1,2000,70,74,388,0.0,0.0,European ancestry,0.73271054,0.502183354,0.0,Late-wet,p,,
50,Greece,82,Late-wet,6,Female,2,2000,70,74,306,0.0065359477124183,0.0046064848790494,European ancestry,0.73271054,0.34892867,2.0,Late-wet,p,,
51,Greece,82,Late-wet,6,Male,1,2000,75,79,180,0.0111111111111111,0.0078129715221218,European ancestry,0.73271054,0.502183354,2.0,Late-wet,p,,
52,Greece,82,Late-wet,6,Female,2,2000,75,79,198,0.0151515151515151,0.0086812077140445,European ancestry,0.73271054,0.34892867,3.0,Late-wet,p,,
53,Greece,82,Late-wet,6,Male,1,2000,80,95,137,0.0583941605839416,0.0200335999865405,European ancestry,0.73271054,0.502183354,8.0,Late-wet,p,,
54,Greece,82,Late-wet,6,Female,2,2000,80,95,140,0.0642857142857142,0.0207283555313022,European ancestry,0.73271054,0.34892867,9.0,Late-wet,p,,
85,Norway,90,Late-wet,6,Male,1,2002,51,60,75,0.0,0.0,European ancestry,0.856757888,0.332106467,0.0,Late-wet,p,,
86,Norway,90,Late-wet,6,Female,2,2002,51,60,85,0.0,0.0,European ancestry,0.856757888,0.277140697,0.0,Late-wet,p,,
87,Norway,90,Late-wet,6,Male,1,2002,61,70,79,0.0,0.0,European ancestry,0.856757888,0.332106467,0.0,Late-wet,p,,
88,Norway,90,Late-wet,6,Female,2,2002,61,70,83,0.0240963855421686,0.016832180075559,European ancestry,0.856757888,0.277140697,2.0,Late-wet,p,,
89,Norway,90,Late-wet,6,Male,1,2002,71,80,44,0.0,0.0,European ancestry,0.856757888,0.332106467,0.0,Late-wet,p,,
90,Norway,90,Late-wet,6,Female,2,2002,71,80,46,0.0869565217391304,0.0415449167785177,European ancestry,0.856757888,0.277140697,4.0,Late-wet,p,,
91,Norway,90,Late-wet,6,Male,1,2002,81,90,25,0.0,0.0,European ancestry,0.856757888,0.332106467,0.0,Late-wet,p,,
92,Norway,90,Late-wet,6,Female,2,2002,81,90,22,0.0,0.0,European ancestry,0.856757888,0.277140697,0.0,Late-wet,p,,
116,Norway,90,Late-wet,6,Both,3,2009,65,69,976,0.0051229508196721,0.002285177243765,European ancestry,0.876582817,0.216588254,5.0,Late-wet,p,,
117,Norway,90,Late-wet,6,Both,3,2009,70,74,780,0.0179487179487179,0.0047537517535364,European ancestry,0.876582817,0.216588254,13.999999999999998,Late-wet,p,,
118,Norway,90,Late-wet,6,Both,3,2009,75,79,554,0.0433212996389891,0.0086492591277824,European ancestry,0.876582817,0.216588254,24.0,Late-wet,p,,
119,Norway,90,Late-wet,6,Both,3,2009,80,87,321,0.0716510903426791,0.0143950938764385,European ancestry,0.876582817,0.216588254,23.0,Late-wet,p,,
127,Germany,81,Late-wet,6,Both,3,2010,90,92,89,0.1123595505617977,0.0334756127834672,European ancestry,0.87794671,0.286391016,10.0,Late-wet,p,,
128,Germany,81,Late-wet,6,Both,3,2010,93,100,66,0.2121212121212121,0.0503210606384582,European ancestry,0.87794671,0.286391016,14.0,Late-wet,p,,
133,Germany,81,Late-wet,6,Both,3,2007,35,44,1373,0.0,0.0,European ancestry,0.86914044,0.298217818,0.0,Late-wet,p,,
134,Germany,81,Late-wet,6,Both,3,2007,45,54,1224,0.0,0.0,European ancestry,0.86914044,0.298217818,0.0,Late-wet,p,,
135,Germany,81,Late-wet,6,Both,3,2007,55,64,909,0.0,0.0,European ancestry,0.86914044,0.298217818,0.0,Late-wet,p,,
136,Germany,81,Late-wet,6,Both,3,2007,65,74,834,0.0035971223021582,0.0020730609134131,European ancestry,0.86914044,0.298217818,3.0,Late-wet,p,,
149,Ireland,84,Late-wet,6,Male,1,2009,50,64,1365,0.0007326007326007,0.0007323323315173,European ancestry,0.823929666,0.272176715,1.0,Late-wet,p,,
150,Ireland,84,Late-wet,6,Male,1,2009,65,74,603,0.0016583747927031,0.0016569991186441,European ancestry,0.823929666,0.272176715,1.0,Late-wet,p,,
151,Ireland,84,Late-wet,6,Male,1,2009,75,95,189,0.0105820105820105,0.0074429156096765,European ancestry,0.823929666,0.272176715,2.0,Late-wet,p,,
152,Ireland,84,Late-wet,6,Female,2,2009,50,64,1735,0.0011527377521613,0.0008146387427403,European ancestry,0.823929666,0.279398523,2.0,Late-wet,p,,
153,Ireland,84,Late-wet,6,Female,2,2009,65,74,646,0.001547987616099,0.0015467890192363,European ancestry,0.823929666,0.279398523,1.0,Late-wet,p,,
154,Ireland,84,Late-wet,6,Female,2,2009,75,95,209,0.0095693779904306,0.0067341182986224,European ancestry,0.823929666,0.279398523,2.0,Late-wet,p,,
166,Portugal,91,Late-wet,6,Female,2,2009,55,64,642,0.0,0.0,European ancestry,0.702223399,0.205934437,0.0,Late-wet,p,,
167,Portugal,91,Late-wet,6,Female,2,2009,65,74,608,0.0032894736842105,0.0023221803244003,European ancestry,0.702223399,0.205934437,2.0,Late-wet,p,,
168,Portugal,91,Late-wet,6,Female,2,2009,75,84,366,0.0191256830601092,0.0071593668454203,European ancestry,0.702223399,0.205934437,7.0,Late-wet,p,,
169,Portugal,91,Late-wet,6,Female,2,2009,85,95,68,0.0,0.0,European ancestry,0.702223399,0.205934437,0.0,Late-wet,p,,
170,Portugal,91,Late-wet,6,Male,1,2009,55,64,477,0.0020964360587002,0.0020942373836761,European ancestry,0.702223399,0.352143424,1.0,Late-wet,p,,
171,Portugal,91,Late-wet,6,Male,1,2009,65,74,503,0.0019880715705765,0.0019860943731002,European ancestry,0.702223399,0.352143424,1.0,Late-wet,p,,
172,Portugal,91,Late-wet,6,Male,1,2009,75,84,260,0.0038461538461538,0.003838750270769,European ancestry,0.702223399,0.352143424,1.0,Late-wet,p,,
173,Portugal,91,Late-wet,6,Male,1,2009,85,95,51,0.0196078431372549,0.0194146577054249,European ancestry,0.702223399,0.352143424,1.0,Late-wet,p,,
182,Portugal,91,Late-wet,6,Female,2,2009,55,64,669,0.0029895366218236,0.0021107594297124,European ancestry,0.702223399,0.205934437,2.0,Late-wet,p,,
183,Portugal,91,Late-wet,6,Female,2,2009,65,74,598,0.0016722408026755,0.0016708420230057,European ancestry,0.702223399,0.205934437,1.0,Late-wet,p,,
184,Portugal,91,Late-wet,6,Female,2,2009,75,84,351,0.017094017094017,0.0069186999737316,European ancestry,0.702223399,0.205934437,6.000000000000001,Late-wet,p,,
185,Portugal,91,Late-wet,6,Female,2,2009,85,95,77,0.0129870129870129,0.0129024061385766,European ancestry,0.702223399,0.205934437,1.0,Late-wet,p,,
186,Portugal,91,Late-wet,6,Male,1,2009,55,64,529,0.0,0.0,European ancestry,0.702223399,0.352143424,0.0,Late-wet,p,,
187,Portugal,91,Late-wet,6,Male,1,2009,65,74,496,0.0100806451612903,0.0044854212218187,European ancestry,0.702223399,0.352143424,5.0,Late-wet,p,,
188,Portugal,91,Late-wet,6,Male,1,2009,75,84,258,0.0077519379844961,0.0054601606593837,European ancestry,0.702223399,0.352143424,2.0,Late-wet,p,,
189,Portugal,91,Late-wet,6,Male,1,2009,85,95,43,0.0232558139534883,0.0229838067721749,European ancestry,0.702223399,0.352143424,1.0,Late-wet,p,,
204,United Kingdom,95,Late-wet,6,Both,3,2002,65,69,849,0.0094228504122497,0.0033157475395459,European ancestry,0.79665556,0.284416965,7.999999999999999,Late-wet,p,,
205,United Kingdom,95,Late-wet,6,Both,3,2002,70,74,1069,0.0037418147801683,0.0018674038151181,European ancestry,0.79665556,0.284416965,4.0,Late-wet,p,,
206,United Kingdom,95,Late-wet,6,Both,3,2002,75,79,808,0.0235148514851485,0.0053308720754791,European ancestry,0.79665556,0.284416965,19.0,Late-wet,p,,
207,United Kingdom,95,Late-wet,6,Both,3,2002,80,84,533,0.0356472795497185,0.0080309615463618,European ancestry,0.79665556,0.284416965,19.0,Late-wet,p,,
208,United Kingdom,95,Late-wet,6,Both,3,2002,85,89,183,0.0546448087431694,0.0168014365799706,European ancestry,0.79665556,0.284416965,10.0,Late-wet,p,,
209,United Kingdom,95,Late-wet,6,Both,3,2002,90,95,33,0.1212121212121212,0.056814355549157,European ancestry,0.79665556,0.284416965,4.0,Late-wet,p,,
216,Germany,81,Late-wet,6,Both,3,2008,29,79,1841,0.0027159152634437,0.0012129437411248,European ancestry,0.872552849,0.29421038,5.0,Late-wet,p,,
229,France,80,Late-wet,6,Both,3,2008,50,54,4482154,4.75217942087e-05,3.256062316540184e-06,European ancestry,0.79817743,0.33835051,213.0,Late-wet,p,,
230,France,80,Late-wet,6,Both,3,2008,55,59,4280467,0.0003296369298022,8.774063276170444e-06,European ancestry,0.79817743,0.33835051,1411.0,Late-wet,p,,
231,France,80,Late-wet,6,Both,3,2008,60,64,4058397,0.000893949014845,1.48349096462e-05,European ancestry,0.79817743,0.33835051,3628.0,Late-wet,p,,
232,France,80,Late-wet,6,Both,3,2008,65,69,3943090,0.0034244716706948,2.94193825281e-05,European ancestry,0.79817743,0.33835051,13503.0,Late-wet,p,,
233,France,80,Late-wet,6,Both,3,2008,70,74,3035287,0.0090162808327515,5.42559152464e-05,European ancestry,0.79817743,0.33835051,27367.0,Late-wet,p,,
234,France,80,Late-wet,6,Both,3,2008,75,79,2144630,0.0162237775280584,8.6267649187e-05,European ancestry,0.79817743,0.33835051,34794.0,Late-wet,p,,
235,France,80,Late-wet,6,Both,3,2008,80,84,1871243,0.0312556947440818,0.0001272049657212,European ancestry,0.79817743,0.33835051,58486.99999999999,Late-wet,p,,
236,France,80,Late-wet,6,Both,3,2008,85,100,2180882,0.0627195785925144,0.0001641800011839,European ancestry,0.79817743,0.33835051,136784.0,Late-wet,p,,
237,United States of America,102,Late-wet,6,Both,3,2010,45,54,1448,0.0089779005524861,0.0024788188148709,European ancestry,0.825884658,0.204660607,13.0,Late-wet,p,,
238,United States of America,102,Late-wet,6,Both,3,2010,55,64,1925,0.0233766233766233,0.003443809190917,European ancestry,0.825884658,0.204660607,45.0,Late-wet,p,,
239,United States of America,102,Late-wet,6,Both,3,2010,65,74,996,0.1355421686746988,0.0108462460510194,European ancestry,0.825884658,0.204660607,135.0,Late-wet,p,,
240,United States of America,102,Late-wet,6,Both,3,2010,75,95,581,0.3924268502581756,0.0202577206316179,European ancestry,0.825884658,0.204660607,228.00000000000003,Late-wet,p,,
253,Finland,79,Late-wet,6,Male,1,2011,65,95,5541,0.0155206641400469,0.0016605974926547,European ancestry,0.828270577,0.257677184,86.0,Late-wet,p,,
254,Finland,79,Late-wet,6,Female,2,2011,65,95,8722,0.0173125429947259,0.0013966259194678,European ancestry,0.828270577,0.193796843,151.0,Late-wet,p,,
255,Finland,79,Late-wet,6,Male,1,2017,65,95,5466,0.0111598975484815,0.0014208830241992,European ancestry,0.848586128,0.246009742,61.0,Late-wet,p,,
256,Finland,79,Late-wet,6,Female,2,2017,65,95,17213,0.0267239876837274,0.0012292503962528,European ancestry,0.848586128,0.181586591,460.0,Late-wet,p,,
257,Denmark,78,Late-wet,6,Both,3,2008,50,60,760827,0.0025498569319963,5.78176648237e-05,European ancestry,0.861782061,0.26163217,1940.0,Late-wet,p,,
258,Denmark,78,Late-wet,6,Both,3,2008,60,70,682995,0.0103133990731996,0.000122247783773,European ancestry,0.861782061,0.26163217,7044.0,Late-wet,p,,
259,Denmark,78,Late-wet,6,Both,3,2008,70,80,384683,0.0286599615787544,0.0002690121838403,European ancestry,0.861782061,0.26163217,11025.0,Late-wet,p,,
260,Denmark,78,Late-wet,6,Both,3,2008,80,90,206650,0.0316428744253568,0.0003850685373835,European ancestry,0.861782061,0.26163217,6539.0,Late-wet,p,,
261,Denmark,78,Late-wet,6,Both,3,2008,90,100,52150,0.0086289549376797,0.0004050140220898,European ancestry,0.861782061,0.26163217,450.0,Late-wet,p,,
8,United States of America,102,Late,3,Male,1,1993,48,54,776,0.0,0.0,European ancestry,0.773103517,0.278045694,0.01,Late-wet,p,,
9,United States of America,102,Late,3,Female,2,1993,48,54,1098,0.0018214936247723,0.0012868169260726,European ancestry,0.773103517,0.241955272,1.620491916685611,Late-wet,p,,
10,United States of America,102,Late,3,Male,1,1993,55,59,1106,0.0,0.0,European ancestry,0.773103517,0.278045694,0.01,Late-wet,p,,
11,United States of America,102,Late,3,Female,2,1993,55,59,1354,0.000738552437223,0.0007382796569968,European ancestry,0.773103517,0.241955272,0.8246763964402539,Late-wet,p,,
12,United States of America,102,Late,3,Male,1,1993,60,64,1103,0.0018132366273798,0.0012809889652939,European ancestry,0.773103517,0.278045694,1.3041626206534225,Late-wet,p,,
13,United States of America,102,Late,3,Female,2,1993,60,64,1204,0.0,0.0,European ancestry,0.773103517,0.241955272,0.01,Late-wet,p,,
14,United States of America,102,Late,3,Male,1,1993,65,72,1191,0.0041981528127623,0.0018735259138569,European ancestry,0.773103517,0.278045694,3.0971845146148724,Late-wet,p,,
15,United States of America,102,Late,3,Female,2,1993,65,72,1152,0.0034722222222222,0.0017330944083783,European ancestry,0.773103517,0.241955272,3.058594450842413,Late-wet,p,,
22,France,80,Late,3,Male,1,1995,60,69,475,0.0042105263157894,0.0029710171159079,European ancestry,0.757125789,0.417126208,1.262977556655619,Late-wet,p,,
23,France,80,Late,3,Female,2,1995,60,69,611,0.0016366612111292,0.001635321332713,European ancestry,0.757125789,0.3135961,0.7737307453109588,Late-wet,p,,
24,France,80,Late,3,Male,1,1995,70,79,321,0.0155763239875389,0.0069114790331349,European ancestry,0.757125789,0.417126208,3.0624233341638085,Late-wet,p,,
25,France,80,Late,3,Female,2,1995,70,79,464,0.0172413793103448,0.0060429700803377,European ancestry,0.757125789,0.3135961,6.074770903276157,Late-wet,p,,
26,France,80,Late,3,Male,1,1995,80,95,91,0.1098901098901098,0.0327853950394844,European ancestry,0.757125789,0.417126208,4.74045744374883,Late-wet,p,,
27,France,80,Late,3,Female,2,1995,80,95,127,0.0944881889763779,0.0259557726682494,European ancestry,0.757125789,0.3135961,7.719320429243481,Late-wet,p,,
33,United States of America,102,Late,3,Both,3,1997,69,74,267,0.0037453183520599,0.0037382980678146,European ancestry,0.783979278,0.257106187,0.6921633296993897,Late-wet,p,,
34,United States of America,102,Late,3,Both,3,1997,75,79,1032,0.0067829457364341,0.0025550029550588,European ancestry,0.783979278,0.257106187,4.818250015056374,Late-wet,p,,
35,United States of America,102,Late,3,Both,3,1997,80,84,466,0.0278969957081545,0.0076285483320011,European ancestry,0.783979278,0.257106187,7.93221303391734,Late-wet,p,,
36,United States of America,102,Late,3,Both,3,1997,85,89,191,0.031413612565445,0.0126215135688952,European ancestry,0.783979278,0.257106187,3.356018603443093,Late-wet,p,,
37,United States of America,102,Late,3,Both,3,1997,90,97,42,0.0476190476190476,0.0328602647305882,European ancestry,0.783979278,0.257106187,1.0870364579278422,Late-wet,p,,
38,Norway,90,Late,3,Both,3,2006,65,95,744,0.0349462365591397,0.0067327035572775,European ancestry,0.868588435,0.246720391,15.036452464975891,Late-wet,p,,
39,Estonia,58,Late,3,Both,3,2006,65,95,914,0.0382932166301969,0.0063475943676605,European ancestry,0.774451842,0.337977073,20.24137831823678,Late-wet,p,,
40,United Kingdom,95,Late,3,Both,3,2006,65,95,634,0.0378548895899053,0.0075794318353315,European ancestry,0.806817046,0.266325592,13.879802275362366,Late-wet,p,,
41,France,80,Late,3,Both,3,2006,65,95,703,0.0298719772403982,0.006420499953518,European ancestry,0.79232192,0.339939429,12.14482699094207,Late-wet,p,,
42,Italy,86,Late,3,Both,3,2006,65,95,605,0.0363636363636363,0.0076104888814686,European ancestry,0.768402408,0.267720573,12.723152085748834,Late-wet,p,,
43,Greece,82,Late,3,Both,3,2006,65,95,587,0.0477001703577512,0.0087968617706106,European ancestry,0.760209696,0.433687387,16.193102654589424,Late-wet,p,,
44,Spain,92,Late,3,Both,3,2006,65,95,566,0.0141342756183745,0.0049617793370176,European ancestry,0.721970128,0.392176126,4.6266007584541216,Late-wet,p,,
73,United States of America,102,Late,3,Male,1,2002,45,54,296,0.0,0.0,European ancestry,0.800403318,0.266262961,0.01,Late-wet,p,,
74,United States of America,102,Late,3,Female,2,2002,45,54,327,0.0,0.0,European ancestry,0.800403318,0.217634955,0.01,Late-wet,p,,
75,United States of America,102,Late,3,Male,1,2002,55,64,317,0.0031545741324921,0.0031495945332827,European ancestry,0.800403318,0.266262961,0.6674821288160426,Late-wet,p,,
76,United States of America,102,Late,3,Female,2,2002,55,64,361,0.0,0.0,European ancestry,0.800403318,0.217634955,0.01,Late-wet,p,,
77,United States of America,102,Late,3,Male,1,2002,65,74,343,0.0058309037900874,0.0041110334194382,European ancestry,0.800403318,0.266262961,1.235526330078593,Late-wet,p,,
78,United States of America,102,Late,3,Female,2,2002,65,74,327,0.0,0.0,European ancestry,0.800403318,0.217634955,0.01,Late-wet,p,,
79,United States of America,102,Late,3,Male,1,2002,75,85,169,0.0355029585798816,0.014234406710161,European ancestry,0.800403318,0.266262961,3.245334316161125,Late-wet,p,,
80,United States of America,102,Late,3,Female,2,2002,75,85,175,0.0228571428571428,0.0112972041743713,European ancestry,0.800403318,0.217634955,2.8075899686394825,Late-wet,p,,
101,United Kingdom,95,Late,3,Both,3,1997,65,69,352,0.0,0.0,European ancestry,0.775050122,0.310801288,0.01,Late-wet,p,,
102,United Kingdom,95,Late,3,Both,3,1997,70,74,341,0.002932551319648,0.0029282482339557,European ancestry,0.775050122,0.310801288,0.6916876474540474,Late-wet,p,,
