area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Netherlands,89,Early,4,Both,3,1990,55,64,3220.0,0.3611801242236024,0.0084649265806236,0.794612123,0.407778835,p,,,
Netherlands,89,Early,4,Both,3,1990,65,74,3247.0,0.4619648906683092,0.0087492061403814,0.794612123,0.407778835,p,,,
Netherlands,89,Early,4,Both,3,1990,75,84,2301.0,0.4671881790525858,0.0104009866564309,0.794612123,0.407778835,p,,,
Netherlands,89,Early,4,Both,3,1990,85,98,1006.0,0.3727634194831014,0.0152452075896544,0.794612123,0.407778835,p,,,
United States of America,102,Early,4,Male,1,1997,50,59,491.0,0.0692464358452138,0.0114571162677617,0.783979278,0.277847869,p,,,
United States of America,102,Early,4,Female,2,1997,50,59,779.0,0.0513478818998716,0.0079076243188129,0.783979278,0.236761143,p,,,
United States of America,102,Early,4,Male,1,1997,60,69,347.0,0.0778097982708933,0.0143801249292084,0.783979278,0.277847869,p,,,
United States of America,102,Early,4,Female,2,1997,60,69,512.0,0.0859375,0.0123863778261384,0.783979278,0.236761143,p,,,
United States of America,102,Early,4,Male,1,1997,70,79,214.0,0.219626168224299,0.0283000044958395,0.783979278,0.277847869,p,,,
United States of America,102,Early,4,Female,2,1997,70,79,300.0,0.1633333333333333,0.0213428798084634,0.783979278,0.236761143,p,,,
United States of America,102,Early,4,Male,1,1997,80,95,36.0,0.1666666666666666,0.0621129993749941,0.783979278,0.277847869,p,,,
United States of America,102,Early,4,Female,2,1997,80,95,97.0,0.3608247422680412,0.0487609620384999,0.783979278,0.236761143,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,65,69,246.0,0.3048780487804878,0.0293512111183678,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,65,69,158.0,0.310126582278481,0.0367981223071756,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,70,74,260.0,0.3153846153846154,0.028817540048975,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,70,74,128.0,0.328125,0.0415010339079605,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,75,79,101.0,0.3663366336633663,0.0479411876187132,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,75,79,87.0,0.3563218390804598,0.0513447426574588,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,80,84,30.0,0.4666666666666667,0.0910840068085297,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,80,84,21.0,0.4285714285714285,0.1079898494312077,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,85,95,21.0,0.3333333333333333,0.1028688999747279,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Male,1,1999,85,95,6.0,0.6666666666666666,0.1924500897298752,0.745338399,0.444408506,p,,,
Taiwan (Province of China),8,Early,4,Female,2,1999,65,69,158.0,0.310126582278481,0.0367981223071756,0.745338399,0.066122086,p,,,
Taiwan (Province of China),8,Early,4,Female,2,1999,70,74,128.0,0.328125,0.0415010339079605,0.745338399,0.066122086,p,,,
Taiwan (Province of China),8,Early,4,Female,2,1999,75,79,87.0,0.3563218390804598,0.0513447426574588,0.745338399,0.066122086,p,,,
Taiwan (Province of China),8,Early,4,Female,2,1999,80,84,21.0,0.4285714285714285,0.1079898494312077,0.745338399,0.066122086,p,,,
Taiwan (Province of China),8,Early,4,Female,2,1999,85,95,6.0,0.6666666666666666,0.1924500897298752,0.745338399,0.066122086,p,,,
Italy,86,Early,4,Male,1,2005,61,95,86.5,0.4046242774566474,0.0527732056235377,0.765689914,0.31350314,p,,,
Italy,86,Early,4,Female,2,2005,61,95,123.5,0.4736842105263157,0.0449297678861425,0.765689914,0.226240678,p,,,
Italy,86,Early,4,Both,3,2005,61,64,39.5,0.379746835443038,0.0772205744889662,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,65,69,60.5,0.3884297520661157,0.0626616362494156,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,70,74,43.0,0.4534883720930232,0.0759186634022079,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,75,79,44.5,0.550561797752809,0.0745689492579739,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,80,95,22.5,0.4888888888888889,0.1053832251483184,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Male,1,2005,61,95,107.5,0.5069767441860465,0.0482195873585464,0.765689914,0.31350314,p,,,
Italy,86,Early,4,Female,2,2005,61,95,105.0,0.4904761904761904,0.0487861511430636,0.765689914,0.226240678,p,,,
Italy,86,Early,4,Both,3,2005,61,64,33.0,0.5303030303030303,0.0868788299970143,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,65,69,61.5,0.4715447154471545,0.063654337985771,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,70,74,51.0,0.5392156862745098,0.069798327126144,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,75,79,30.5,0.6229508196721312,0.0877558266604039,0.765689914,0.269486512,p,,,
Italy,86,Early,4,Both,3,2005,80,95,36.5,0.3561643835616438,0.079262234342597,0.765689914,0.269486512,p,,,
Iceland,83,Early,4,Both,3,2002,66,69,530.0,0.0679245283018867,0.0109295157548526,0.813400392,0.236453606,p,,,
Iceland,83,Early,4,Both,3,2002,70,74,1582.0,0.0651074589127686,0.0062028743034953,0.813400392,0.236453606,p,,,
Iceland,83,Early,4,Both,3,2002,75,79,1532.0,0.1599216710182767,0.0093644908079422,0.813400392,0.236453606,p,,,
Iceland,83,Early,4,Both,3,2002,80,84,1192.0,0.2869127516778523,0.013101111197124,0.813400392,0.236453606,p,,,
Iceland,83,Early,4,Both,3,2002,85,91,436.0,0.4701834862385321,0.0239030426601051,0.813400392,0.236453606,p,,,
Japan,67,Early,4,Male,1,2008,50,74,988.5,0.2063732928679817,0.0128720152968969,0.840301217,0.406534766,p,,,
Japan,67,Early,4,Female,2,2008,50,74,1809.0,0.2274737423991155,0.0098560518098877,0.840301217,0.129764697,p,,,
Japan,67,Early,4,Both,3,2008,50,59,915.0,0.1885245901639344,0.0129303755166925,0.840301217,0.26811033,p,,,
Japan,67,Early,4,Both,3,2008,60,69,1421.0,0.2311752287121745,0.0111837459448179,0.840301217,0.26811033,p,,,
Japan,67,Early,4,Both,3,2008,70,74,461.5,0.2481040086673889,0.0201052705988181,0.840301217,0.26811033,p,,,
Australia,71,Early,4,Male,1,2015,50,98,704.0,0.1420454545454545,0.0131570789464842,0.824860715,0.173360861,p,,,
Australia,71,Early,4,Female,2,2015,50,98,889.5,0.1540191118605958,0.012103043858839,0.824860715,0.148018445,p,,,
Australia,71,Early,4,Both,3,2015,50,59,466.5,0.1189710610932476,0.014989596085814,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Both,3,2015,60,69,590.5,0.1439458086367485,0.0144457531686919,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Both,3,2015,70,79,359.0,0.1740947075208913,0.0200129303837858,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Male,1,2015,40,92,322.5,0.1240310077519379,0.0183545881189685,0.824860715,0.173360861,p,,,
Australia,71,Early,4,Female,2,2015,40,92,456.0,0.1480263157894736,0.0166303019261915,0.824860715,0.148018445,p,,,
Australia,71,Early,4,Both,3,2015,40,49,285.5,0.0980735551663747,0.0176018559902823,0.824860715,0.160662961,p,,,
