area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Netherlands,89,Intermediate,5,Male,1,1990,55,64,1418.0,0.0409026798307475,0.0052597984734444,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,55,64,1802.0,0.0338512763596004,0.0042602209438951,0.794612123,0.383810069,p,,,
Netherlands,89,Intermediate,5,Male,1,1990,65,74,1382.0,0.0723589001447178,0.0069691842751222,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,65,74,1865.0,0.0369973190348525,0.0043707851344122,0.794612123,0.383810069,p,,,
Netherlands,89,Intermediate,5,Male,1,1990,75,84,796.0,0.1030150753768844,0.0107742346684545,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,75,84,1505.0,0.0870431893687707,0.0072664830408466,0.794612123,0.383810069,p,,,
Netherlands,89,Intermediate,5,Male,1,1990,85,98,191.0,0.2041884816753926,0.02916782506439,0.794612123,0.4341561,p,,,
Netherlands,89,Intermediate,5,Female,2,1990,85,98,815.0,0.1374233128834356,0.0120600820007374,0.794612123,0.383810069,p,,,
United States of America,102,Intermediate,5,Male,1,1997,50,59,491.0,0.2464358452138492,0.0194478371410691,0.783979278,0.277847869,p,,,
United States of America,102,Intermediate,5,Female,2,1997,50,59,779.0,0.2400513478818998,0.0153029609534722,0.783979278,0.236761143,p,,,
United States of America,102,Intermediate,5,Male,1,1997,60,69,347.0,0.3141210374639769,0.0249176749003508,0.783979278,0.277847869,p,,,
United States of America,102,Intermediate,5,Female,2,1997,60,69,512.0,0.322265625,0.0206538856411299,0.783979278,0.236761143,p,,,
United States of America,102,Intermediate,5,Male,1,1997,70,79,214.0,0.2663551401869158,0.0302180610320554,0.783979278,0.277847869,p,,,
United States of America,102,Intermediate,5,Female,2,1997,70,79,300.0,0.3566666666666667,0.0276559550884045,0.783979278,0.236761143,p,,,
United States of America,102,Intermediate,5,Male,1,1997,80,95,36.0,0.3888888888888889,0.0812496702536307,0.783979278,0.277847869,p,,,
United States of America,102,Intermediate,5,Female,2,1997,80,95,97.0,0.2164948453608247,0.0418175747709241,0.783979278,0.236761143,p,,,
United States of America,102,Intermediate,5,Male,1,2002,45,54,778.0,0.0141388174807197,0.0042327695967092,0.800403318,0.266262961,p,,,
United States of America,102,Intermediate,5,Female,2,2002,45,54,891.0,0.0123456790123456,0.0036993133742839,0.800403318,0.217634955,p,,,
United States of America,102,Intermediate,5,Male,1,2002,55,64,814.0,0.027027027027027,0.0056837808424279,0.800403318,0.266262961,p,,,
United States of America,102,Intermediate,5,Female,2,2002,55,64,900.0,0.0233333333333333,0.0050319963885441,0.800403318,0.217634955,p,,,
United States of America,102,Intermediate,5,Male,1,2002,65,74,836.0,0.0430622009569378,0.0070208036561414,0.800403318,0.266262961,p,,,
United States of America,102,Intermediate,5,Female,2,2002,65,74,866.0,0.0427251732101616,0.0068722870174533,0.800403318,0.217634955,p,,,
United States of America,102,Intermediate,5,Male,1,2002,75,85,364.0,0.1043956043956044,0.0160268629386779,0.800403318,0.266262961,p,,,
United States of America,102,Intermediate,5,Female,2,2002,75,85,398.0,0.1130653266331658,0.0158733649533096,0.800403318,0.217634955,p,,,
