original_row_id,location_name,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,x_sdi,x_tob,Patients with AMD,split_stage,data_type,upper_ci,lower_ci
210,Germany,81,Early,4,Both,3,2013,70,95,1040,0.2644230769230769,0.013675620971473,European ancestry,0.885926953,0.275838772,275.0,Early,p,,
213,Germany,81,Early,4,Both,3,2008,29,79,1841,0.048886474741988,0.0050255505414961,European ancestry,0.872552849,0.29421038,90.0,Early,p,,
217,Spain,92,Early,4,Both,3,2013,55,65,61338,0.014574977990805,0.0004838947843317,European ancestry,0.747651982,0.330467812,894.0,Early,p,,
218,Spain,92,Early,4,Both,3,2013,66,75,37381,0.0355528209518204,0.0009577469966824,European ancestry,0.747651982,0.330467812,1329.0,Early,p,,
219,Spain,92,Early,4,Both,3,2013,76,85,17496,0.0593850022862368,0.0017867959248475,European ancestry,0.747651982,0.330467812,1039.0,Early,p,,
220,Spain,92,Early,4,Both,3,2013,85,95,3362,0.0746579417013682,0.0045330478419211,European ancestry,0.747651982,0.330467812,251.0,Early,p,,
241,Ireland,84,Early,4,Both,3,2013,55,64,1257,0.3070803500397772,0.0130106745434568,European ancestry,0.838644433,0.251642781,386.0,Early,p,,
242,Ireland,84,Early,4,Both,3,2013,65,74,1061,0.3091423185673893,0.0141878253366533,European ancestry,0.838644433,0.251642781,328.0,Early,p,,
243,Ireland,84,Early,4,Both,3,2013,75,84,325,0.2923076923076923,0.0252290373196895,European ancestry,0.838644433,0.251642781,95.0,Early,p,,
244,Ireland,84,Early,4,Both,3,2013,85,99,47,0.1914893617021276,0.0573939699659088,European ancestry,0.838644433,0.251642781,9.0,Early,p,,
262,Germany,81,Early,4,Both,3,2016,50,95,4016,0.1038346613545816,0.0048135822231177,European ancestry,0.890896369,0.268395969,417.0,Early,p,,
0,United States of America,102,Early to intermediate,2,Male,1,1993,48,54,776,0.0257731958762886,0.0056883107500321,European ancestry,0.773103517,0.278045694,12.942433045257562,Early,p,,
1,United States of America,102,Early to intermediate,2,Female,2,1993,48,54,1098,0.0200364298724954,0.0042287690370514,European ancestry,0.773103517,0.241955272,15.396417189383287,Early,p,,
2,United States of America,102,Early to intermediate,2,Male,1,1993,55,59,1106,0.0397830018083182,0.0058770029155115,European ancestry,0.773103517,0.278045694,30.862861705344905,Early,p,,
3,United States of America,102,Early to intermediate,2,Female,2,1993,55,59,1354,0.0310192023633678,0.0047115474167879,European ancestry,0.773103517,0.241955272,31.45772314919616,Early,p,,
4,United States of America,102,Early to intermediate,2,Male,1,1993,60,64,1103,0.0598368087035358,0.007141642023775,European ancestry,0.773103517,0.278045694,46.039747607533926,Early,p,,
