original_row_id,location_name,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,x_sdi,x_tob,Patients with AMD,split_stage,data_type,upper_ci,lower_ci
38,United States of America,102,Early,4,Male,1,1997,50,59,491,0.0692464358452138,0.0114571162677617,Hispanic,0.783979278,0.277847869,34.0,Early,p,,
39,United States of America,102,Early,4,Female,2,1997,50,59,779,0.0513478818998716,0.0079076243188129,Hispanic,0.783979278,0.236761143,40.0,Early,p,,
40,United States of America,102,Early,4,Male,1,1997,60,69,347,0.0778097982708933,0.0143801249292084,Hispanic,0.783979278,0.277847869,27.0,Early,p,,
41,United States of America,102,Early,4,Female,2,1997,60,69,512,0.0859375,0.0123863778261384,Hispanic,0.783979278,0.236761143,44.0,Early,p,,
42,United States of America,102,Early,4,Male,1,1997,70,79,214,0.219626168224299,0.0283000044958395,Hispanic,0.783979278,0.277847869,47.0,Early,p,,
43,United States of America,102,Early,4,Female,2,1997,70,79,300,0.1633333333333333,0.0213428798084634,Hispanic,0.783979278,0.236761143,49.0,Early,p,,
44,United States of America,102,Early,4,Male,1,1997,80,95,36,0.1666666666666666,0.0621129993749941,Hispanic,0.783979278,0.277847869,6.0,Early,p,,
45,United States of America,102,Early,4,Female,2,1997,80,95,97,0.3608247422680412,0.0487609620384999,Hispanic,0.783979278,0.236761143,35.0,Early,p,,
0,United States of America,102,Early to intermediate,2,Male,1,2004,40,49,957,0.1650992685475444,0.0120014584655588,Hispanic,0.805304692,0.255691086,68.34312248348807,Early,p,,
1,United States of America,102,Early to intermediate,2,Female,2,2004,40,49,1339,0.1463778939507095,0.0096600702645222,Hispanic,0.805304692,0.205929313,84.46703341927197,Early,p,,
2,United States of America,102,Early to intermediate,2,Male,1,2004,50,59,739,0.2313937753721245,0.0155133490943559,Hispanic,0.805304692,0.255691086,62.18740506197759,Early,p,,
3,United States of America,102,Early to intermediate,2,Female,2,2004,50,59,1055,0.1981042654028436,0.0122709909306053,Hispanic,0.805304692,0.205929313,75.60889558508944,Early,p,,
4,United States of America,102,Early to intermediate,2,Male,1,2004,60,69,470,0.3340425531914893,0.0217558075322527,Hispanic,0.805304692,0.255691086,59.89841359001775,Early,p,,
5,United States of America,102,Early to intermediate,2,Female,2,2004,60,69,665,0.2842105263157894,0.0174904873413874,Hispanic,0.805304692,0.205929313,71.67202009012487,Early,p,,
6,United States of America,102,Early to intermediate,2,Male,1,2004,70,79,236,0.3855932203389831,0.0316837583885719,Hispanic,0.805304692,0.255691086,40.20221955955545,Early,p,,
7,United States of America,102,Early to intermediate,2,Female,2,2004,70,79,296,0.4189189189189189,0.0286772498051605,Hispanic,0.805304692,0.205929313,54.45180229621675,Early,p,,
8,United States of America,102,Early to intermediate,2,Male,1,2004,80,95,45,0.6666666666666666,0.0702728368926306,Hispanic,0.805304692,0.255691086,14.146673189081222,Early,p,,
9,United States of America,102,Early to intermediate,2,Female,2,2004,80,95,73,0.5205479452054794,0.0584711358305341,Hispanic,0.805304692,0.205929313,17.77839665986491,Early,p,,
70,United States of America,102,Early to intermediate,2,Both,3,2005,40,59,505,0.1207920792079207,0.014501713986001,Hispanic,0.80603308,0.225312896,23.80346515502209,Early,p,,
71,United States of America,102,Early to intermediate,2,Both,3,2005,60,95,343,0.2857142857142857,0.024392420598661,Hispanic,0.80603308,0.225312896,43.97339017793606,Early,p,,
