original_row_id,location_name,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,x_sdi,x_tob,Patients with AMD,split_stage,data_type,upper_ci,lower_ci
105,Taiwan (Province of China),8,Early,4,Male,1,1999,65,69,246,0.3048780487804878,0.0293512111183678,Asian ancestry,0.745338399,0.444408506,75.0,Early,p,,
106,Taiwan (Province of China),8,Early,4,Female,2,1999,65,69,158,0.310126582278481,0.0367981223071756,Asian ancestry,0.745338399,0.066122086,49.0,Early,p,,
107,Taiwan (Province of China),8,Early,4,Male,1,1999,70,74,260,0.3153846153846154,0.028817540048975,Asian ancestry,0.745338399,0.444408506,82.0,Early,p,,
108,Taiwan (Province of China),8,Early,4,Female,2,1999,70,74,128,0.328125,0.0415010339079605,Asian ancestry,0.745338399,0.066122086,42.0,Early,p,,
109,Taiwan (Province of China),8,Early,4,Male,1,1999,75,79,101,0.3663366336633663,0.0479411876187132,Asian ancestry,0.745338399,0.444408506,37.0,Early,p,,
110,Taiwan (Province of China),8,Early,4,Female,2,1999,75,79,87,0.3563218390804598,0.0513447426574588,Asian ancestry,0.745338399,0.066122086,31.0,Early,p,,
111,Taiwan (Province of China),8,Early,4,Male,1,1999,80,84,30,0.4666666666666667,0.0910840068085297,Asian ancestry,0.745338399,0.444408506,14.0,Early,p,,
112,Taiwan (Province of China),8,Early,4,Female,2,1999,80,84,21,0.4285714285714285,0.1079898494312077,Asian ancestry,0.745338399,0.066122086,9.0,Early,p,,
113,Taiwan (Province of China),8,Early,4,Male,1,1999,85,95,21,0.3333333333333333,0.1028688999747279,Asian ancestry,0.745338399,0.444408506,7.0,Early,p,,
114,Taiwan (Province of China),8,Early,4,Female,2,1999,85,95,6,0.6666666666666666,0.1924500897298752,Asian ancestry,0.745338399,0.066122086,4.0,Early,p,,
246,Japan,67,Early,4,Both,3,2008,50,59,1830,0.1885245901639344,0.0091431562111418,Asian ancestry,0.840301217,0.26811033,345.0,Early,p,,
247,Japan,67,Early,4,Both,3,2008,60,69,2842,0.2311752287121745,0.0079081025966483,Asian ancestry,0.840301217,0.26811033,657.0,Early,p,,
248,Japan,67,Early,4,Both,3,2008,70,74,923,0.2481040086673889,0.0142165731780148,Asian ancestry,0.840301217,0.26811033,229.0,Early,p,,
365,China,6,Early,4,Male,1,2014,50,59,615,0.3821138211382114,0.0195935466741926,Asian ancestry,0.668640847,0.502991407,235.00000000000003,Early,p,,
366,China,6,Early,4,Female,2,2014,50,59,883,0.3657984144960362,0.0162089252446223,Asian ancestry,0.668640847,0.037427824,323.0,Early,p,,
367,China,6,Early,4,Male,1,2014,60,69,919,0.4461371055495103,0.0163974967104534,Asian ancestry,0.668640847,0.502991407,410.0,Early,p,,
368,China,6,Early,4,Female,2,2014,60,69,751,0.4820239680426098,0.0182334638534379,Asian ancestry,0.668640847,0.037427824,362.0,Early,p,,
369,China,6,Early,4,Male,1,2014,70,95,864,0.3900462962962963,0.0165939449242871,Asian ancestry,0.668640847,0.502991407,337.0,Early,p,,
370,China,6,Early,4,Female,2,2014,70,95,849,0.3957597173144876,0.0167828914605959,Asian ancestry,0.668640847,0.037427824,336.0,Early,p,,
391,China,6,Early,4,Both,3,2015,50,59,694,0.0706051873198847,0.0097238598705971,Asian ancestry,0.671940111,0.271604374,49.0,Early,p,,
392,China,6,Early,4,Both,3,2015,60,69,697,0.1779053084648493,0.014485683313834,Asian ancestry,0.671940111,0.271604374,124.0,Early,p,,
393,China,6,Early,4,Both,3,2015,70,79,585,0.1145299145299145,0.0131664435688781,Asian ancestry,0.671940111,0.271604374,67.0,Early,p,,
394,China,6,Early,4,Both,3,2015,80,95,256,0.10546875,0.0191972789385954,Asian ancestry,0.671940111,0.271604374,27.0,Early,p,,
431,China,6,Early,4,Male,1,2017,50,59,1898,0.0979978925184404,0.0068243931777609,Asian ancestry,0.684619661,0.499084021,186.0,Early,p,,
432,China,6,Early,4,Male,1,2017,60,69,1211,0.1131296449215524,0.0091021965553205,Asian ancestry,0.684619661,0.499084021,137.0,Early,p,,
433,China,6,Early,4,Male,1,2017,70,97,435,0.1218390804597701,0.0156832379172458,Asian ancestry,0.684619661,0.499084021,53.0,Early,p,,
434,China,6,Early,4,Female,2,2017,50,59,2168,0.0857933579335793,0.006014774923018,Asian ancestry,0.684619661,0.036207942,186.0,Early,p,,
435,China,6,Early,4,Female,2,2017,60,69,1489,0.122229684351914,0.0084885095414026,Asian ancestry,0.684619661,0.036207942,182.0,Early,p,,
436,China,6,Early,4,Female,2,2017,70,97,518,0.1718146718146718,0.0165740639342643,Asian ancestry,0.684619661,0.036207942,89.0,Early,p,,
482,Russian Federation,62,Early,4,Both,3,2017,85,98,932,0.1351931330472103,0.0112002811614046,Asian ancestry,0.795669484,0.301889175,126.0,Early,p,,
0,Japan,67,Early to intermediate,2,Male,1,1998,50,59,155,0.0387096774193548,0.0154942733007713,Asian ancestry,0.819016202,0.525779981,3.658841015486664,Early,p,,
1,Japan,67,Early to intermediate,2,Female,2,1998,50,59,285,0.0631578947368421,0.0144086931690379,Asian ancestry,0.819016202,0.147906099,11.501677699937092,Early,p,,
2,Japan,67,Early to intermediate,2,Male,1,1998,60,69,231,0.0649350649350649,0.0162126697125288,Asian ancestry,0.819016202,0.525779981,9.507461689425806,Early,p,,
3,Japan,67,Early to intermediate,2,Female,2,1998,60,69,334,0.0658682634730539,0.0135727839845079,Asian ancestry,0.819016202,0.147906099,14.567266658021266,Early,p,,
4,Japan,67,Early to intermediate,2,Male,1,1998,70,79,180,0.1055555555555555,0.0229023992249858,Asian ancestry,0.819016202,0.525779981,11.206812452551851,Early,p,,
5,Japan,67,Early to intermediate,2,Female,2,1998,70,79,211,0.1421800947867298,0.0240423121717685,Asian ancestry,0.819016202,0.147906099,18.584540905273748,Early,p,,
6,Japan,67,Early to intermediate,2,Male,1,1998,80,95,32,0.21875,0.0730792458354285,Asian ancestry,0.819016202,0.525779981,3.966975393465936,Early,p,,
7,Japan,67,Early to intermediate,2,Female,2,1998,80,95,58,0.2586206896551724,0.0574960311280123,Asian ancestry,0.819016202,0.147906099,8.956154341749778,Early,p,,
80,India,163,Early to intermediate,2,Both,3,2002,50,59,511,0.461839530332681,0.0220541842329646,Asian ancestry,0.407411414,0.181820911,147.33651196800292,Early,p,,
81,India,163,Early to intermediate,2,Both,3,2002,60,69,352,0.3380681818181818,0.025213750209027,Asian ancestry,0.407411414,0.181820911,77.10323402596656,Early,p,,
82,India,163,Early to intermediate,2,Both,3,2002,70,79,238,0.180672268907563,0.0249394055709551,Asian ancestry,0.407411414,0.181820911,25.99567649910025,Early,p,,
86,Japan,67,Early to intermediate,2,Male,1,2000,35,54,259,0.054054054054054,0.0140506822948658,Asian ancestry,0.822938999,0.508882834,6.717046043151934,Early,p,,
87,Japan,67,Early to intermediate,2,Female,2,2000,35,54,329,0.0425531914893617,0.011128213464166,Asian ancestry,0.822938999,0.149901421,7.15520263593859,Early,p,,
88,Japan,67,Early to intermediate,2,Male,1,2000,55,64,143,0.1888111888111888,0.0327270470242784,Asian ancestry,0.822938999,0.508882834,17.335537391893162,Early,p,,
89,Japan,67,Early to intermediate,2,Female,2,2000,55,64,205,0.1121951219512195,0.022042904567315,Asian ancestry,0.822938999,0.149901421,15.411982401651104,Early,p,,
90,Japan,67,Early to intermediate,2,Male,1,2000,65,74,211,0.2748815165876777,0.0307351989906671,Asian ancestry,0.822938999,0.508882834,35.38117800779577,Early,p,,
91,Japan,67,Early to intermediate,2,Female,2,2000,65,74,278,0.2553956834532374,0.0261545440380255,Asian ancestry,0.822938999,0.149901421,45.37743777681634,Early,p,,
92,Japan,67,Early to intermediate,2,Male,1,2000,75,95,99,0.3737373737373737,0.0486232422713918,Asian ancestry,0.822938999,0.508882834,21.07824051644525,Early,p,,
93,Japan,67,Early to intermediate,2,Female,2,2000,75,95,101,0.297029702970297,0.0454681978429526,Asian ancestry,0.822938999,0.149901421,17.99836439492549,Early,p,,
102,Brazil,135,Early to intermediate,2,Both,3,2002,60,95,478,0.1380753138075313,0.0157789729213562,Asian ancestry,0.552776035,0.229940798,39.76955674614458,Early,p,,
135,Singapore,69,Early to intermediate,2,Male,1,2004,40,49,379,0.3271767810026385,0.0241002816401168,Asian ancestry,0.789852774,0.242856351,51.92184709225841,Early,p,,
136,Singapore,69,Early to intermediate,2,Female,2,2004,40,49,433,0.1893764434180138,0.0188290600237311,Asian ancestry,0.789852774,0.086472097,36.86855145946559,Early,p,,
137,Singapore,69,Early to intermediate,2,Male,1,2004,50,59,429,0.4172494172494173,0.0238073239526531,Asian ancestry,0.789852774,0.242856351,109.15542362868548,Early,p,,
138,Singapore,69,Early to intermediate,2,Female,2,2004,50,59,525,0.3771428571428571,0.0211527831085214,Asian ancestry,0.789852774,0.086472097,126.518454699308,Early,p,,
139,Singapore,69,Early to intermediate,2,Male,1,2004,60,69,375,0.544,0.0257197200606849,Asian ancestry,0.789852774,0.242856351,129.301478976191,Early,p,,
140,Singapore,69,Early to intermediate,2,Female,2,2004,60,69,402,0.472636815920398,0.0249003614510033,Asian ancestry,0.789852774,0.086472097,125.80821204654728,Early,p,,
141,Singapore,69,Early to intermediate,2,Male,1,2004,70,80,387,0.6046511627906976,0.0248534793745165,Asian ancestry,0.789852774,0.242856351,137.58757110518098,Early,p,,
142,Singapore,69,Early to intermediate,2,Female,2,2004,70,80,335,0.4477611940298507,0.0271684137908872,Asian ancestry,0.789852774,0.086472097,92.65190020571012,Early,p,,
163,India,163,Early to intermediate,2,Both,3,2011,30,40,1646,0.0127582017010935,0.0027662509985808,Asian ancestry,0.476832909,0.163926009,7.931237047528664,Early,p,,
164,India,163,Early to intermediate,2,Both,3,2011,41,50,1148,0.0357142857142857,0.005477128204749,Asian ancestry,0.476832909,0.163926009,18.64148770257839,Early,p,,
165,India,163,Early to intermediate,2,Both,3,2011,51,60,865,0.0786127167630057,0.0091508082669095,Asian ancestry,0.476832909,0.163926009,43.20140042221175,Early,p,,
166,India,163,Early to intermediate,2,Both,3,2011,61,70,702,0.0997150997150997,0.0113084189828466,Asian ancestry,0.476832909,0.163926009,45.00389619392065,Early,p,,
167,India,163,Early to intermediate,2,Both,3,2011,71,80,156,0.0833333333333333,0.0221285418559914,Asian ancestry,0.476832909,0.163926009,7.811924619951675,Early,p,,
168,India,163,Early to intermediate,2,Both,3,2011,81,100,25,0.08,0.0542586398650021,Asian ancestry,0.476832909,0.163926009,1.163042034642518,Early,p,,
175,China,6,Early to intermediate,2,Male,1,2006,30,39,549,0.0145719489981785,0.0051142871597347,Asian ancestry,0.59875817,0.498311237,2.905104774717388,Early,p,,
176,China,6,Early to intermediate,2,Female,2,2006,30,39,671,0.0104321907600596,0.0039223765105253,Asian ancestry,0.59875817,0.038673978,2.750012408069922,Early,p,,
177,China,6,Early to intermediate,2,Male,1,2006,40,49,597,0.0619765494137353,0.0098680962964876,Asian ancestry,0.59875817,0.498311237,15.49280921301259,Early,p,,
178,China,6,Early to intermediate,2,Female,2,2006,40,49,715,0.0405594405594405,0.0073773772834078,Asian ancestry,0.59875817,0.038673978,13.038877955176856,Early,p,,
179,China,6,Early to intermediate,2,Male,1,2006,50,59,1134,0.1402116402116402,0.0103105370735464,Asian ancestry,0.59875817,0.498311237,96.9592869103966,Early,p,,
180,China,6,Early to intermediate,2,Female,2,2006,50,59,1304,0.1173312883435582,0.008911831984757,Asian ancestry,0.59875817,0.038673978,97.76426044946528,Early,p,,
181,China,6,Early to intermediate,2,Male,1,2006,60,69,537,0.1992551210428305,0.0172371193256371,Asian ancestry,0.59875817,0.498311237,67.81989338457076,Early,p,,
182,China,6,Early to intermediate,2,Female,2,2006,60,69,534,0.1797752808988764,0.0166173124647669,Asian ancestry,0.59875817,0.038673978,63.56625450772916,Early,p,,
183,China,6,Early to intermediate,2,Male,1,2006,70,95,235,0.2893617021276595,0.029580866981198,Asian ancestry,0.59875817,0.498311237,39.0692487389943,Early,p,,
184,China,6,Early to intermediate,2,Female,2,2006,70,95,295,0.1559322033898305,0.021122511995565,Asian ancestry,0.59875817,0.038673978,27.81538632558681,Early,p,,
225,Republic of Korea,68,Early to intermediate,2,Both,3,2010,50,95,10449,0.0276581491051775,0.0016042929742699,Asian ancestry,0.842511429,0.253258182,174.99122096935815,Early,p,,
278,Taiwan (Province of China),8,Early to intermediate,2,Male,1,2010,65,69,103,0.4854368932038835,0.0492455622090546,Asian ancestry,0.827226752,0.398768242,31.07072133991488,Early,p,,
