original_row_id,location_name,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,x_sdi,x_tob,Patients with AMD,split_stage,data_type,upper_ci,lower_ci
30,United States of America,102,Intermediate,5,Male,1,1997,50,59,491,0.2464358452138492,0.0194478371410691,Hispanic,0.783979278,0.277847869,121.0,Intermediate,p,,
31,United States of America,102,Intermediate,5,Female,2,1997,50,59,779,0.2400513478818998,0.0153029609534722,Hispanic,0.783979278,0.236761143,187.0,Intermediate,p,,
32,United States of America,102,Intermediate,5,Male,1,1997,60,69,347,0.3141210374639769,0.0249176749003508,Hispanic,0.783979278,0.277847869,109.0,Intermediate,p,,
33,United States of America,102,Intermediate,5,Female,2,1997,60,69,512,0.322265625,0.0206538856411299,Hispanic,0.783979278,0.236761143,165.0,Intermediate,p,,
34,United States of America,102,Intermediate,5,Male,1,1997,70,79,214,0.2663551401869158,0.0302180610320554,Hispanic,0.783979278,0.277847869,56.99999999999999,Intermediate,p,,
35,United States of America,102,Intermediate,5,Female,2,1997,70,79,300,0.3566666666666667,0.0276559550884045,Hispanic,0.783979278,0.236761143,107.0,Intermediate,p,,
36,United States of America,102,Intermediate,5,Male,1,1997,80,95,36,0.3888888888888889,0.0812496702536307,Hispanic,0.783979278,0.277847869,14.0,Intermediate,p,,
37,United States of America,102,Intermediate,5,Female,2,1997,80,95,97,0.2164948453608247,0.0418175747709241,Hispanic,0.783979278,0.236761143,21.0,Intermediate,p,,
54,United States of America,102,Intermediate,5,Male,1,2002,45,54,185,0.027027027027027,0.0119223992771968,Hispanic,0.800403318,0.266262961,5.0,Intermediate,p,,
55,United States of America,102,Intermediate,5,Female,2,2002,45,54,210,0.0142857142857142,0.0081887357745872,Hispanic,0.800403318,0.217634955,3.0,Intermediate,p,,
56,United States of America,102,Intermediate,5,Male,1,2002,55,64,191,0.0261780104712041,0.0115529108861044,Hispanic,0.800403318,0.266262961,5.0,Intermediate,p,,
57,United States of America,102,Intermediate,5,Female,2,2002,55,64,183,0.0218579234972677,0.010808859621902,Hispanic,0.800403318,0.217634955,4.0,Intermediate,p,,
58,United States of America,102,Intermediate,5,Male,1,2002,65,74,165,0.0363636363636363,0.0145729767167926,Hispanic,0.800403318,0.266262961,6.0,Intermediate,p,,
59,United States of America,102,Intermediate,5,Female,2,2002,65,74,187,0.053475935828877,0.0164522092068708,Hispanic,0.800403318,0.217634955,10.0,Intermediate,p,,
60,United States of America,102,Intermediate,5,Male,1,2002,75,85,70,0.1142857142857142,0.0380271500370681,Hispanic,0.800403318,0.266262961,8.0,Intermediate,p,,
61,United States of America,102,Intermediate,5,Female,2,2002,75,85,83,0.1204819277108433,0.0357309276458476,Hispanic,0.800403318,0.217634955,10.0,Intermediate,p,,
0,United States of America,102,Early to intermediate,2,Male,1,2004,40,49,957,0.1650992685475444,0.0120014584655588,Hispanic,0.805304692,0.255691086,89.65687751651194,Intermediate,p,,
1,United States of America,102,Early to intermediate,2,Female,2,2004,40,49,1339,0.1463778939507095,0.0096600702645222,Hispanic,0.805304692,0.205929313,111.53296658072804,Intermediate,p,,
2,United States of America,102,Early to intermediate,2,Male,1,2004,50,59,739,0.2313937753721245,0.0155133490943559,Hispanic,0.805304692,0.255691086,108.81259493802244,Intermediate,p,,
3,United States of America,102,Early to intermediate,2,Female,2,2004,50,59,1055,0.1981042654028436,0.0122709909306053,Hispanic,0.805304692,0.205929313,133.39110441491056,Intermediate,p,,
4,United States of America,102,Early to intermediate,2,Male,1,2004,60,69,470,0.3340425531914893,0.0217558075322527,Hispanic,0.805304692,0.255691086,97.10158640998225,Intermediate,p,,
5,United States of America,102,Early to intermediate,2,Female,2,2004,60,69,665,0.2842105263157894,0.0174904873413874,Hispanic,0.805304692,0.205929313,117.32797990987514,Intermediate,p,,
6,United States of America,102,Early to intermediate,2,Male,1,2004,70,79,236,0.3855932203389831,0.0316837583885719,Hispanic,0.805304692,0.255691086,50.79778044044456,Intermediate,p,,
7,United States of America,102,Early to intermediate,2,Female,2,2004,70,79,296,0.4189189189189189,0.0286772498051605,Hispanic,0.805304692,0.205929313,69.54819770378326,Intermediate,p,,
8,United States of America,102,Early to intermediate,2,Male,1,2004,80,95,45,0.6666666666666666,0.0702728368926306,Hispanic,0.805304692,0.255691086,15.85332681091878,Intermediate,p,,
9,United States of America,102,Early to intermediate,2,Female,2,2004,80,95,73,0.5205479452054794,0.0584711358305341,Hispanic,0.805304692,0.205929313,20.22160334013509,Intermediate,p,,
70,United States of America,102,Early to intermediate,2,Both,3,2005,40,59,505,0.1207920792079207,0.014501713986001,Hispanic,0.80603308,0.225312896,37.19653484497791,Intermediate,p,,
71,United States of America,102,Early to intermediate,2,Both,3,2005,60,95,343,0.2857142857142857,0.024392420598661,Hispanic,0.80603308,0.225312896,54.02660982206394,Intermediate,p,,
