age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,8.196754368595718e-07,2.2958584373167997e-07,2.1277873545762207e-06
31,0.00012573215961260434,1.8958234429551323e-05,0.00039564785788352464
32,0.0002506446437883506,3.7287481258726356e-05,0.0007899974821379577
33,0.0003755571279640949,5.555941261524903e-05,0.0011844356636150442
34,0.0005004696121398371,7.37845586541489e-05,0.0015786753436907253
35,0.0006253820963155827,9.20934842545071e-05,0.001972854852302242
36,0.0007502945804913304,0.00011036082880774349,0.002367023207118875
37,0.0008752070646670806,0.00012862850137719873,0.0027611576224831308
38,0.001000119548842818,0.0001468967232572021,0.0031550021325248206
39,0.0011250320330185638,0.00016516494513720543,0.003548846642566509
40,0.0012499445171943054,0.0001834331670172088,0.003942691152608198
41,0.0013586969683349384,0.0002579571249420628,0.004124661140671074
42,0.0014674494194755739,0.00029017546784479973,0.004345555608067322
43,0.001576201870616191,0.00031108197525471417,0.004594702849047127
44,0.0016849543217568573,0.00032798150727635257,0.004863882789108922
45,0.0017937067728974684,0.00034405422875504144,0.005167215759091667
46,0.0019024592240381036,0.0003604407499370273,0.005524022924547743
47,0.0020112116751787425,0.0003725680304039881,0.005823499031362034
48,0.0021199641263193697,0.0003839400596257409,0.006134793937808372
49,0.0022287165774599865,0.0003938520127604426,0.006483975220883569
50,0.0023374690286006427,0.00040735336557837703,0.006779446121529376
51,0.002501003576346218,0.0006220671735175378,0.007198138588635815
52,0.0026645381240918463,0.0008014334109622942,0.0075818814537813835
53,0.0028280726718374156,0.0009646931576681432,0.007977123313585197
54,0.0029916072195830105,0.001101767449572173,0.008357646880916707
55,0.0031551417673286284,0.0012143927295632498,0.008801987888964897
56,0.0033186763150742423,0.0013098927410327605,0.009198461618056271
57,0.0034822108628198485,0.0013953690814481972,0.009618163889066016
58,0.0036457454105654407,0.0014757814621254362,0.010015292108354433
59,0.003809279958311031,0.001546759732217693,0.010437765383958754
60,0.00397281450605664,0.0016089480419577405,0.010925353835880634
61,0.004410774924682822,0.0018177326422519156,0.012105921797091544
62,0.004848735343308938,0.002026804191179203,0.013325907308942356
63,0.005286695761935133,0.0022195864856589614,0.014558813247564802
64,0.005724656180561272,0.0024277751433211345,0.01573596110048007
65,0.006162616599187423,0.00262186022213549,0.016965631900698337
66,0.006600577017813604,0.0028075339463905584,0.018263408308437437
67,0.007038537436439672,0.0029862134106152616,0.01956132902060352
68,0.007476497855065915,0.0031654946840734975,0.02078527883648924
69,0.007914458273692044,0.0033411113467174017,0.02203314755345742
70,0.008352418692318161,0.0035154450818943514,0.023254897132669546
71,0.009750914977698422,0.004185827070633869,0.027096365519931862
72,0.011149411263078805,0.004809731100987294,0.031163208581444363
73,0.012547907548459001,0.005407739137161646,0.034763808075626096
74,0.013946403833839544,0.0059849828246209755,0.038584198302961045
75,0.015344900119219752,0.006556249198021337,0.04264143485572151
76,0.01674339640459997,0.007119570438304451,0.046465777872618644
77,0.01814189268998052,0.0076848091846627034,0.05031293563168164
78,0.019540388975360687,0.0082469336378449,0.054229004822811816
79,0.02093888526074093,0.008790583504637491,0.05821627163174985
80,0.022337381546121225,0.009322976889538013,0.06220153967772395
81,0.025058990158128392,0.010461855111878872,0.07011431314091283
82,0.027780598770135355,0.011490892320021547,0.07800725742557903
83,0.030502207382142103,0.012489421574643124,0.08606727637117913
84,0.03322381599414915,0.013455363263951397,0.09398530143074726
85,0.035945424606156344,0.014380175229368219,0.10270734485725411
86,0.038667033218163144,0.015318837323183489,0.11135383799934001
87,0.04138864183017023,0.016211895648173005,0.12008225615928152
88,0.04411025044217701,0.017077718940662266,0.12842049801177402
89,0.046831859054184605,0.0179911086554217,0.1366985724444751
90,0.04955346766619175,0.018900029883011645,0.14515730424369155
91,0.05110635544474331,0.019412782378619584,0.14977174002819185
92,0.05265844182054931,0.019875424850238212,0.15363743827613308
93,0.05421052819635596,0.020321383372579698,0.15924072477834308
94,0.05576261457216174,0.02076518648660883,0.16403943714331942
95,0.05731470094796808,0.021142865544118764,0.16878899021561758
96,0.05886678732377466,0.021585566140517758,0.17394249243087273
97,0.06041875482261668,0.021991955244743632,0.17990490005864543
98,0.06196997536846443,0.022413599934502815,0.185430936108188
99,0.06352119591431214,0.022778974747630607,0.1917655771270992
100,0.06507241646016018,0.02310040493135346,0.19705524507346142
