age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.152073283287751e-06,4.777223967400146e-07,1.7935807514874927e-06
31,0.0035736694439893954,0.002576170607227591,0.004843176412937746
32,0.00714618681469548,0.005150725516733613,0.009685194491308934
33,0.010718704185401622,0.007725478183376627,0.01452721256968012
34,0.01429122155610774,0.010300427091819228,0.01936923064805131
35,0.01786373892681384,0.012875376947501387,0.024211252979693055
36,0.021436256297519867,0.015450326803183544,0.029053277266646808
37,0.025008773668225886,0.0180252766588657,0.03389530155360056
38,0.028581291038932453,0.020600226514547862,0.03873732584055431
39,0.03215380840963828,0.02317517637023002,0.04357935012750806
40,0.03572632578034453,0.025750126225912176,0.048421374414461815
41,0.04065833891895579,0.03001250339125949,0.05401359890539377
42,0.04559035205756765,0.03388988461818499,0.059958306649349515
43,0.050522365196178934,0.037636710805437255,0.06610702433452964
44,0.055454378334790846,0.04125342206064737,0.07259880967287341
45,0.06038639147340223,0.04475379479585324,0.07947503826618856
46,0.06531840461201396,0.048198717613613655,0.08625845809000263
47,0.07025041775062535,0.0514834846655394,0.09311552821852737
48,0.07518243088923633,0.05480295137155164,0.10020435759367419
49,0.08011444402784867,0.05805806274524465,0.1073067601874084
50,0.0850464571664603,0.061229598473837764,0.11444454691778425
51,0.09240697787791106,0.06854707587533919,0.1214339238168821
52,0.09976749858936305,0.07540156102799149,0.1287770483692579
53,0.10712801930081399,0.08175692911419835,0.13702370129566638
54,0.11448854001226544,0.0879305073974421,0.14564963581875198
55,0.12184906072371682,0.09385884379961391,0.15485997821770411
56,0.1292095814351679,0.0994312418365651,0.16437622639717406
57,0.13657010214661913,0.10469610080712596,0.17401978924562264
58,0.14393062285807143,0.10988692041560327,0.18393837693405304
59,0.15129114356952392,0.11501776049565308,0.19394558229828537
60,0.15865166428097224,0.12002926731108379,0.20391116166297765
61,0.1635185638009719,0.12538564969002924,0.20805209568063965
62,0.1683854633209719,0.13036413069000044,0.21285747398832572
63,0.17325236284097062,0.13501118393821443,0.21809137869797138
64,0.1781192623609689,0.13918285890515267,0.22383281322023493
65,0.18298616188096742,0.14295332696251759,0.23007572315684255
66,0.1878530614009673,0.14626733692556515,0.23673074090717097
67,0.1927199609209651,0.14948481839335212,0.24353175814698272
68,0.19758686044096377,0.1526537347032554,0.2506363900552521
69,0.20245375996096499,0.15549523320470657,0.2581654753160904
70,0.20732065948096398,0.15815148080054653,0.2659381494788365
71,0.2114634471202465,0.1627910551200236,0.2693156971503742
72,0.21560623475952662,0.16698008230374445,0.27286686358676243
73,0.21974902239880925,0.17111315813182199,0.2772965675470267
74,0.22389181003809006,0.17460271919404677,0.28193917494369475
75,0.22803459767737183,0.1778799678527723,0.2872394874439813
76,0.23217738531665522,0.18084255461290627,0.29289251646751147
77,0.23632017295593885,0.1835327735585477,0.2992435274945576
78,0.24046296059522035,0.18591638387159232,0.30606661677676705
79,0.2446057482345031,0.1880474451382173,0.31335330535527367
80,0.24874853587378226,0.1900904436887876,0.32114225841573374
81,0.2536968898975786,0.1953976302314191,0.32568249249375336
82,0.2586452439213795,0.20047485410183163,0.33021345958135406
83,0.26359359794517456,0.20435075399217698,0.3361194682169694
84,0.26854195196897057,0.2078779787010765,0.3419043794064491
85,0.27349030599276836,0.2109378195298264,0.3480921267827841
86,0.27843866001656614,0.21361842104628306,0.3553109755411378
87,0.2833870140403636,0.21580632278670098,0.36288335113704717
88,0.28833536806415855,0.21798858951164163,0.37116766623253455
89,0.2932837220879563,0.2200354843171536,0.37998527452139597
90,0.2982320761117557,0.22182052813713452,0.3898909896779393
91,0.30270260315751785,0.2260744106722582,0.39416383006404715
92,0.3071731302032772,0.22999604674081106,0.3998251077904504
93,0.31164365724904225,0.23311639126102127,0.4052143765553251
94,0.31611418429480614,0.23576869538818584,0.411121103224233
95,0.32058471134056726,0.238703407635077,0.418179783925824
96,0.3250552383863293,0.24103922387197219,0.4258862615054667
97,0.3295257654320921,0.24318398201236233,0.433691977733577
98,0.3339962924778598,0.24526491959384278,0.4430447361378021
99,0.338466819523619,0.24725159704911182,0.45179110305077397
100,0.3429373465693806,0.24902025440174108,0.46224374879124547
