region,mean_prev
Armenia,0.005842454540363979
Azerbaijan,0.0034616565057633037
Georgia,0.007477595011909862
Kazakhstan,0.003731627867028495
Kyrgyzstan,0.0027551034288687947
Mongolia,0.0021598724252704367
Tajikistan,0.0012193494008307323
Turkmenistan,0.002645559642430891
Uzbekistan,0.0019710370513645764
Albania,0.0072149752793101655
Bosnia and Herzegovina,0.008698569990289994
Bulgaria,0.010972056544615468
Croatia,0.013675053067812002
Czechia,0.013066559764892254
Hungary,0.009718629352428915
Montenegro,0.012684312003209179
North Macedonia,0.008112667071528462
Poland,0.012226271024615577
Romania,0.011648973260342572
Serbia,0.011155181753144615
Slovakia,0.008941190131892299
Slovenia,0.015658431803163154
Belarus,0.00862678399438575
Estonia,0.013977348064725012
Latvia,0.013749792555217338
Lithuania,0.015080397613294001
Republic of Moldova,0.006504203805058751
Russian Federation,0.009427627966612298
Ukraine,0.006639494801224382
Australia,0.016345660726205056
New Zealand,0.012130188879167435
Brunei Darussalam,0.002594483291434483
Japan,0.01841713108714081
Republic of Korea,0.008647690831175996
Singapore,0.004972514060262443
Canada,0.004844433835554303
Greenland,0.0034745702156836517
United States of America,0.004434310738710859
Argentina,0.003207002696096968
Chile,0.0040762626568871686
Uruguay,0.004397468249892761
Andorra,0.007685875309784811
Austria,0.00922327802631978
Belgium,0.00915185041953407
Cyprus,0.006487043740258407
Denmark,0.009904600234238586
Finland,0.008251027029584752
France,0.015865784847056797
Germany,0.008696955061587098
Greece,0.009906077524139516
Iceland,0.008200900966342932
Ireland,0.005615499125870655
Israel,0.005057787268298814
Italy,0.01011976613728196
Luxembourg,0.006854052128874292
Malta,0.007932727741816355
Monaco,0.016311855728513687
Netherlands,0.007751822419094288
Norway,0.008905840448454822
Portugal,0.004679216843019294
San Marino,0.012101899525619242
Spain,0.009663526383826174
Sweden,0.008943681400819383
Switzerland,0.010772974486300825
United Kingdom,0.009155363884680752
Bolivia (Plurinational State of),0.0013557539220747832
Ecuador,0.001937877967555397
Peru,0.0017521439060836105
Antigua and Barbuda,0.0029282452445845725
Bahamas,0.003516924334954218
Barbados,0.006752338660066208
Belize,0.0014983904714925558
Bermuda,0.00883499642475624
Cuba,0.00458222023248843
Dominica,0.002933966137735767
Dominican Republic,0.0019425552206769627
Grenada,0.0022216232664127016
Guyana,0.002108224553105647
Haiti,0.000695948792053435
Jamaica,0.0032705851207453823
Puerto Rico,0.009614347851406536
Saint Kitts and Nevis,0.0025858644769603044
Saint Lucia,0.002523235407055127
Saint Vincent and the Grenadines,0.0022786632139836474
Suriname,0.003488039376831793
Trinidad and Tobago,0.005645664184847762
United States Virgin Islands,0.006473364686929161
Colombia,0.0031638307496808273
Costa Rica,0.0025557707565217356
El Salvador,0.0016892467006603539
Guatemala,0.001048320685867263
Honduras,0.0010884189881285665
Mexico,0.0021011835385803643
Nicaragua,0.0012109751197422068
Panama,0.002397852965267348
Venezuela (Bolivarian Republic of),0.0017815522340160026
Brazil,0.0030919922205012136
Paraguay,0.001861111273964148
Afghanistan,0.0008485675152840835
Algeria,0.003428152469883824
Bahrain,0.002658511076164566
Egypt,0.00219804291424649
Iran (Islamic Republic of),0.0027788218121762207
Iraq,0.005185727007261249
Jordan,0.004485517488684513
Kuwait,0.009355771037809973
Lebanon,0.00959439427152041
Libya,0.0038680856749630827
Morocco,0.0026390791589036315
Oman,0.00200207860572892
Palestine,0.0032714190219872955
Qatar,0.002319280463812615
Saudi Arabia,0.0031691716320255744
Sudan,0.0045885059558153
Syrian Arab Republic,0.003673008631481504
Tunisia,0.003177438115974327
Türkiye,0.005212524804660797
United Arab Emirates,0.0029493968848829685
Yemen,0.0014210930472250366
Bangladesh,0.0016850319430023863
Bhutan,0.0020276008882041947
India,0.0014594448053676227
Nepal,0.0011083629322563627
Pakistan,0.001149900016662857
China,0.0049497123017692045
Democratic People's Republic of Korea,0.002465183669616433
Taiwan (Province of China),0.012432015920161181
American Samoa,0.012628466535683412
Cook Islands,0.008993823583674381
Fiji,0.0032199297872157187
Guam,0.005890927486606982
Kiribati,0.004458036561364942
Marshall Islands,0.004722324914160411
Micronesia (Federated States of),0.007013433288629453
Nauru,0.002695085692385095
Niue,0.005893666824998292
Northern Mariana Islands,0.005058048397073711
Palau,0.004019719730820578
Papua New Guinea,0.001325465253245157
Samoa,0.004988153597547152
Solomon Islands,0.0016007209426158345
Tokelau,0.00535783037252193
Tonga,0.004789913595040854
Tuvalu,0.0027684000449177855
Vanuatu,0.0008028954985636327
Cambodia,0.001100801319573137
Indonesia,0.00278348155462378
Lao People's Democratic Republic,0.0011977568472789986
Malaysia,0.004084094823872983
Maldives,0.0026843641628966405
Mauritius,0.0038412450304783218
Myanmar,0.0012706185174233423
Philippines,0.0018727751674503105
Seychelles,0.003229553865012578
Sri Lanka,0.00232142544177926
Thailand,0.0029976801484829503
Timor-Leste,0.0015498048659633432
Viet Nam,0.002094620714686209
Angola,0.0006013446314029716
Central African Republic,0.0004865371825698744
Congo,0.0008753574116582856
Democratic Republic of the Congo,0.000645618317207651
Equatorial Guinea,0.0015073748630319707
Gabon,0.001241292488324719
Burundi,0.000414994826304789
Comoros,0.0008517673909763877
Djibouti,0.0008549250698023183
Eritrea,0.00045733040365312746
Ethiopia,0.0005166721148671822
Kenya,0.0008408039947658113
Madagascar,0.0005453905088973706
Malawi,0.0005398511069526522
Mozambique,0.0005208542728587047
Rwanda,0.0006026745520607492
Somalia,0.0003740112372052936
South Sudan,0.0004947632723551257
Uganda,0.0005516626289178381
United Republic of Tanzania,0.0006385270905496247
Zambia,0.0007262825508291209
Botswana,0.0015506317866381095
Eswatini,0.0009375330003272487
Lesotho,0.001026563845905853
Namibia,0.0014813725216486012
South Africa,0.002676645181881154
Zimbabwe,0.0007680279406380446
Benin,0.00048358984060617227
Burkina Faso,0.0005482788078035609
Cabo Verde,0.0010433139365050984
Cameroon,0.0006912485007292839
Chad,0.000504724756976644
Côte d'Ivoire,0.0006274539268659803
Gambia,0.0007260736846785564
Ghana,0.0008869529221176829
Guinea,0.000596062447052517
Guinea-Bissau,0.0004611466454584367
Liberia,0.0006727952478417119
Mali,0.0006795810297107628
Mauritania,0.0016268870814918177
Niger,0.0005161892267273566
Nigeria,0.0007285994288411883
Sao Tome and Principe,0.0006442134876099361
Senegal,0.0008456506644444965
Sierra Leone,0.0007084161123031025
Togo,0.0005352468062584412
