region,mean_prev
Armenia,0.008438179521072352
Azerbaijan,0.007252448304275768
Georgia,0.010255239964831546
Kazakhstan,0.008513819348185198
Kyrgyzstan,0.005948930788370281
Mongolia,0.006959854600922388
Tajikistan,0.013069249542103404
Turkmenistan,0.009483510455095627
Uzbekistan,0.0123222093253479
Albania,0.008012789390458208
Bosnia and Herzegovina,0.00827941626495823
Bulgaria,0.009414048149377898
Croatia,0.010239165228212197
Czechia,0.011517657591952404
Hungary,0.012379931473543345
Montenegro,0.0076441708437561436
North Macedonia,0.006833195006907427
Poland,0.010076296745084114
Romania,0.009176192117184517
Serbia,0.009904371982338032
Slovakia,0.011276265102327399
Slovenia,0.012264755542894612
Belarus,0.011162304802232762
Estonia,0.018493706197434057
Latvia,0.014395502609671939
Lithuania,0.016337217991417692
Republic of Moldova,0.01009210689533531
Russian Federation,0.011254230751419339
Ukraine,0.01365433636944691
Australia,0.01265927351174553
New Zealand,0.012037882552768846
Brunei Darussalam,0.006999475111592727
Japan,0.016429673273043326
Republic of Korea,0.011786453302039262
Singapore,0.012274519482205374
Canada,0.019562808872405843
Greenland,0.008479847678839933
United States of America,0.00946964705187805
Argentina,0.009615064683853959
Chile,0.009807717140718852
Uruguay,0.009856217392711098
Andorra,0.012043462833349831
Austria,0.012580008955286678
Belgium,0.013722334378714944
Cyprus,0.009279419819235902
Denmark,0.016513931482616692
Finland,0.01840182481133368
France,0.018323593022498502
Germany,0.0184763542061706
Greece,0.012067908736541899
Iceland,0.01382510784264904
Ireland,0.008539507851274959
Israel,0.011979489545973467
Italy,0.014333803393273132
Luxembourg,0.014881556399565045
Malta,0.01127602838055333
Monaco,0.016555003654977644
Netherlands,0.019352163487562236
Norway,0.011941768630850568
Portugal,0.006475506427512452
San Marino,0.016292990639028913
Spain,0.029014473172483127
Sweden,0.01868026419485751
Switzerland,0.01958040503990147
United Kingdom,0.014477480593099393
Bolivia (Plurinational State of),0.014055953301171332
Ecuador,0.0159564241744449
Peru,0.020219923560228028
Antigua and Barbuda,0.013474290242018263
Bahamas,0.01299755081933749
Barbados,0.013244392345190458
Belize,0.010976305172348542
Bermuda,0.014544852177515114
Cuba,0.0086049309620638
Dominica,0.01628935468896436
Dominican Republic,0.011839775571108338
Grenada,0.012518370712392408
Guyana,0.00900980184814194
Haiti,0.018410393135446696
Jamaica,0.010332896884437755
Puerto Rico,0.018400248279398013
Saint Kitts and Nevis,0.013805680921046316
Saint Lucia,0.014804551272679007
Saint Vincent and the Grenadines,0.01385316374218368
Suriname,0.006196195347930922
Trinidad and Tobago,0.008813075094759463
United States Virgin Islands,0.020048646491670385
Colombia,0.010177245006724442
Costa Rica,0.014961170063874523
El Salvador,0.01921965113156259
Guatemala,0.022392282724690883
Honduras,0.012524621408292956
Mexico,0.01257054487278017
Nicaragua,0.012831434963314441
Panama,0.019500450587807222
Venezuela (Bolivarian Republic of),0.013458788360866995
Brazil,0.007960849137146606
Paraguay,0.01047677561102084
Afghanistan,0.0076407813399308605
Algeria,0.004205363914244352
Bahrain,0.004239507975563953
Egypt,0.0036876778969640762
Iran (Islamic Republic of),0.006317125445327187
Iraq,0.0030251889128866862
Jordan,0.003547044192543644
Kuwait,0.004896086817159997
Lebanon,0.004694885699015701
Libya,0.004068096806681989
Morocco,0.005209003510327786
Oman,0.004734455846150895
Palestine,0.002946493060919676
Qatar,0.00409479157184389
Saudi Arabia,0.00432612035427412
Sudan,0.003950812246033457
Syrian Arab Republic,0.004239030521051987
Tunisia,0.00700275645628089
Türkiye,0.005091500669740886
United Arab Emirates,0.004776419473352899
Yemen,0.003547702141531593
Bangladesh,0.006704668458812385
Bhutan,0.006982716060009019
India,0.010799720391587051
Nepal,0.012008147701576604
Pakistan,0.006904552044107058
China,0.0064867256302199245
Democratic People's Republic of Korea,0.006444563912733148
Taiwan (Province of China),0.010683098028146279
American Samoa,0.0053367276865194085
Cook Islands,0.0076918086195762
Fiji,0.004770207655872259
Guam,0.011464590050397586
Kiribati,0.002244991682891372
Marshall Islands,0.00320497754761877
Micronesia (Federated States of),0.0029927420378468295
Nauru,0.0030343473644395863
Niue,0.007041882703130066
Northern Mariana Islands,0.005605253898827497
Palau,0.0070558529432336375
Papua New Guinea,0.0036639991927253663
Samoa,0.0032549880898076174
Solomon Islands,0.003306115434647025
Tokelau,0.005759661055075744
Tonga,0.0039702159252749305
Tuvalu,0.004332218382225564
Vanuatu,0.015107117947130998
Cambodia,0.011050712167105936
Indonesia,0.004431162887653806
Lao People's Democratic Republic,0.008059382121698294
Malaysia,0.00556113332414644
Maldives,0.0029743535946550573
Mauritius,0.009091128027657266
Myanmar,0.013681810722055196
Philippines,0.008597960158067137
Seychelles,0.0081490486727955
Sri Lanka,0.01683148601464081
Thailand,0.013618710969474956
Timor-Leste,0.008034497159068375
Viet Nam,0.007845600130922904
Angola,0.01825307030582553
Central African Republic,0.022454902296259738
Congo,0.013970103478717275
Democratic Republic of the Congo,0.015239713503458065
Equatorial Guinea,0.004918871856833572
Gabon,0.012801405586710675
Burundi,0.03304201340056123
Comoros,0.01866323160796259
Djibouti,0.008625524627339377
Eritrea,0.0273555617455757
Ethiopia,0.030404058986088212
Kenya,0.013398072766654959
Madagascar,0.01914255963382123
Malawi,0.02292375613338845
Mozambique,0.02304478922298931
Rwanda,0.022031083998673824
Somalia,0.03541135886178306
South Sudan,0.027567576952999183
Uganda,0.02488742827109655
United Republic of Tanzania,0.023969642921282702
Zambia,0.01273471985225562
Botswana,0.006623595631176946
Eswatini,0.01214046492558072
Lesotho,0.011057047815550329
Namibia,0.007312832157599068
South Africa,0.005901237308785116
Zimbabwe,0.012384143494315896
Benin,0.036449128571061154
Burkina Faso,0.026027607845541447
Cabo Verde,0.020167280034542146
Cameroon,0.01653727950138269
Chad,0.028003166442268808
Côte d'Ivoire,0.015142423787179655
Gambia,0.014831694336166538
Ghana,0.016038018613439082
Guinea,0.024182340830491752
Guinea-Bissau,0.02340163951414234
Liberia,0.013973052699072053
Mali,0.016053934437101448
Mauritania,0.005291940968393205
Niger,0.03163937756962945
Nigeria,0.021233232315341865
Sao Tome and Principe,0.030661756875450467
Senegal,0.013872527549725962
Sierra Leone,0.014394498607824645
Togo,0.02510391008378618
