region,mean_prev
Armenia,0.09905114813254354
Azerbaijan,0.08074369341579984
Georgia,0.10946573607274926
Kazakhstan,0.08441773862182639
Kyrgyzstan,0.07788868294928485
Mongolia,0.07086291282508951
Tajikistan,0.06909739471341442
Turkmenistan,0.07898103109067865
Uzbekistan,0.071362501421931
Albania,0.11028951837243406
Bosnia and Herzegovina,0.11131761117815885
Bulgaria,0.11656528763442807
Croatia,0.11764408306052208
Czechia,0.11324638294599897
Hungary,0.11488632314284157
Montenegro,0.10627430185819986
North Macedonia,0.10014168719013955
Poland,0.10893188228157932
Romania,0.11347524544143309
Serbia,0.11305999396446988
Slovakia,0.1053318290462795
Slovenia,0.11637593944667363
Belarus,0.09618932466834561
Estonia,0.10519171300276632
Latvia,0.10731675003110638
Lithuania,0.1086491914854858
Republic of Moldova,0.09184570578700875
Russian Federation,0.0812373205698658
Ukraine,0.09638244710266956
Australia,0.1258973975786106
New Zealand,0.13150341317843314
Brunei Darussalam,0.08749561612769276
Japan,0.11424000243404535
Republic of Korea,0.09391061238326465
Singapore,0.19687665484434191
Canada,0.13232111678563618
Greenland,0.11152514146288947
United States of America,0.12889893317369408
Argentina,0.11081042626297269
Chile,0.11407948114221958
Uruguay,0.12518558818187844
Andorra,0.11876872390402397
Austria,0.13273870004583752
Belgium,0.13507254977098948
Cyprus,0.1115753233857497
Denmark,0.13684254202374663
Finland,0.14178557920315454
France,0.138541012985672
Germany,0.13995668758154622
Greece,0.138973260054012
Iceland,0.12502800221966173
Ireland,0.11901705661068869
Israel,0.11631546392358291
Italy,0.14175162900777413
Luxembourg,0.11871091004936969
Malta,0.13552249444149833
Monaco,0.14926084183725127
Netherlands,0.13618049126459916
Norway,0.1287601376101465
Portugal,0.1386592216875289
San Marino,0.13275226916490124
Spain,0.13201243200577495
Sweden,0.13691597685916126
Switzerland,0.13085534974688204
United Kingdom,0.1304745606739077
Bolivia (Plurinational State of),0.08031785660803789
Ecuador,0.08502033683167534
Peru,0.08643200890211399
Antigua and Barbuda,0.08984022599440344
Bahamas,0.08652433512705902
Barbados,0.10749366410337437
Belize,0.07616434825922817
Bermuda,0.11361172693994036
Cuba,0.1070250659830917
Dominica,0.10001112433788054
Dominican Republic,0.0832714400948362
Grenada,0.09239539446064177
Guyana,0.08353659832791883
Haiti,0.06931106545706318
Jamaica,0.09125726412459872
Puerto Rico,0.11814737934673342
Saint Kitts and Nevis,0.08810247732211428
Saint Lucia,0.09309887070557057
Saint Vincent and the Grenadines,0.09517881632857382
Suriname,0.09014151171478342
Trinidad and Tobago,0.0952884387402856
United States Virgin Islands,0.11372626309804572
Colombia,0.09290510455308834
Costa Rica,0.0899499389611227
El Salvador,0.09083390520868717
Guatemala,0.07587802733780488
Honduras,0.0762434011911293
Mexico,0.08562257362621115
Nicaragua,0.0757444970044282
Panama,0.09039480235605636
Venezuela (Bolivarian Republic of),0.08820542248023815
Brazil,0.08011779893503049
Paraguay,0.07656961706139345
Afghanistan,0.05880426269893971
Algeria,0.07081155106500568
Bahrain,0.05862074120311972
Egypt,0.0682422309496913
Iran (Islamic Republic of),0.06452710440532189
Iraq,0.06485210000741118
Jordan,0.06481857890131584
Kuwait,0.05315033077672469
Lebanon,0.07919433203086229
Libya,0.0653980374073433
Morocco,0.07552806053340641
Oman,0.04362219158085679
Palestine,0.06455909366725489
Qatar,0.04208689998509699
Saudi Arabia,0.050429253239704604
Sudan,0.062306575327002685
Syrian Arab Republic,0.08007067318303433
Tunisia,0.08079282485244141
Türkiye,0.08004313932601616
United Arab Emirates,0.04171320010573911
Yemen,0.0589730334748781
Bangladesh,0.09325922492663047
Bhutan,0.08632906699526233
India,0.09383881692591359
Nepal,0.09275856978647454
Pakistan,0.08052059455048514
China,0.10694793465495048
Democratic People's Republic of Korea,0.10637296485633527
Taiwan (Province of China),0.15909621581722788
American Samoa,0.0970342912627928
Cook Islands,0.1134414326878467
Fiji,0.08717854900195958
Guam,0.10505833694737836
Kiribati,0.07721058164765021
Marshall Islands,0.07539492429272604
Micronesia (Federated States of),0.0845079978084183
Nauru,0.06404961024737199
Niue,0.11051468472854042
Northern Mariana Islands,0.10869802912579103
Palau,0.09573723733901769
Papua New Guinea,0.0715147660108736
Samoa,0.08874393537917837
Solomon Islands,0.07149754211916604
Tokelau,0.09936159495314112
Tonga,0.09397825229142663
Tuvalu,0.09373555072035497
Vanuatu,0.08100648174363759
Cambodia,0.08312265908629846
Indonesia,0.08502641600752403
Lao People's Democratic Republic,0.07762877680039586
Malaysia,0.08680414967411235
Maldives,0.0645806490480972
Mauritius,0.1066015681563729
Myanmar,0.08865974493199014
Philippines,0.08413343157738776
Seychelles,0.09346211407324506
Sri Lanka,0.10180043522512744
Thailand,0.10678307812713665
Timor-Leste,0.08937985779410457
Viet Nam,0.08849019247774786
Angola,0.07132176873574539
Central African Republic,0.07170720966100594
Congo,0.07268325979155947
Democratic Republic of the Congo,0.07291859586805756
Equatorial Guinea,0.06610735857071168
Gabon,0.07997507620494261
Burundi,0.07117245723993915
Comoros,0.08475707968702993
Djibouti,0.06906873312117369
Eritrea,0.06876412245136862
Ethiopia,0.07179462989469872
Kenya,0.07206096517689876
Madagascar,0.07137655701877076
Malawi,0.07206762341491833
Mozambique,0.07364437338820795
Rwanda,0.07341592834537175
Somalia,0.06747832413380235
South Sudan,0.07577747538463403
Uganda,0.07151224399591433
United Republic of Tanzania,0.0756030579346406
Zambia,0.06835252335063915
Botswana,0.07232033693958108
Eswatini,0.0740364824607588
Lesotho,0.07794082996003214
Namibia,0.07974550870091239
South Africa,0.08456541057726014
Zimbabwe,0.07384724625270846
Benin,0.07322108055946422
Burkina Faso,0.07413468278848664
Cabo Verde,0.08427893695676256
Cameroon,0.07116858892956848
Chad,0.07429726481394064
Côte d'Ivoire,0.06836395614434115
Gambia,0.0737548465630441
Ghana,0.07484993019757122
Guinea,0.07733817741354158
Guinea-Bissau,0.06799813894512957
Liberia,0.07067590318217448
Mali,0.0772103737672702
Mauritania,0.08153946769195768
Niger,0.07565878524613472
Nigeria,0.07447691174889029
Sao Tome and Principe,0.07539214581917458
Senegal,0.07952469201174159
Sierra Leone,0.07342898904770091
Togo,0.07320188621694074
