region,mean_prev
Armenia,0.09261803693906434
Azerbaijan,0.07555193048244845
Georgia,0.10231573274368531
Kazakhstan,0.07893900700048649
Kyrgyzstan,0.07284624717764439
Mongolia,0.06626593905604347
Tajikistan,0.06465030977519169
Turkmenistan,0.07387411133359871
Uzbekistan,0.06677801898001712
Albania,0.10308465143539496
Bosnia and Herzegovina,0.10404149587720544
Bulgaria,0.10885811298224228
Croatia,0.10988877754629647
Czechia,0.1057645604856352
Hungary,0.10731024850355976
Montenegro,0.09932217385356733
North Macedonia,0.09360509460836018
Poland,0.10179834228461115
Romania,0.10599333429994928
Serbia,0.10560708244226595
Slovakia,0.09843659205043681
Slovenia,0.10872233077675077
Belarus,0.09254384247706236
Estonia,0.10109815558278348
Latvia,0.10314114261839302
Lithuania,0.10443377558022934
Republic of Moldova,0.08836514217303568
Russian Federation,0.08042337732659234
Ukraine,0.09269067788308226
Australia,0.1226292415625987
New Zealand,0.12810637445910006
Brunei Darussalam,0.08571045390072372
Japan,0.11262611002221015
Republic of Korea,0.10021565667683818
Singapore,0.19197259553018964
Canada,0.128927111073853
Greenland,0.10874251746055193
United States of America,0.12559938624982664
Argentina,0.10792517440176999
Chile,0.11114376949301738
Uruguay,0.12192195720570904
Andorra,0.11571058705970293
Austria,0.12927127783740347
Belgium,0.13156150291532653
Cyprus,0.1086650832023811
Denmark,0.13326377002097042
Finland,0.13809311360404192
France,0.13493641143264368
Germany,0.1362903490280305
Greece,0.1352987196844654
Iceland,0.1218147020721929
Ireland,0.11591858664259543
Israel,0.11328896990516099
Italy,0.13801291107071337
Luxembourg,0.11563256723374801
Malta,0.13200357805066867
Monaco,0.14536909215965776
Netherlands,0.1326454947404344
Norway,0.12541362042725143
Portugal,0.13501355469539228
San Marino,0.12927363570511413
Spain,0.12854951682972096
Sweden,0.13331188588979068
Switzerland,0.12744743571724018
United Kingdom,0.12706196093823335
Bolivia (Plurinational State of),0.0782630612445424
Ecuador,0.08283573989141002
Peru,0.0842051602571932
Antigua and Barbuda,0.08757023480884021
Bahamas,0.08434820821763694
Barbados,0.10477441045274716
Belize,0.0742218174132273
Bermuda,0.11071542353923916
Cuba,0.10428443007122314
Dominica,0.09746222434003704
Dominican Republic,0.08113080473812631
Grenada,0.09006596251052361
Guyana,0.08144791714580597
Haiti,0.0675401367313284
Jamaica,0.08893655174292946
Puerto Rico,0.1150899246776318
Saint Kitts and Nevis,0.08595151044786523
Saint Lucia,0.0907191453616378
Saint Vincent and the Grenadines,0.09277137327687833
Suriname,0.0878674242530119
