age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.185860492069679e-06,4.241435183885061e-07,1.8055938547119651e-06
31,0.0026756955390437108,0.0019907217682238955,0.003532976446648696
32,0.00537365650055563,0.004001091928767435,0.007086477013315031
33,0.008077549482105479,0.0060179250299943945,0.010647175424851142
34,0.010776625635629502,0.008028415831145644,0.014208072755071719
35,0.013453672738460853,0.010015187343782988,0.017741366138305487
36,0.016098002814065454,0.011977809788551496,0.021249959412404942
37,0.018706922309139305,0.013903162606622024,0.024731002783561475
38,0.02127860638026288,0.015797352041450576,0.028183176180467805
39,0.023877030633600485,0.017717535048697605,0.031661911149687895
40,0.026527627489333367,0.019689562431766793,0.03517177402176501
41,0.029793098404749575,0.022740972910662974,0.038528082082449636
42,0.03308260270166258,0.025599673286409164,0.04218169953022196
43,0.036353166098586104,0.02826885501501192,0.04615678659906659
44,0.03967950124430605,0.030923013746852097,0.05028878335417511
45,0.04309331619505688,0.03349818598580083,0.05469094708735977
46,0.04658302315895585,0.03613231766239979,0.05910137978655172
47,0.05016277650962231,0.03876807965756504,0.06377734634107314
48,0.05364622901303568,0.04122713952492132,0.06843310936078027
49,0.05698447985050458,0.04352489200024625,0.07293358295328484
50,0.06023056530424976,0.045692189791419965,0.07743440273645626
51,0.06450841048382215,0.050235805225703194,0.08128798573914899
52,0.06894334336201507,0.05468049688725196,0.0857158938491906
53,0.07335962290619787,0.058832938618393234,0.09044581250172616
54,0.07772004706297284,0.0627228622642486,0.0954924609959675
55,0.08184848348749524,0.06604105555536523,0.10049937122305352
56,0.08598744699651079,0.06920868127198361,0.10576540410149134
57,0.08998483937074161,0.07221154393500277,0.11125233624929723
58,0.0937253237230097,0.07480509189426442,0.11665224852226008
59,0.09702149674482428,0.07675298862342053,0.12165607595298371
60,0.10031534290544863,0.07861849342671458,0.12688658878394718
61,0.10386400019019419,0.08290543596454868,0.12952755305832658
62,0.10811582948909992,0.08734907509518912,0.13323254650214453
63,0.11263976030649923,0.09175012126726889,0.13766902472816822
64,0.11784354456717927,0.09636784220487261,0.14326396073540038
65,0.1230226559781971,0.10075041811268376,0.14918989002232175
66,0.12786582694992643,0.10451387868683137,0.1554355881121775
67,0.13249677830757228,0.10787607889919555,0.16190420260022365
68,0.13662010619813597,0.11048764224283507,0.16797160262126656
69,0.14067516190743187,0.11281239563176655,0.1741283241855909
70,0.1450730784421164,0.1151893627338634,0.18100268090871857
71,0.14804880612848037,0.11903220584641463,0.18294733008633782
72,0.15435815473095468,0.12576365608486345,0.18867902810672618
73,0.1560561673367364,0.12730817796485555,0.19028412610157225
74,0.1607245327131394,0.1312945398772537,0.19565144075968485
75,0.1654509075435339,0.13480811048977942,0.2017061979596232
76,0.16898402688137995,0.13693009242261436,0.20683210132483035
77,0.1731276566305293,0.13933052380809774,0.21312369418894758
78,0.17678883018272631,0.14092597040248828,0.21907219872388736
79,0.18125245004269072,0.14317366750789973,0.22666124452236805
80,0.18477112429930437,0.14423472815393218,0.2334819713585968
81,0.18909370642883905,0.1492145414659542,0.23715864313755375
82,0.19322116725216054,0.1531572448934321,0.24149995653127687
83,0.19806858220086065,0.15711256302830667,0.24680554289413328
84,0.20331143094543977,0.16093630002698356,0.2538453637740486
85,0.2080851859608909,0.1635482780908448,0.2611112051836105
86,0.2128227355676604,0.16597991065977827,0.2693931310429857
87,0.21766367758178332,0.16824593568165847,0.27812846327292035
88,0.2212092458834713,0.16933567504740474,0.28616810912023954
89,0.22513045670759793,0.17029206657196264,0.2946400968881666
90,0.2285382276380131,0.17073446017591334,0.3025615213283437
91,0.2318438534822862,0.17358085402335363,0.3063973464336937
92,0.23584374670920014,0.1764069510329053,0.3110966321816477
93,0.23917661010465918,0.17817394410804543,0.31574317430865856
94,0.24306149255250323,0.17981338730751745,0.3219305989148083
95,0.24694713574251698,0.18075034348773394,0.32910909677357764
96,0.25132858645270123,0.18245553843848347,0.33663527976497165
97,0.25570998466620554,0.18393792912994839,0.3451939052981764
98,0.2600913203753908,0.18529370141729157,0.35512361590363006
99,0.2644725701758589,0.1868042382809472,0.3644578310706031
100,0.26885370852525414,0.1880625458186694,0.3741573680069345
