age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.123176321163746e-06,4.1561392618203876e-07,1.6780193562220639e-06
31,9.874548126357598e-05,2.6332648037835123e-05,0.0002588546442984192
32,0.0001972858854277839,5.174047755040506e-05,0.000519222338309992
33,0.0002963304824025762,7.72287260363089e-05,0.0007809983075577119
34,0.0003955557283517721,0.00010285385235181582,0.001043327230368281
35,0.0004945498650386706,0.0001283718594448035,0.0013055731321569223
36,0.0005932889681162074,0.00015377729980028355,0.0015656534213279937
37,0.0006912872983817121,0.00017918454806294177,0.0018244860465697382
38,0.0007887267529287861,0.00020417252354514408,0.0020820676267414924
39,0.0008869331318153497,0.00022941482774287638,0.002341119033234966
40,0.0009869250157844894,0.00025525193543092306,0.0026072080818478303
41,0.0012153659326329684,0.0005509718211542558,0.0026955968558537604
42,0.0014448318456693058,0.0008108828868559088,0.0027878069198232704
43,0.0016749951243561706,0.0010317118011065353,0.0028935289634070944
44,0.0019055000574912167,0.0012080785777334709,0.0030041948252485066
45,0.0021364421412810746,0.0013380911270589886,0.003147773423274679
46,0.00236587624072511,0.0014391806134406637,0.003328560467885838
47,0.0025955201282018897,0.0015246748437948922,0.0035590770375410444
48,0.00282297597254475,0.0016009991864992471,0.003832233561554116
49,0.003049568267178188,0.001668350884320726,0.004137187854992285
50,0.00327510192228475,0.0017276304267604288,0.004468433963900174
51,0.003509278930972323,0.0020922229701239576,0.0046820899480612835
52,0.0037454190591855677,0.0024334602365967714,0.004912354407742187
53,0.003984247620330854,0.002767165910765344,0.005162258342583909
54,0.004208774828390612,0.003049223680198368,0.005419692554654239
55,0.004456319341528465,0.0033245482795153467,0.005709035597007907
56,0.004680766058612692,0.00354962268277594,0.005993622222990423
57,0.0049224912843483,0.0037605611776528993,0.006316665051869838
58,0.005149708097034139,0.003934284895214329,0.0066295462487222295
59,0.005373761995937564,0.004080442319364164,0.006947612358640255
60,0.005598628164668794,0.004221356045441087,0.007269175368382539
61,0.006280823105541963,0.00487585327167941,0.007975328133388918
62,0.006979670069168995,0.005481726314996198,0.008750695069940952
63,0.007691183868122836,0.006084034774851633,0.009597183300339162
64,0.008428140507214079,0.006672244203858549,0.010500024266911899
65,0.0091604771017155,0.007236501113825476,0.011430931523853896
66,0.00986758420342503,0.007773746912158958,0.012344788743437887
67,0.010551528984969515,0.008264710898303832,0.01325804569449653
68,0.011216793812898395,0.008736476520321482,0.014163594145921037
69,0.011841086801942484,0.009164683067680588,0.01503321510915157
70,0.012498132887081318,0.009619369581998735,0.015942614826510645
71,0.014529161081309748,0.01149388741466927,0.018172970493590505
72,0.016530774824820176,0.013224003799653697,0.020491050994600427
73,0.018371359501300394,0.0147166448963169,0.022768743754916224
74,0.020379424705782783,0.016272201266386174,0.025320450311308057
75,0.02267254383876065,0.01798344785603305,0.028316514849425583
76,0.02445796513284467,0.019290782724671787,0.03065180997393356
77,0.026161015893312135,0.020493256022011432,0.03292873548819013
78,0.02824331384665625,0.02199183855518993,0.035697284194538596
79,0.03034490358468,0.02347228761866747,0.038552400964675375
80,0.0323912292404158,0.024901265419407154,0.04130382710981986
81,0.036367510105596496,0.028534816555864817,0.04567728451471601
82,0.040265324166546546,0.031845729940281675,0.050285222133735825
83,0.04382931054107831,0.034572980852634314,0.05468948185543218
84,0.04736866248737029,0.03715245198519159,0.05944293280915608
85,0.050714750812438966,0.03948620469309396,0.06397999077637026
86,0.05401217141908807,0.041688411860718914,0.06864859625582147
87,0.05748546534370636,0.043958446036006626,0.07357336945069344
88,0.06091498092453483,0.04610759558678977,0.07849314921384969
89,0.06408051755718089,0.0480360466955394,0.08320253577303163
90,0.06742430958356453,0.05006720784097491,0.08804485673143049
91,0.06877273483909008,0.051279768746038096,0.08980006339646522
92,0.0699903621485405,0.05208582026209261,0.09149488884981327
93,0.07087436928546696,0.0524930038050042,0.09299387172262336
94,0.07188246551945952,0.052812150992997256,0.09499874072380986
95,0.07094820014571837,0.051522022656711894,0.09494049178119363
96,0.07273124054014275,0.05222019473159445,0.09854118461882241
97,0.07451426966199108,0.052862531812674904,0.10253736893516449
98,0.07629727713758175,0.053475047175433194,0.10650666418405313
99,0.0780802562795979,0.05401487816102631,0.11071685374301624
100,0.07986318821385648,0.05453088114213044,0.1148362083483721
