age,sex,mean,lower_ci,upper_ci
0,Both,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
30,Both,1.1205388538033607e-06,4.4859700980381466e-07,1.6340151364059022e-06
31,Both,0.005303178734700465,0.0040900328454430545,0.006808735591227564
32,Both,0.010609248855503661,0.00818942041872935,0.013614167514701453
33,Both,0.015909665532809668,0.012280656167233128,0.020416987533266425
34,Both,0.02121072269605827,0.016368333868550657,0.027217580420989797
35,Both,0.026530247613025533,0.020476698837117016,0.03404011284429667
36,Both,0.031845392595521764,0.024577492840682932,0.040868993093378186
37,Both,0.0371633425874414,0.028686997839428977,0.047717430851401926
38,Both,0.04252087308129196,0.032814520111022406,0.05460545604191011
39,Both,0.04790064738203379,0.0369563278173469,0.061501163822240704
40,Both,0.05331598901798461,0.0411590291589969,0.06841467994376488
41,Both,0.05776045375709831,0.045681231395543434,0.07260603936691402
42,Both,0.062165487463574094,0.049896777174442915,0.07698892170033923
43,Both,0.06658719331423178,0.05395980920327676,0.08177386771130407
44,Both,0.07103726601527414,0.05783767142178196,0.08673845574569206
45,Both,0.07552914668046415,0.06144384982660883,0.09219482600964454
46,Both,0.08009421973916299,0.06509168333305682,0.09790884785507856
47,Both,0.08464029174566497,0.06856954469529061,0.10383570358262514
48,Both,0.08931017885001623,0.07196750856158736,0.11006917592030373
49,Both,0.09400968766876536,0.07529868811234469,0.11656076067830705
50,Both,0.0987544462606069,0.07855586194381536,0.12303724371387881
51,Both,0.1043808083344736,0.0851281385958563,0.1273364414493719
52,Both,0.10983369316054309,0.09124430554558491,0.13183703577750389
53,Both,0.1153837637185195,0.09693452137337044,0.1369457559453869
54,Both,0.1210621873907299,0.10234050879283678,0.14259311013737916
55,Both,0.1268857516130176,0.10751069848202083,0.14903033056614753
56,Both,0.1325764242975072,0.11225917584293495,0.15570272666608548
57,Both,0.13808560978487275,0.11637245773768447,0.1626411480892448
58,Both,0.14358863333483368,0.12021990061996701,0.17000940662706981
59,Both,0.14908459185917378,0.12374048348860987,0.17774439132054665
60,Both,0.15463054865240639,0.12706129616404643,0.18584544626965696
61,Both,0.16048167851980438,0.13419035019091863,0.19014696525082272
62,Both,0.16595760099076715,0.14057070596651758,0.19450939998106068
63,Both,0.17196323361879262,0.14679964117598673,0.19996117719823164
64,Both,0.17784165201193453,0.15230734873801635,0.2062396066414161
65,Both,0.18365827455838368,0.15726200666174595,0.21293382634586144
66,Both,0.1896889238074894,0.1619888080898223,0.22047995387480904
67,Both,0.19529085634936139,0.16582448769725816,0.22823454957035197
68,Both,0.20100816856703518,0.16942418765240277,0.2366469081734652
69,Both,0.2066624983345888,0.17262409824964606,0.2449885306158078
70,Both,0.21240462589449724,0.17580306329750295,0.25387572462371766
71,Both,0.2193142220406875,0.18425929639948135,0.2589688721582056
72,Both,0.22530281259257343,0.1916032111342007,0.2642148873128299
73,Both,0.23242602238156437,0.19868085608197125,0.270732026855103
74,Both,0.23910827622037598,0.20488554690675184,0.27776335147682546
75,Both,0.24443811713295363,0.20892439510844912,0.2840275046909976
76,Both,0.25198085169036627,0.2144380492058516,0.29338990701217943
77,Both,0.2577495868967903,0.21807430581573253,0.30161797006753766
