age,sex,mean,lower_ci,upper_ci
0,Both,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
30,Both,1.199841400515196e-06,5.274046883570869e-07,1.7505846438977583e-06
31,Both,0.003970165225850636,0.0030274491953456656,0.005086347825515409
32,Both,0.007942034396999647,0.006061297880406449,0.010173129405098893
33,Both,0.011908837165010953,0.009090184087090865,0.015253988564899073
34,Both,0.015872548432776187,0.012119279272986012,0.02033135250649335
35,Both,0.019842190578741755,0.015152832464626946,0.025417003810637964
36,Both,0.02379011745863282,0.018161209602430346,0.030477027859869346
37,Both,0.027720432673906104,0.021138451102891663,0.03552831962588575
38,Both,0.03166935153540003,0.024145713551285215,0.04060675060280713
39,Both,0.03563703383886653,0.02716327882402613,0.045697309714870994
40,Both,0.039654732422442336,0.03024864032043938,0.050836868159709184
41,Both,0.042661408762873755,0.033284620062735595,0.053508739014490214
42,Both,0.04561575697493279,0.036101054640924383,0.05643686704161398
43,Both,0.048617023356470564,0.038846682984236575,0.05974655842493232
44,Both,0.0516047491683582,0.041359830286859904,0.06319539433125597
45,Both,0.05466043125961898,0.043869215167407355,0.06691308171022557
46,Both,0.05778651608116328,0.046317637576010276,0.07097992146650559
47,Both,0.06091014246406706,0.048619603024783346,0.07510093866456195
48,Both,0.0641454898337987,0.05089713048288882,0.07953719838191077
49,Both,0.06738029139771617,0.05309160314368776,0.08399665842137433
50,Both,0.0706564139474401,0.05521498700582074,0.08852246523571218
51,Both,0.07431419944577976,0.059451096658186695,0.09120995190108858
52,Both,0.07784202829144976,0.0634385989615673,0.0941260302481977
53,Both,0.08146247528511025,0.06708536365204099,0.09742000354823559
54,Both,0.08525362153253206,0.07078981597579473,0.10136762598261057
55,Both,0.08899948969891626,0.07412747123158371,0.10581616379935435
56,Both,0.09289063332777979,0.07724537445581889,0.1106422490906377
57,Both,0.09649515521165233,0.08008053666710542,0.11553409194224164
58,Both,0.09995286482783278,0.08246649079072463,0.12034555117491888
59,Both,0.1033149936232021,0.08450317725564659,0.12536732538301
60,Both,0.10677870588416465,0.08660270306197107,0.13063945808711624
61,Both,0.11163378311929979,0.09224163376869941,0.1343946273868263
62,Both,0.11628190296565732,0.09719250989529656,0.13808693806297112
63,Both,0.12148026078150233,0.10238320670147891,0.1430548596303976
64,Both,0.12661492758818407,0.10713557277951767,0.14844691698420226
65,Both,0.13180814530560167,0.11158139120653121,0.15466416201032374
66,Both,0.13707308160847367,0.1157697682293131,0.16145177575652106
67,Both,0.14204922532184458,0.11935442793485544,0.16828124107315923
68,Both,0.14710127079410917,0.12267164787152748,0.17534778579828394
69,Both,0.15178264331054842,0.12545302148192225,0.18217851704335145
70,Both,0.15684828800118392,0.128431709074496,0.1896887552628052
71,Both,0.16341053882247766,0.13585673980671453,0.19494693297489063
72,Both,0.16930888112107095,0.14228928611479422,0.20036172632760837
73,Both,0.17577860735668638,0.14840654787381571,0.20697393245339568
74,Both,0.18199077867846553,0.15375939953832157,0.21406864393102104
75,Both,0.1864975418453003,0.15724648869243463,0.2201074668953334
76,Both,0.19380095323752203,0.1626698954511641,0.23001450610437085
77,Both,0.19977916795128278,0.16687237558435314,0.23878614910391516
