age,sex,mean,lower_ci,upper_ci
0,Both,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
30,Both,1.1043934867085393e-06,1.9019282403654408e-07,1.6561925198795145e-06
31,Both,9.834126826824589e-05,2.603068958944019e-05,0.00025495547873090785
32,Both,0.00019649751195798486,5.1214271984005686e-05,0.0005109537409515717
33,Both,0.00029516103706907004,7.659461607907987e-05,0.0007681972518040896
34,Both,0.0003940061204300304,0.000101917828230208,0.0010265700523481
35,Both,0.0004926195207130442,0.00012719660757349715,0.001284127291062971
36,Both,0.0005909932364993113,0.00015252331841197471,0.0015402122502763075
37,Both,0.0006886425672697401,0.00017742490637974695,0.0017953922524211962
38,Both,0.0007857425149862542,0.00020211735341786813,0.002050662239151345
39,Both,0.0008836069391862366,0.0002270916858741494,0.0023053914003412354
40,Both,0.000983247786661911,0.000252679374988837,0.0025651862338817856
41,Both,0.0012115686144375977,0.0005489276541001692,0.0026515001106567912
42,Both,0.001440915308329189,0.0008093371826183493,0.0027474365171001117
43,Both,0.0016709644209508176,0.0010358099075492618,0.0028462326830785475
44,Both,0.0019013446954625607,0.0012239293711250683,0.002976890756381942
45,Both,0.0021321282596717603,0.0013707903549196236,0.0031231004533804284
46,Both,0.0023613604152696085,0.0014823632280568128,0.003320621626747825
47,Both,0.002590836337832829,0.0015779904635512647,0.00357437504466829
48,Both,0.0028180681089288754,0.0016596193001497794,0.0038561186760788313
49,Both,0.0030444030878473433,0.0017382290964041596,0.004159611522586716
50,Both,0.0032696388349406826,0.0018061874323152694,0.004500103969747574
51,Both,0.0035040401458426933,0.002160544271183804,0.0047229095893771425
52,Both,0.003740445709352435,0.0024968773463692833,0.004954411519304988
53,Both,0.0039795663843598065,0.0028136127238206445,0.0052215764670981496
54,Both,0.004204235557545243,0.0030790138861552185,0.00547343383783626
55,Both,0.004452055200145471,0.00333302294006149,0.005768999269444455
56,Both,0.004676741664804138,0.003540047349992129,0.006051224443009949
57,Both,0.004918806451593177,0.003736126757163963,0.006365790262555636
58,Both,0.005146397353624897,0.0039048028879364394,0.00667252335343098
59,Both,0.005370993154390983,0.004053279014768503,0.006998903588383483
60,Both,0.005596330559833617,0.004194143033071293,0.0073191460426408825
61,Both,0.006279495763564256,0.004831028006247559,0.008048017610252168
62,Both,0.00697938951287391,0.005443986669046279,0.008855008336477186
63,Both,0.007691588000712613,0.006038403423640857,0.009716276113042693
64,Both,0.008429251927498225,0.0066273266209296595,0.01064635053369422
65,Both,0.009162343161605028,0.007187637006985776,0.011585607465627645
66,Both,0.009869960931621718,0.007709116050553161,0.01251438692557539
67,Both,0.010554227945306914,0.008207033905430598,0.013433251702080633
68,Both,0.011219942722186918,0.008670299522594769,0.014345776852541205
69,Both,0.011844397570746262,0.009092578911602586,0.01522942763997535
70,Both,0.012501387502699343,0.00953691959134875,0.016131346821986768
71,Both,0.01453494221468439,0.011381521031005086,0.018394871650739362
72,Both,0.01653493846028629,0.01307263001698853,0.020759777719217987
73,Both,0.01837429343285572,0.014552613887786694,0.0230374414221405
74,Both,0.020380945846121788,0.01611020142476656,0.025649314746939583
75,Both,0.02267614593294703,0.017826774127072773,0.02871402060571107
