age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.2333709841340183e-06,1.0714097361990378e-07,2.902914162258076e-06
31,0.005732007832486819,0.003603945850961636,0.011945853339534457
32,0.011324471972852045,0.007242437379982896,0.02021059743553891
33,0.01688207981440939,0.010892045665406457,0.0282420024211338
34,0.022421465220356266,0.01455584241578844,0.0362642103358113
35,0.027941486631429067,0.018198590634359735,0.04426385714346883
36,0.033433437979222054,0.021803972467731816,0.05257376420990006
37,0.03891162210891291,0.02539121471840442,0.060798418867045005
38,0.04441617029594063,0.02897797028609584,0.06925595767577084
39,0.0499552373412661,0.03259591037781426,0.0774999624412129
40,0.05555734785514395,0.036304641399989145,0.0858440784071556
41,0.060900390340544085,0.04055894849135587,0.09337712545275653
42,0.06621384872982165,0.04452232766846009,0.10107325720069908
43,0.07156540850033487,0.04828383163176982,0.10915496514428748
44,0.07697551117864825,0.05191648816415095,0.11733136329227424
45,0.08249558819393218,0.05552295314195488,0.1254878447413876
46,0.08810284348339796,0.05917841662072274,0.13388776862375926
47,0.09384489464579102,0.06270064590903023,0.14243099147855673
48,0.0994596568399694,0.0661051889661958,0.15087544575554607
49,0.10487972080421497,0.06925622512975986,0.1587664513220134
50,0.11024539787712793,0.07234948771218384,0.16690198312642876
51,0.11762498482610988,0.07882020281714784,0.1755563135664095
52,0.1251300469507914,0.08494851379154594,0.18502530477798937
53,0.13269286415325163,0.09079010784792836,0.1944961271344768
54,0.14030989654314366,0.09640832654105594,0.2044767045212179
55,0.14708666703078446,0.10160519469576056,0.2129461676676992
56,0.15557661162113692,0.10647359810136522,0.22642405236078936
57,0.16257272215997362,0.1109501520988912,0.23696750068067415
58,0.16962372661837732,0.11495563625417508,0.2477253887160211
59,0.1763819346616717,0.11820632371267328,0.2590005003971731
60,0.18323102714668124,0.12158008575866822,0.2706174678001931
61,0.19379328233711404,0.13067950597337272,0.282221035366178
62,0.2047286968154213,0.1392931114927473,0.29472469855458205
63,0.21584739426249472,0.14824437937093138,0.307963046833697
64,0.22734849353901124,0.1570254999872266,0.32183326701653286
65,0.23950722094106447,0.16545033502715803,0.33756439874034616
66,0.25144998424105336,0.17353756907083084,0.3540840777104827
67,0.26254893137616814,0.1803280356133562,0.3692315945456769
68,0.2739777369998044,0.18652222344760488,0.38590155780138485
69,0.2853075313456925,0.19236262703515172,0.40387211260358324
70,0.2968261553462864,0.19863121463073705,0.42082872653475206
71,0.31618225492701063,0.2127302286679854,0.44305057271708015
72,0.33313209885418726,0.22724023400696966,0.45851762190488354
73,0.3477451263640257,0.23715878561377124,0.47537938830416054
74,0.36258801892309694,0.24910690338691047,0.49109595554874935
75,0.37138835395461633,0.2590075207525298,0.49846474071273356
76,0.3883609695286876,0.26864962206715826,0.5200059119004592
77,0.4059883010879547,0.27827862075442933,0.543282662534654
78,0.42063793568098323,0.2871141595851054,0.5631005451664846
79,0.43541801471764563,0.29607296968485974,0.5823384226833888
80,0.4500370214568826,0.30384488402448734,0.6028488830008717
81,0.46446604965431115,0.3205909301758509,0.6136331448389323
82,0.4788656289391715,0.3357753050194466,0.6249829276909304
83,0.49726896991618924,0.35048048188597286,0.6410317390998316
84,0.5158738242104042,0.36510570560288746,0.6605620464130237
85,0.5350374440196027,0.3770562289062741,0.6820281628193743
86,0.5530460274395349,0.3882107849070108,0.7037540875887793
87,0.5704070476765127,0.3991028815539571,0.7253193074337552
88,0.588028020426355,0.4070219121458329,0.7487997454059946
89,0.604663844504984,0.4151441353972022,0.7710028634881941
90,0.620828431127562,0.4227818685405942,0.7924303294879184
91,0.6343026020608106,0.4341945526827026,0.7998705837614011
92,0.6483473897656411,0.4457561985786437,0.8091876238132186
93,0.6630752868175909,0.4545475628255206,0.8194865558034856
94,0.6779020226991065,0.4629679137750552,0.8317396295416134
95,0.6988352236530515,0.46720355175635947,0.8503826304924424
96,0.7090539620261815,0.4749492388696683,0.8595833296107056
97,0.7190274106748349,0.48304370023484744,0.870893114490604
98,0.7287333149918547,0.48907964826171585,0.8844433615001096
99,0.7381521264345061,0.49578782208112393,0.8986289099742882
100,0.747235901110606,0.5009594883514135,0.9129522407563956
