age,sex,mean,lower_ci,upper_ci
0,Both,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
30,Both,3.0418781652030115e-07,4.372947999521772e-14,1.571148820706962e-06
31,Both,0.005295597455208174,0.004106469421629205,0.006702688931187378
32,Both,0.010596321224432674,0.008222090505863188,0.013403334597488456
33,Both,0.01589096164079278,0.012334003032085903,0.020097129881309798
34,Both,0.021185235286388028,0.016442552023505183,0.026786727558587253
35,Both,0.026495937189353766,0.02057260884003184,0.03349102527062144
36,Both,0.02987962725581924,0.023569815870817364,0.03730935984746206
37,Both,0.03326279781371376,0.026231479007468132,0.04163543471101638
38,Both,0.03667788311062317,0.02870027223006424,0.046278549768931754
39,Both,0.04011127394500436,0.030983072588789653,0.05121658947363438
40,Both,0.04357752129293885,0.03317211549297207,0.0563054393722853
41,Both,0.048213230483760326,0.0375038401098572,0.060887963401368546
42,Both,0.05281595253184944,0.04148156694271138,0.06608469569022705
43,Both,0.05743561159392297,0.044952839820980785,0.0720333912851847
44,Both,0.062080046987872325,0.048233359063193926,0.07825816394586187
45,Both,0.06677098425190149,0.05123805750128034,0.08484187086317324
46,Both,0.07190403947189156,0.056625616500629715,0.08962903971782009
47,Both,0.0770264872278364,0.06136867235812762,0.0949963347700033
48,Both,0.08226714346807645,0.06551458491663079,0.10147657129477437
49,Both,0.08753634852473727,0.06919355894656233,0.1086991826975955
50,Both,0.09285046305163965,0.07249563461477135,0.11640712788544337
51,Both,0.09862829073727755,0.07931352578085864,0.12085129834783294
52,Both,0.1042404407847198,0.08517179887221774,0.12613782360535558
53,Both,0.1099477988981902,0.09022777615218243,0.13255281039726752
54,Both,0.11578915816522027,0.09476329306988178,0.1399004617775218
55,Both,0.12177209781126308,0.09865616535480115,0.14837081668207827
56,Both,0.12781337695795503,0.10597631325801074,0.153080901196237
57,Both,0.1336822393056816,0.11175402641409847,0.15879974437943475
58,Both,0.13951751113149696,0.11627746953896573,0.165932277439402
59,Both,0.14531741142342497,0.12000729115170884,0.17419099843079341
60,Both,0.15116935803545264,0.12296046956919975,0.18358787472230623
61,Both,0.15725105925782754,0.1306451825381821,0.1878035409279018
62,Both,0.162985198185855,0.13669373063225468,0.19326675946622848
63,Both,0.1692811303931823,0.1422139835980185,0.20041941689604859
64,Both,0.17547978524675462,0.1466709865451238,0.20887545987280928
65,Both,0.18161038782372022,0.15053064141922123,0.2187740863901945
66,Both,0.18763364979865652,0.15793770483382036,0.22314937413405111
67,Both,0.19321581873008908,0.16350376438592093,0.22828887846308227
68,Both,0.19887698305985382,0.16781377175182557,0.23470698309117288
69,Both,0.20443450624475581,0.17123069310109598,0.24267467476653934
70,Both,0.21012830968242052,0.17402195494067665,0.25243212215618965
71,Both,0.2168041259680889,0.18194692491271267,0.25780441805461296
72,Both,0.22278670750678317,0.1877847982877063,0.2632969096884506
73,Both,0.22964038859400934,0.1930304050252352,0.271476774802819
74,Both,0.23625679512888015,0.1972216609914238,0.28095387456234444
75,Both,0.24159633176058068,0.19975986870600804,0.2901830090931209
76,Both,0.24938273333967806,0.20838320914456687,0.29702626705105756
77,Both,0.2553705093926475,0.21401549857694824,0.30250887890339095
