age,sex,mean,lower_ci,upper_ci
0,Both,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
30,Both,3.3628072231399317e-07,5.6091741911674936e-14,1.6036333198467547e-06
31,Both,0.004088382362348722,0.003108473140764787,0.005224294458768252
32,Both,0.008181582890107031,0.006227924735198507,0.01044404530814288
33,Both,0.012269854811226468,0.009342359833226743,0.0156561939693195
34,Both,0.01635417981782332,0.012455096310750938,0.02086683841909261
35,Both,0.02044263405580282,0.01556276422056048,0.026081539670604892
36,Both,0.022923428016568825,0.01768988034504228,0.02897807537407394
37,Both,0.02538796487996397,0.019601855190604606,0.032144683307425106
38,Both,0.027869979661953787,0.021346292841127906,0.03556212916491637
39,Both,0.03037139912035198,0.022996327667158856,0.03916711414305294
40,Both,0.03291969388844054,0.024599770059686114,0.04300631061617103
41,Both,0.03622020430159505,0.02765642257197439,0.04621726758340564
42,Both,0.03947564847692911,0.03038941612158467,0.0498350408434941
43,Both,0.04277231790101722,0.032907611844180555,0.05406473984474509
44,Both,0.04606030358436657,0.03524430875551705,0.058527258780964965
45,Both,0.04941589987343518,0.03745674342965892,0.06339173396541165
46,Both,0.05282289622437195,0.04100974403343611,0.06653389856141377
47,Both,0.05623455525802501,0.04409842137547137,0.07024096189870523
48,Both,0.05974848637979052,0.04692839880714965,0.07444839984097883
49,Both,0.06326091271461086,0.049424862494687624,0.0792546565778699
50,Both,0.06681307028519537,0.05167979231992241,0.08447748710419194
51,Both,0.07054007656442157,0.05587500485149406,0.08758432796590891
52,Both,0.07414974299478502,0.05942893238785473,0.09130640620284296
53,Both,0.07784844838070223,0.06236640593429825,0.09568719792716474
54,Both,0.08170986758195467,0.06505265218577846,0.10064212338729056
55,Both,0.08553184234416683,0.06734588559481343,0.10628403654875644
56,Both,0.08990793863470632,0.07242137310498957,0.11004744534688454
57,Both,0.09401478637589014,0.07654304704889989,0.1143566625718992
58,Both,0.09795740772978595,0.07954182715234748,0.11935298692204971
59,Both,0.10177651296858688,0.08177102367543246,0.12486724243494847
60,Both,0.10569679435243215,0.08379186374183797,0.131390337925802
61,Both,0.11059664331006243,0.08970782804882976,0.13544691698250474
62,Both,0.11532035698647437,0.09456942811013375,0.13988945431150765
63,Both,0.12061743430625747,0.09918086335076294,0.1460934287970891
64,Both,0.12588851633919032,0.1030897865780427,0.1532716351235485
65,Both,0.1312077364805443,0.10634851525529251,0.1613106536284155
66,Both,0.13667262816472686,0.11236700643750551,0.16558416152932948
67,Both,0.14183096924418787,0.11743589620986057,0.170641090999101
68,Both,0.14702662816371453,0.12147185653642006,0.17677353303901885
69,Both,0.15183408035655918,0.12435765173155044,0.18379922710087884
70,Both,0.15704731771879415,0.12714440690711795,0.19215219319971347
71,Both,0.16346050451326546,0.13433298132278274,0.19784871670557547
72,Both,0.16941673866165527,0.14019101768009318,0.20385770834311906
73,Both,0.17566570589251562,0.14509484302855516,0.21156195344796447
74,Both,0.1818625682856045,0.14936876094776436,0.22009224453555165
75,Both,0.18645690679721869,0.1512998344264872,0.2281604365825149
76,Both,0.19395150098011427,0.15954621388126827,0.2346456271932484
77,Both,0.20014798753766208,0.1649167663102977,0.24107755986377918
