age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.014647736352902e-06,4.0281170402511e-07,1.4671580241770008e-06
31,0.0025110055365740952,0.0013823093046459597,0.004191791768318692
32,0.005037911385233034,0.002771757817888609,0.008406263785556482
33,0.0075744397127189686,0.00416996538085275,0.012637007476549958
34,0.010115039701971654,0.005572464310089941,0.01688019038905638
35,0.012649445329679605,0.006979566196412585,0.021098807114363464
36,0.015175325658542295,0.00838856115306355,0.02531217912278741
37,0.01769182842708908,0.00979444054574672,0.029473221140872863
38,0.020198215879023096,0.011203047765154598,0.033597302175228
39,0.022720804783251062,0.012616672325000007,0.03778079304279558
40,0.02525960743257886,0.014037379688043132,0.04198395526053544
41,0.027636529291958735,0.015521504018630712,0.04565413818887762
42,0.030030779159584152,0.01689112477364221,0.049153136781542046
43,0.03242051312943223,0.01833904282566189,0.05299445424787447
44,0.034820088075909694,0.019694945439554277,0.05698198122451917
45,0.037240921881679344,0.020960062739957,0.0610984330452418
46,0.0396733075559366,0.022185003362314906,0.06528031692911547
47,0.04215727048260858,0.02345278877661529,0.06963629383236077
48,0.04457804057809446,0.024669432531146052,0.07403044979436404
49,0.0469256859828613,0.025874394082416433,0.07800823779017037
50,0.04923014913704503,0.027022772921643227,0.08190288883498498
51,0.05254833373492991,0.02924100545048571,0.08661109851505452
52,0.055935079274137954,0.031353530017784334,0.09178168390844074
53,0.05931871922834997,0.03340038110006212,0.09708778596745395
54,0.06267045954649539,0.035516568184227194,0.10239333151698005
55,0.06587194927340659,0.03744129203039676,0.10781865761505562
56,0.06920442129809863,0.03939397373839509,0.11314764932793296
57,0.07236350139614497,0.04115669656384915,0.11857849928864866
58,0.07543947757055842,0.043009131385741056,0.1240733549525032
59,0.07837835574234442,0.04478621478045679,0.12926359242752392
60,0.08127676181120796,0.04634977964707139,0.13436853434976662
61,0.08588773580829537,0.049722043013297246,0.1399839464841002
62,0.09082229781458655,0.05283875351139261,0.14686703919146
63,0.09577242336167885,0.056095658601707024,0.1540177471210504
64,0.10101106791800583,0.059316823322020484,0.16250254919132334
65,0.10633347681505045,0.0623746589842588,0.17100932474039943
66,0.11145875451452192,0.06545449540905472,0.17992629375307095
67,0.11647619982443597,0.06810888634051396,0.18846982700087977
68,0.12134260523920425,0.07098843205076846,0.1965967115117478
69,0.12615833088732256,0.07367473758345786,0.20492284204053088
70,0.13112581205552698,0.0762152247085539,0.21406471864036414
71,0.13790824581572692,0.08153430668362971,0.22224976327777346
72,0.14550649684783917,0.0860125773796458,0.23313898718889092
73,0.15113286689296918,0.0901137067291419,0.2397124594222513
74,0.15770533613702406,0.0939847374393732,0.24946972106963664
75,0.16423542213027015,0.09687144891661235,0.26052713043921477
76,0.17076562195510736,0.10082812457532844,0.27123124338582555
77,0.1777544477406215,0.10452504651325059,0.28347038113778855
78,0.1841562165102706,0.10775757090391062,0.29485335083662945
79,0.19140935134239556,0.11091121841294022,0.30884213356416074
80,0.1976387334992332,0.11340559448560211,0.31984596560748846
81,0.20464177449228313,0.11856719505409861,0.3280985448896204
82,0.2115005504940855,0.12259610973422642,0.33671935114426554
83,0.21956507986234564,0.1269314237089886,0.3474800157061749
84,0.22785489917110455,0.13132383352434496,0.36012581211261013
85,0.2357851163930461,0.13540257763892194,0.37400711994544866
86,0.2435271178695401,0.1387855747671733,0.38803662275826434
87,0.25164581356775106,0.142494693701229,0.40387856060484983
88,0.25949065406596306,0.14604962026231025,0.41916917404977366
89,0.26709807593836604,0.14918869659604936,0.43512400955500374
90,0.27440406666757416,0.15181082793434447,0.4503862719234431
91,0.2807015077277578,0.15585920669217218,0.45980586074801205
92,0.2879812071914516,0.15976668032715727,0.47102388984898225
93,0.2948837298884214,0.16362635675824153,0.48149106964881544
94,0.30268402820158197,0.16724055695674017,0.4952643497437987
95,0.3149975319293359,0.17349028858109655,0.5187184991364656
96,0.3216191996008373,0.17615963178077101,0.531306344817408
97,0.32822461852473933,0.1788538780167909,0.5424076798009574
98,0.3348112911110164,0.18127016329170118,0.5557492979466396
99,0.3413742871731837,0.18367427976245093,0.5669567813552115
100,0.34791484081160734,0.1861158180155135,0.5797074873001838
