age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0002347928312471157,5.802598715619182e-07,0.003472568290719836
31,0.004899287607088176,0.0004167771948263116,0.019474315948270978
32,0.007064500588803709,0.0008455208953378541,0.026135321345869888
33,0.008858240179623496,0.0012766737486024542,0.032609864544118815
34,0.010478617295556608,0.0017043065715274322,0.036868037005846045
35,0.012000195181852916,0.0021210069683026767,0.04062290887811132
36,0.013452560715235371,0.0025133095591570597,0.044637855925022486
37,0.01486663382776135,0.0028851280562628232,0.04869739395388575
38,0.016266483980937517,0.003250550642218055,0.05271081091802734
39,0.01768162793341422,0.003634117276210988,0.05656654221858195
40,0.01908468104364045,0.004061032082892138,0.060197247010235884
41,0.020238119318536165,0.004495652379237656,0.06321175513437648
42,0.021375113599292967,0.004915820335291462,0.06590793327528448
43,0.022589222322519975,0.005322684559537648,0.06932673599170452
44,0.023736940210415673,0.0057264371946230755,0.07240471826846374
45,0.024886354238800455,0.006169075925972972,0.07555967535707588
46,0.02608057922809421,0.006636630015143085,0.07826565115199498
47,0.027506361583878956,0.007127578614427873,0.08208910722096634
48,0.02869880421679648,0.007616665767643635,0.08498627685842741
49,0.02962521358647802,0.008004459442829837,0.08715937522886512
50,0.030411738662121466,0.008375061355072754,0.08895088183909554
51,0.03209153169374933,0.009163027027302144,0.09166229679114792
52,0.033930016681830905,0.009953326840718289,0.09586782562740792
53,0.03576250303111104,0.010749141271982062,0.09940127390355986
54,0.037655982787859546,0.011540191180097163,0.10322081463582371
55,0.0390661041751872,0.0123417694180207,0.10446299921929772
56,0.041227972189630695,0.012995764661855277,0.11126841545188013
57,0.04257622397139311,0.013584394844592179,0.11401925399025872
58,0.04368844808075746,0.013996754347950228,0.11708622657875306
59,0.04435247887409379,0.01423451313879712,0.1193932920430096
60,0.04493325834311032,0.014405424288269684,0.12220842682432054
61,0.04671469685504782,0.015183075969171548,0.1267862259644231
62,0.04918075811298405,0.01633834931060094,0.13262460225818096
63,0.05187582506881483,0.017694222397025075,0.13785097749169706
64,0.055459457393204944,0.019351095535630723,0.14388408680148446
65,0.059418467982886886,0.021037306942312223,0.15178687914953956
66,0.0628977448585172,0.02249640174525668,0.15876226623031162
67,0.06573567581687596,0.0236003718103941,0.16429565665260232
68,0.06822563142643626,0.024370375314929877,0.17110361717398254
69,0.07028641124749478,0.024911217812835805,0.17811787352043196
70,0.07287007492423454,0.025719973531708597,0.18489753169051482
71,0.07703633679951566,0.027003345639921003,0.2007783711783199
72,0.08364716117846958,0.029828841680746572,0.2125516813809507
73,0.08434305277870215,0.029451722797946018,0.2202127709790404
74,0.088015576837755,0.03118826111934739,0.22560378894515154
75,0.09098887069204338,0.033685695854218545,0.22120779675549962
76,0.09457060059161736,0.03431333290299962,0.23430009135411028
77,0.09851311162211836,0.0349073463989056,0.24742318290483495
78,0.10167602452308701,0.03612372953771763,0.2527991801446524
79,0.10539588770164643,0.03728258292658964,0.26136706334011117
80,0.10788180062310607,0.03808958209517159,0.26811646224079744
81,0.1104821971019581,0.03949289555660735,0.2721918729829984
82,0.11254225608396962,0.0404416397771954,0.27630766702105797
83,0.11727033055927627,0.04137257538715023,0.2867555451075186
84,0.12250456180401188,0.04234828801303163,0.2988112702031705
85,0.12739958890670305,0.04314544715092985,0.3136186485175667
86,0.1313861327869749,0.04369258122829687,0.3249899413966527
87,0.13589058677527158,0.04468324251622921,0.33676110133359827
88,0.13889125797890997,0.04468514478768319,0.3496359344794588
89,0.1413606559191367,0.04449542440776988,0.3614410862016296
90,0.14310641753432457,0.044245331557837136,0.3712588537352698
91,0.14508599164434652,0.044306290622644455,0.3789734112380177
92,0.14746399189884293,0.044326226746208904,0.3904709218101122
93,0.14977710552075607,0.043702288233230004,0.40233141462745936
94,0.15269603272068458,0.04339801933473801,0.41562645971420825
95,0.1570565419786473,0.040452888893335606,0.44227088072536747
96,0.15956503909217018,0.041263854316076015,0.44592406208749447
97,0.16203969718509015,0.04188836655091383,0.4496348158603077
98,0.16448477026558725,0.04250810695556979,0.4524951898526518
99,0.1669015024468385,0.043124080066708106,0.45573877123066503
100,0.16928886327607984,0.0437719175132547,0.4590663160463892
