age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.0497912801999612e-06,4.2120591826678273e-07,1.5753872869932112e-06
31,0.003540162730393769,0.0025993028473037944,0.004704301877279805
32,0.007089893644731838,0.005215087945127221,0.009416871681658912
33,0.010641083438288464,0.007836324333627694,0.014128198676283281
34,0.014189309586543278,0.010449198544246162,0.018844468811038517
35,0.017740384514610068,0.013058111459758442,0.023564224031549303
36,0.021282510190068066,0.01563613133183184,0.028285416823319844
37,0.024818978121280207,0.018206828170227434,0.0330147280301827
38,0.028366003204550707,0.02077561645440194,0.03775055861751173
39,0.031943273789381395,0.023375680822063465,0.042526595806979955
40,0.035550058826033314,0.026011840214087437,0.047326222310614126
41,0.04063144673324186,0.03049539985448489,0.053026584404042294
42,0.045703369347355555,0.034702910141852915,0.05896445317279905
43,0.05076087842412799,0.0386625848143777,0.06519578115941327
44,0.055875029902540965,0.0426071494360024,0.07172294179617512
45,0.06102917131676177,0.04641568412210042,0.0783294642442568
46,0.06626438068522052,0.05024286144826015,0.08527310857721321
47,0.07155674091864772,0.0540785235399995,0.09229565199222085
48,0.07686799157120691,0.05785858401707688,0.09942476723357015
49,0.08215279545515182,0.061516850164898766,0.1065796009160756
50,0.08743425683680896,0.06514297259868516,0.11389266145080527
51,0.09514581385188452,0.07321012851650593,0.12088456115857048
52,0.10290187303002897,0.0808421077001442,0.12834386261709008
53,0.11067848914814962,0.08797811617951476,0.13659762669344216
54,0.11845754169400857,0.09480173087396473,0.1453673139816812
55,0.1263328690136284,0.1012940508663768,0.15496044646016907
56,0.13397057490733613,0.10706674241245388,0.16472161098299126
57,0.14152708425006857,0.11261212903256825,0.17465796643203668
58,0.14897733850011877,0.11754274563100961,0.18495191670038924
59,0.1562029881185871,0.12210710513390823,0.1952195395073709
60,0.16346397939073604,0.12647918565083846,0.2056752656754153
61,0.1681287272938048,0.13201557402456968,0.20954326209729407
62,0.17294704318622103,0.13742132417568587,0.2137071089617217
63,0.17812587855700507,0.14295372239741352,0.2182815806929459
64,0.18351992239164164,0.14825135962384647,0.22314592659357593
65,0.18883330101183537,0.1530998294967266,0.22886099116016037
66,0.19415342910362246,0.15713287765182454,0.23505879290165765
67,0.19918286074276811,0.1608100997340361,0.24193834136830378
68,0.20395539264862356,0.16394477438391497,0.24890584625897244
69,0.20872036509947017,0.1664180646856626,0.25664890039135413
70,0.21349874872154734,0.16905466220315407,0.2645992753653702
71,0.2176590836154134,0.17262965119080062,0.2692076310598397
72,0.22246673029188632,0.1782703844560925,0.2729942228779649
73,0.22610533230508878,0.18051584943789842,0.278110258436784
74,0.2306056988865552,0.18418737595434148,0.28364583233233537
75,0.23556504393947827,0.1885367184135382,0.2895478859604538
76,0.24005701757250145,0.19106877672924794,0.2962582654564723
77,0.24375113471448573,0.19301747212752113,0.3026723094159157
78,0.24752175161110299,0.19479551722356964,0.3093159356543343
79,0.2501550300071565,0.19572300331462023,0.3146347559157712
80,0.2541158312667925,0.19714163276135804,0.32241821255834413
81,0.258034721603167,0.20144336201149823,0.32586621911458086
82,0.2624230673863479,0.2053606305010744,0.33073649696512497
83,0.2664069053478913,0.20853739234393925,0.3345289832906419
84,0.2709134859872192,0.21200450252757957,0.34032920795974175
85,0.27619129672271786,0.21526007473101344,0.3480339774351986
86,0.28154228159502065,0.21823756200196623,0.3556004175564723
87,0.28640385117171785,0.22097589914903654,0.36399261212589945
88,0.29006967946477147,0.22191397208725083,0.371740497345718
89,0.294417119275852,0.22332433043312525,0.3806772132011123
90,0.2984519203814722,0.2246111401825468,0.38974391863760893
91,0.30215435005471813,0.22743810644038875,0.3940752705294331
92,0.3052656208121552,0.22964473679299677,0.397811167068305
93,0.30916119305144196,0.23185579683730614,0.40250386083048784
94,0.31242008916171327,0.23334657640488382,0.40693919357171665
95,0.31505147351354257,0.23321772762544551,0.41198465094742226
96,0.3185955711052278,0.23517861938559376,0.41739220900418206
97,0.3221395476943303,0.2368328016932722,0.42287734813689015
98,0.3256833867653946,0.23847569472744778,0.4288075111731699
99,0.32922704859280244,0.23998313803544893,0.4357192967328591
100,0.3327704489616177,0.24140035150329958,0.4426194871869355
