age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,9.737384653078833e-07,3.9868392510211196e-07,1.5408677681612263e-06
31,0.00020108908239392843,4.537822839568151e-05,0.0003140057625395393
32,0.00040185770315769243,9.012771471181887e-05,0.0006271989977786807
33,0.0006029978508844817,0.00013506225889353893,0.0009410427863080908
34,0.0008045846979186829,0.00017993881436066943,0.0012558927356411855
35,0.0010072132903764025,0.00022495795146334948,0.0015728346342720083
36,0.001209540985564258,0.0002702615072984231,0.0018905729168970991
37,0.0014123598179417649,0.0003157390666633727,0.0022105104807354356
38,0.0016178744247096423,0.0003610606026160514,0.002534952433002034
39,0.0018228750127046265,0.00040680403657109324,0.0028564987347271427
40,0.0020313997850184514,0.0004531827724330691,0.003183267810156215
41,0.0021840350843293044,0.0007233088146608242,0.003339607695324001
42,0.002331057071423303,0.0009803879094864507,0.0034966285491586156
43,0.002482708192622929,0.0012325247976865566,0.003680058256921112
44,0.0026311639771056054,0.0014630710714926005,0.0038658949636957017
45,0.002781344677355271,0.0016751854423332573,0.004058403049801616
46,0.002931564066730296,0.0018571759644788407,0.004265331048023459
47,0.003076937087053096,0.0020094317229240235,0.0044648248230913295
48,0.003234581749120626,0.002146626727098785,0.00469121180597635
49,0.00340008931784898,0.002262867781404294,0.004931075539614696
50,0.0035708375856842497,0.0023693279696753774,0.0051755762604841216
51,0.00389211262415739,0.002656372866393297,0.0055385379465633456
52,0.004194391900239681,0.0029175633807580624,0.00587195463521191
53,0.004508784536191484,0.0031771272120592786,0.006248394834175163
54,0.004836955473203015,0.0034328385897707016,0.0066739481243890016
55,0.005197479766092909,0.0036960297095366013,0.007165597528329483
56,0.005543379798738691,0.003936363033846613,0.0076747180138734845
57,0.005892938976447004,0.004171927264437664,0.008190548417136333
58,0.006239863091192267,0.004399324155263651,0.00872692352134183
59,0.006598836518733119,0.004620630149224723,0.009291975733898936
60,0.006965366233309272,0.004830412583880941,0.009909860905074645
61,0.007743430999722309,0.005477981100044169,0.010848612133052736
62,0.008465216019513428,0.006034775719575397,0.011721500112456349
63,0.00923051384922651,0.0066090051004154176,0.012706306122407647
64,0.00995840676171784,0.007158995175077431,0.013654486326882594
65,0.010688499755777106,0.007687890551010148,0.014655556100410127
66,0.011431621467048275,0.008202739875892736,0.015711409828936797
67,0.012128656988172127,0.008664413551920233,0.016709063844438696
68,0.012851443052416625,0.00911881285386092,0.01778928762705145
69,0.013530166497007818,0.009524109861434853,0.018824172786935555
70,0.014231121311705407,0.009950713987844997,0.01990740672034683
71,0.01569512357957238,0.011142914715746563,0.021800018763833563
72,0.016736381606439345,0.012063729531084552,0.022925568556512236
73,0.01811341477126813,0.012980468372913724,0.024968959194788594
74,0.01942224720113035,0.013903314924641341,0.02679611576663457
75,0.020467323794738052,0.014755037773007329,0.028051763494953957
76,0.02173775684351704,0.01551567227795093,0.030042976526755822
77,0.02276030035127704,0.016105408791156885,0.031733088095652846
78,0.02424567858255365,0.017003310647828528,0.034061564422642854
79,0.025369183776462117,0.01764100305278981,0.035895930730392336
80,0.02664007772681259,0.018373181484165158,0.03796119700939754
81,0.028079782813480607,0.01948608892018442,0.039956523822575675
82,0.029432304376967654,0.0204423736977937,0.0419649238338567
83,0.03063343877555586,0.0212788287799503,0.04378081759896145
84,0.03167406450670648,0.02187551910599442,0.045523331022495464
85,0.0328303532437091,0.022467179711909892,0.04749903006854095
86,0.03393649541223542,0.02297999977243106,0.04961461088083024
87,0.03504566190177972,0.02347895809639377,0.05168271737462294
88,0.03664014174927934,0.024135630661590676,0.054874733376236794
89,0.03791342967161677,0.02457100647151992,0.05758298515563753
90,0.03956100472286551,0.02516216401063363,0.06102152707492412
91,0.040786050672912105,0.025839451545206935,0.06320179815816991
92,0.041665360897267294,0.026272305469799147,0.06478752672859338
93,0.04278539824980397,0.026651952831479562,0.06709505218526689
94,0.04367603304519948,0.026900189827707605,0.0693177530468579
95,0.04364021870254461,0.026369299259531024,0.0704434112311241
96,0.044604059343139546,0.026710622855610242,0.07276377894605854
97,0.045567899018673794,0.02706765388091727,0.07511460759109913
98,0.04653173867565877,0.0273433891688104,0.07754369178510703
99,0.04749557829487014,0.02765993673107572,0.0799293922049972
100,0.048459417872182116,0.027935289684994202,0.08233473958112277
