age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.040157611631664e-06,3.661012329195453e-07,1.7825378834484334e-06
31,0.001949093735226437,0.0011872572925798127,0.003107714189973018
32,0.003898047170928134,0.0023823220643442045,0.0062187068800748715
33,0.005846557120718254,0.0035846782848199415,0.00933823745831881
34,0.007795963806395044,0.004793373336862032,0.012399272808208526
35,0.009744597217663931,0.006006524101792719,0.015326082507314192
36,0.011691921335524687,0.007222454603753395,0.018121750383491342
37,0.013648111736439905,0.008447171040038955,0.0208952503394699
38,0.015625884707041203,0.009680357671323202,0.023770029084489035
39,0.01761249174069845,0.01092729299400211,0.02661993845982962
40,0.019590219428735404,0.012180735283261511,0.02940157345695341
41,0.02123751833313253,0.013368984578966897,0.031496771821447944
42,0.022885391356938463,0.014514327414426473,0.03359878355619159
43,0.02455068582099147,0.01563967916922471,0.03590066900805369
44,0.026227728802811125,0.016756219012992717,0.03819902352370485
45,0.02792860128039553,0.017862107847355792,0.04071625958464108
46,0.029638099016510384,0.018917384323939662,0.04323191495850504
47,0.03139766323500573,0.02000099731164661,0.04590118190038248
48,0.03310182488027313,0.021072785170008768,0.04854709407518107
49,0.0347493050522239,0.02209410466449541,0.0511468203449902
50,0.03638492080104146,0.02312682766564738,0.05370344695607719
51,0.039661905180635844,0.02579442796624365,0.057573609213733216
52,0.04298524541380594,0.028288455869404906,0.06160938509355785
53,0.046309264319033976,0.030697434031376813,0.06583652345144626
54,0.04965392733421499,0.03308915346008332,0.07012489592497893
55,0.052541829072049434,0.03531310828038916,0.07389799058982412
56,0.0563460187997918,0.0378393753587594,0.07927999212968188
57,0.05948482733657534,0.03996429965701457,0.08374177371153557
58,0.062746761939046,0.04216199765084947,0.08844085557926133
59,0.06602437019668136,0.04429666624900715,0.09343420706300765
60,0.06933449174029599,0.04643590048979794,0.09846466586212352
61,0.07495717418411349,0.05122022750354103,0.10468733726896608
62,0.08070011286233908,0.05570748414182682,0.11144373485717363
63,0.08626781262513826,0.059925369815319464,0.11823140673114346
64,0.09190994977991371,0.06413641646441236,0.12527807609666622
65,0.09798491230867606,0.06849816060570228,0.13359583044467985
66,0.10405948457854533,0.07261232349515631,0.14178636867910935
67,0.10991826559667651,0.0767445138426717,0.14993063458918987
68,0.11632768648451788,0.0809203350292602,0.15911678294745701
69,0.12294836859432987,0.085353239820843,0.16866991105654808
70,0.1296000587603688,0.08953796134832005,0.17820279356851082
71,0.1402620839112647,0.09768935870056555,0.19069050027773163
72,0.1486263759435405,0.10381307004385461,0.20006271734654438
73,0.1574471049856148,0.10998024326652438,0.21159202623658255
74,0.16472002837739197,0.11543065262069618,0.21969149507944352
75,0.16695436298774072,0.11819966777454632,0.21980230055208377
76,0.17663998944426387,0.12420099459933011,0.23299856459966053
77,0.18819989270716841,0.130372662207938,0.2504343599881638
78,0.19603979044896477,0.13515037226935372,0.26134814575525206
79,0.2050631284910629,0.13991289976333685,0.27406352755000035
80,0.21359004532771494,0.1453926238093791,0.2860477610804507
81,0.22021369031851312,0.15186377700685905,0.2913319742017331
82,0.22562621795055837,0.15698489418423162,0.29562432738186006
83,0.23505675783723443,0.16318505233689476,0.3069859470351628
84,0.2446204007913825,0.169263020491382,0.3202339272648247
85,0.2552429693085977,0.17616129512152093,0.3354779192163374
86,0.26491300169757953,0.1819489571740914,0.3500432977556565
87,0.2740055225495975,0.18696949285361758,0.3634026291011081
88,0.2842380910136741,0.19149299195264277,0.37919441070427146
89,0.29447398648889955,0.19630231628013023,0.395353761316259
90,0.3040810392872233,0.2004733513294557,0.4108096520129983
91,0.31107845400161066,0.2043917234775419,0.4197418502892686
92,0.31955268558954086,0.20841898449481264,0.430974573170164
93,0.3287134094913801,0.2120363063068813,0.44477153802985236
94,0.3384591592990254,0.21576487888355986,0.45956724236465457
95,0.35968341320914443,0.22082584428795868,0.4947848658720909
96,0.3638915773961799,0.22280014612997653,0.5000017947530327
97,0.36806085470516176,0.2244363638507996,0.5052030581793835
98,0.3721904321321769,0.22627924952355016,0.5111327629516098
99,0.37628188548876373,0.22802635059446355,0.5170515968601092
100,0.38033522657956936,0.22969261557405327,0.5230148404351184
