age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,9.689747864914032e-07,4.025541553747817e-07,1.4989591504923745e-06
31,0.0014759908048604293,0.0009971162305293178,0.002131565157099114
32,0.002958442522295178,0.0020005796858525104,0.0042707856399620565
33,0.004449793827710962,0.003010992373331792,0.006416113055299261
34,0.005947834331475892,0.004027905402496821,0.008574100382113288
35,0.007449930979215423,0.005051448386155028,0.010740133606019546
36,0.008955234306002705,0.006079570061875678,0.012881751120295158
37,0.010471894298189743,0.007116715342879133,0.015001415367305213
38,0.0120142747975136,0.008170578762851948,0.017152920503676686
39,0.013564031220476972,0.009231471910225832,0.019339973982549198
40,0.015105216119419894,0.010297106904469607,0.021436904013957384
41,0.016263522020873368,0.011306289397123569,0.022624110978575692
42,0.01741969055204699,0.012258474933766085,0.023954773343773668
43,0.01859196537666119,0.013114479127784524,0.025354856585076233
44,0.019773112498475957,0.01400549169377744,0.02687684103411658
45,0.020971692715473143,0.014840570146655796,0.028454115765776555
46,0.022178730475814673,0.015663243913733343,0.030057656501055675
47,0.02341939781917292,0.016507512328624414,0.03181163007098228
48,0.024629742555386185,0.01734407991742059,0.03353709434311864
49,0.02580800063294764,0.01813429532544513,0.035242426018536284
50,0.026982126998989706,0.018915565573949793,0.037004231499803426
51,0.029210277867084182,0.020997847202412698,0.039297697715108354
52,0.0314674217686598,0.022941284375037323,0.04165602528785913
53,0.033725288636797204,0.024817328322621006,0.044159181944279494
54,0.03601391605220746,0.02666514403597311,0.04681953309552418
55,0.03797213544080885,0.028260003841060484,0.04923345566898866
56,0.040640369346691296,0.030239672758383435,0.05281664009446279
57,0.04280117386299328,0.03181469314618495,0.05581391915695413
58,0.04507485163600344,0.03342431811239161,0.05907650664834412
59,0.04740026366887969,0.034967238627061394,0.062360442474310954
60,0.0497585449330959,0.03644583564661514,0.06574459062439614
61,0.05447405562293314,0.04084109774955381,0.07062529325266302
62,0.05922800564823957,0.0449187392856154,0.07585298796294866
63,0.0638544737794875,0.0487535870361887,0.08097226718275363
64,0.06845790377877356,0.05239408480168352,0.0864330896239064
65,0.07342578562234592,0.056207288059761565,0.09268345153823733
66,0.0784443414500794,0.059993017690570256,0.09928756372055982
67,0.08333329547933772,0.06354280368556357,0.1058766053901869
68,0.08875864961139895,0.06740570103014756,0.11351718128423122
69,0.09436198661838573,0.07119790594672704,0.12152716383565415
70,0.10000668769743055,0.07494343402137535,0.12961192475990124
71,0.11032520228328843,0.08377751231591096,0.14282096353412427
72,0.1181131455728362,0.09036241613853745,0.15206618496083776
73,0.12712655154239566,0.09745021133070288,0.1645891929816419
74,0.13432839701117483,0.10333070703922355,0.17282464188053692
75,0.13663530191835105,0.10566545168394559,0.17166387166425212
76,0.14626107177982023,0.11204172681893494,0.18527036526332943
77,0.15738850685633968,0.118861604754656,0.20263026433328002
78,0.165154281819011,0.12385809622714092,0.21279987754886254
79,0.17380964230386853,0.1288246148473126,0.22509496075200117
80,0.18220445198784,0.1342211005233773,0.23626591340253925
81,0.18847915561498593,0.14084823723598655,0.24154128910121553
82,0.19379930563292058,0.14668960472180964,0.24535479463948087
83,0.20327590158571632,0.15395112553161464,0.2576419331358659
84,0.21277937880357528,0.1604157816338247,0.2701965611529316
85,0.22339780122829456,0.1670653245397183,0.2851026969063231
86,0.23322986638993468,0.17315868124430783,0.2983968280974069
87,0.24244502566891232,0.17886835132873988,0.31084172584423975
88,0.25329879772802405,0.1842235237578973,0.32710202579370673
89,0.2638506510304712,0.19005214669686224,0.34242617013527316
90,0.27401212927934226,0.19517051040785943,0.35715161010336577
91,0.280238613263316,0.19916055507397476,0.3652660774592538
92,0.2877802667866557,0.20333435594803895,0.3753770668805357
93,0.2963274125289536,0.20773057858435173,0.38818521518064797
94,0.30536548850395157,0.2117370725856991,0.4016256135948139
95,0.3259766625705765,0.2182790783145701,0.43594488232217005
96,0.32884748524586166,0.21991341527636793,0.4392348459594651
97,0.33169527483637185,0.22174649460901957,0.4423594272298931
98,0.33451886151834614,0.2234220970770104,0.44596840111352554
99,0.33731919616034234,0.2248667092222662,0.4496967944798819
100,0.34009534365380045,0.22618472464784317,0.4533777346048144
