age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
0,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Both,3.3628072231399317e-07,5.6091741911674936e-14,1.6036333198467547e-06,5.6091741911674936e-14,1.6036333198467547e-06,2.549595533853336e-15,1.7992505494479436e-06,5.871395395633021e-16,1.8939640790099993e-06,2.0422869056691477e-16,1.9824612371057876e-06
31,Both,0.004088382362348722,0.003108473140764787,0.005224294458768252,0.003108473140764787,0.005224294458768252,0.0030072418619701683,0.005444882191759926,0.0029482495446265197,0.005537633234339199,0.0029128402613984154,0.0056018909045293195
32,Both,0.008181582890107031,0.006227924735198507,0.01044404530814288,0.006227924735198507,0.01044404530814288,0.006025357874874754,0.010891464799961725,0.005907570590442153,0.011078975788282605,0.005833945469117317,0.011205341316525442
33,Both,0.012269854811226468,0.009342359833226743,0.0156561939693195,0.009342359833226743,0.0156561939693195,0.009036073032244827,0.016330838879832305,0.008863545562979335,0.016613171265216383,0.008757813725098307,0.016801322197545925
34,Both,0.01635417981782332,0.012455096310750938,0.02086683841909261,0.012455096310750938,0.02086683841909261,0.012045787394679196,0.021754068388234488,0.01181853156523796,0.02213583732578049,0.011675372750651027,0.022391766555100775
35,Both,0.02044263405580282,0.01556276422056048,0.026081539670604892,0.01556276422056048,0.026081539670604892,0.015054095828048836,0.027197217825407075,0.014771595073961459,0.02766944753156611,0.014593151955223833,0.027989289885964535
36,Both,0.022923428016568825,0.01768988034504228,0.02897807537407394,0.01768988034504228,0.02897807537407394,0.017101382605707427,0.03001159309528979,0.016722466821813758,0.030550441499922386,0.016476067571781446,0.030865528912429836
37,Both,0.02538796487996397,0.019601855190604606,0.032144683307425106,0.019601855190604606,0.032144683307425106,0.01883486675747036,0.033285609178851934,0.018442134834633812,0.03387750291769222,0.018164556833947142,0.034259499539243066
38,Both,0.027869979661953787,0.021346292841127906,0.03556212916491637,0.021346292841127906,0.03556212916491637,0.020517782981043238,0.03686911506182509,0.019992010757813154,0.037533042598700446,0.019651018139736867,0.037978814482744074
39,Both,0.03037139912035198,0.022996327667158856,0.03916711414305294,0.022996327667158856,0.03916711414305294,0.022075861050317704,0.04066097782970709,0.0215224906019857,0.04146536789043174,0.021067682154465972,0.04185681777298414
40,Both,0.03291969388844054,0.024599770059686114,0.04300631061617103,0.024599770059686114,0.04300631061617103,0.02359242023540209,0.04461414731525943,0.02296373308359113,0.04551051208270473,0.022466918236544793,0.046107528329797455
41,Both,0.03622020430159505,0.02765642257197439,0.04621726758340564,0.02765642257197439,0.04621726758340564,0.026601950460909695,0.04786705584060867,0.026021307359024033,0.04876472838445001,0.02564234747979492,0.049354600353151125
42,Both,0.03947564847692911,0.03038941612158467,0.0498350408434941,0.03038941612158467,0.0498350408434941,0.02922051623113432,0.05160888853324971,0.028682777027947876,0.05252306270575556,0.02835926440217099,0.053184153926947975
43,Both,0.04277231790101722,0.032907611844180555,0.05406473984474509,0.032907611844180555,0.05406473984474509,0.03169926004080123,0.05587807023212283,0.031105427572323454,0.05692811786334714,0.030604994902731775,0.05766319563143008
44,Both,0.04606030358436657,0.03524430875551705,0.058527258780964965,0.03524430875551705,0.058527258780964965,0.03387845275434201,0.060596266499323814,0.03326029089232021,0.061845686946647146,0.03277836290100184,0.06257364129209918
45,Both,0.04941589987343518,0.03745674342965892,0.06339173396541165,0.03745674342965892,0.06339173396541165,0.03598397682248015,0.06570216440944625,0.03524553237658707,0.06699940193433722,0.03476581866713616,0.06780988064546316
46,Both,0.05282289622437195,0.04100974403343611,0.06653389856141377,0.04100974403343611,0.06653389856141377,0.039590737324680256,0.06873353705320319,0.03876546727350493,0.06991351273641006,0.038112570073346994,0.07073823014430797
47,Both,0.05623455525802501,0.04409842137547137,0.07024096189870523,0.04409842137547137,0.07024096189870523,0.04266168972909967,0.07230998358659682,0.041792029602986065,0.07343503783164448,0.04119842094712436,0.07414853755612355
48,Both,0.05974848637979052,0.04692839880714965,0.07444839984097883,0.04692839880714965,0.07444839984097883,0.04536149949771213,0.07662483810367304,0.04450726978551769,0.07771826321072665,0.043948040556094504,0.07854261498713964
49,Both,0.06326091271461086,0.049424862494687624,0.0792546565778699,0.049424862494687624,0.0792546565778699,0.047860501123254115,0.08156742651572596,0.04689232963210604,0.08290807666200416,0.046224035992378704,0.08396262616491387
50,Both,0.06681307028519537,0.05167979231992241,0.08447748710419194,0.05167979231992241,0.08447748710419194,0.04991892231615014,0.08725461420282242,0.04896274889037577,0.08863597262174436,0.04816589226067961,0.08969284001578645
51,Both,0.07054007656442157,0.05587500485149406,0.08758432796590891,0.05587500485149406,0.08758432796590891,0.05422806971901446,0.09026683010597218,0.05309324692915652,0.09169866685114893,0.052444892727432586,0.09281729520443006
52,Both,0.07414974299478502,0.05942893238785473,0.09130640620284296,0.05942893238785473,0.09130640620284296,0.05752274933830583,0.09411673001833384,0.05653735639815908,0.09556448282712146,0.055857313451280095,0.0964675490177681
53,Both,0.07784844838070223,0.06236640593429825,0.09568719792716474,0.06236640593429825,0.09568719792716474,0.06045577089781786,0.09861667590204483,0.05944092664662093,0.10001954692639213,0.058671005446235894,0.10096575479821143
54,Both,0.08170986758195467,0.06505265218577846,0.10064212338729056,0.06505265218577846,0.10064212338729056,0.06298955187003687,0.10387800805853561,0.062015106729356465,0.10544157083372115,0.06126061997288732,0.1065609685648855
55,Both,0.08553184234416683,0.06734588559481343,0.10628403654875644,0.06734588559481343,0.10628403654875644,0.0650746568913103,0.10971134797601644,0.064060628565837,0.11145171772836021,0.06322703780268245,0.1124436844813343
56,Both,0.08990793863470632,0.07242137310498957,0.11004744534688454,0.07242137310498957,0.11004744534688454,0.07005225028208761,0.11337331509244288,0.06893676668041082,0.11534213239122902,0.06808812763328463,0.11636012507037459
57,Both,0.09401478637589014,0.07654304704889989,0.1143566625718992,0.07654304704889989,0.1143566625718992,0.07385751839983778,0.11771090519573013,0.07262850293804937,0.11973885309585092,0.07192670128717514,0.1211580322311489
58,Both,0.09795740772978595,0.07954182715234748,0.11935298692204971,0.07954182715234748,0.11935298692204971,0.07681648547413503,0.12298368305034142,0.07551509789124759,0.12493614283522589,0.07458780560771677,0.12704109434088642
59,Both,0.10177651296858688,0.08177102367543246,0.12486724243494847,0.08177102367543246,0.12486724243494847,0.07910762759400057,0.12912449955755398,0.07771512280142162,0.1313905455713645,0.07664475450339042,0.13334142098244642
60,Both,0.10569679435243215,0.08379186374183797,0.131390337925802,0.08379186374183797,0.131390337925802,0.08099835363476,0.13605794616920047,0.07944261575163214,0.13830941068686317,0.07834239375322388,0.14025884916387016
61,Both,0.11059664331006243,0.08970782804882976,0.13544691698250474,0.08970782804882976,0.13544691698250474,0.08669631249165873,0.13987454355433598,0.08538513646873586,0.14234924333481064,0.08447483591083638,0.14406971281947473
