age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
0,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Both,3.094643264279578e-07,4.175656034953892e-14,1.5419721508998463e-06,4.175656034953892e-14,1.5419721508998463e-06,2.894939256523263e-15,1.7338779601873473e-06,5.492774751329823e-16,1.8466489225201738e-06,2.7571047347810815e-16,1.912270722447382e-06
31,Both,9.740058317663004e-05,1.8186798278297074e-05,0.00030500395218885525,1.8186798278297074e-05,0.00030500395218885525,1.4997511654579376e-05,0.00037108863141833005,1.3127194117444647e-05,0.00039886169936175506,1.1819738797042711e-05,0.0004192136072038232
32,Both,0.0001953923548006673,3.6385705799622446e-05,0.0006129074174316001,3.6385705799622446e-05,0.0006129074174316001,2.9719938826228226e-05,0.0007452503523607557,2.5910785491411906e-05,0.0007999915596064479,2.354313307652229e-05,0.0008430556371714781
33,Both,0.0002938726545244901,5.459008042557629e-05,0.0009227265234934939,5.459008042557629e-05,0.0009227265234934939,4.4533391322619825e-05,0.001121469305858383,3.8754976375142116e-05,0.0012028860262342253,3.5327974578223884e-05,0.001269721453338059
34,Both,0.00039252487457576885,7.280865996220722e-05,0.0012319937248369375,7.280865996220722e-05,0.0012319937248369375,5.939579154926295e-05,0.0014986679467140468,5.168527045821178e-05,0.0016066845024452579,4.712399142054673e-05,0.00169491883399657
35,Both,0.0004909241599303636,9.092726361732371e-05,0.0015410249068895327,9.092726361732371e-05,0.0015410249068895327,7.41997552566975e-05,0.0018749775345074794,6.466428105638853e-05,0.0020102082530579083,5.883720300040944e-05,0.0021207895573896376
36,Both,0.0006070403499349,0.00014528655031966118,0.001653867416521804,0.00014528655031966118,0.001653867416521804,0.0001221072447722592,0.0019552095056046158,0.00011260307749522174,0.0020860777021961814,0.00010779051311811658,0.0021821054527664512
37,Both,0.0007223676158785977,0.00016899971328384526,0.0018039905532871961,0.00016899971328384526,0.0018039905532871961,0.00013948270201252614,0.002045016031190642,0.00012967240503688432,0.0021853228494300493,0.0001242755227971108,0.002259075074345175
38,Both,0.0008370485152380325,0.00018646439750880724,0.0019831014730898044,0.00018646439750880724,0.0019831014730898044,0.00015383280273785412,0.0021906221376913333,0.00014075619371053656,0.002290153006718856,0.00013471051134574324,0.0023711816388386916
39,Both,0.0009525035401240653,0.0002019344580655333,0.002232946561113801,0.0002019344580655333,0.002232946561113801,0.00016543549246599338,0.0024078019948390594,0.00015048413989538007,0.002499718404250013,0.00014307949205651874,0.0025661496513275923
40,Both,0.0010698512974190296,0.000216456731353235,0.0025347378701698134,0.000216456731353235,0.0025347378701698134,0.00017578833862517382,0.0027126324826858956,0.00015883756470234478,0.0027960922255229853,0.0001488058471691576,0.0028567741629629386
41,Both,0.0013064704907280395,0.0005327159786475708,0.0026202398794851266,0.0005327159786475708,0.0026202398794851266,0.0004687982164372746,0.0028045125126108994,0.000436359521470795,0.0028793012116303555,0.00041007279297766616,0.002961499033211391
42,Both,0.0015441398687764474,0.0006961721436563658,0.002721004437394693,0.0006961721436563658,0.002721004437394693,0.0006024839534091228,0.0029034119308533235,0.0005506871213436299,0.0029941180216631075,0.0005264699272451635,0.0030728727669774233
43,Both,0.0017825137118673829,0.0008042251786000935,0.0028358421471442095,0.0008042251786000935,0.0028358421471442095,0.0006931153284154305,0.003020099300993058,0.0006409623419048417,0.0031101243617681507,0.0006018198954274171,0.0031961201380041873
44,Both,0.0020211785077021635,0.0008928968434990315,0.002992762858185142,0.0008928968434990315,0.002992762858185142,0.0007764285357632468,0.003159660992735071,0.0007048663021250208,0.003254338061860364,0.0006695503968161644,0.003346383034040687
45,Both,0.00226032612659309,0.0009706399223556542,0.0032557964003008706,0.0009706399223556542,0.0032557964003008706,0.0008301803921161856,0.003419965245301528,0.0007572412732477961,0.0035226698533133657,0.000707474718040233,0.003597756093498133
46,Both,0.0024187908059922283,0.0013223960954270731,0.0033764942430449135,0.0013223960954270731,0.0033764942430449135,0.0011954498217128828,0.0035554498971881498,0.001144319497325651,0.0036493387911234786,0.0011012511004013193,0.0037119300703629104
47,Both,0.0025775463576404845,0.0016301264405454866,0.003528637458868369,0.0016301264405454866,0.003528637458868369,0.001519662984309318,0.0036971407624136463,0.0014642453393408925,0.003797008879648805,0.0014328426388280518,0.0038709146955402517
48,Both,0.002733958966068586,0.0018812786430492446,0.0037043924731323704,0.0018812786430492446,0.0037043924731323704,0.0017779103215616633,0.003872925358157633,0.0017165656229088501,0.0039672805193669385,0.0016759455959065167,0.004021135495948409
49,Both,0.0028893588519050247,0.0020783885990970936,0.0038945662045253215,0.0020783885990970936,0.0038945662045253215,0.0019562749118233577,0.004060251738974951,0.0018848888088107889,0.004153910577809703,0.0018306125585598621,0.004220737283253475
50,Both,0.0030437165700461814,0.002204253390413637,0.004097944717138528,0.002204253390413637,0.004097944717138528,0.0020819206174343234,0.004275425096559683,0.0020020188893632414,0.004390208432256985,0.0019507700790097331,0.00444852924970119
51,Both,0.003242157480962671,0.0024110987621257306,0.004284954234391986,0.0024110987621257306,0.004284954234391986,0.002295319970831485,0.0044681942401520605,0.0022224331452914267,0.004569037722614523,0.0021789524747062193,0.004660812048772646
52,Both,0.0034424378012925094,0.002591420504431308,0.004507268059575135,0.002591420504431308,0.004507268059575135,0.0024879207193367328,0.004698746686075379,0.002415930855050714,0.004805898118397769,0.0023705599872387365,0.0048861722503177555
53,Both,0.0036450871454363964,0.002754353605187554,0.0047648213607204785,0.002754353605187554,0.0047648213607204785,0.00264788208137392,0.004970855251811211,0.002585921322980888,0.005090029671064752,0.0025424252282845125,0.0051712926544454805
54,Both,0.00383503287382576,0.002888791243549528,0.005029509064515791,0.002888791243549528,0.005029509064515791,0.0027889307077261457,0.0052521657221723216,0.0027305239326835817,0.005380823445420502,0.002687039469616809,0.0054531445010111744
55,Both,0.004045555567231192,0.0030197405579715053,0.005344966917965455,0.0030197405579715053,0.005344966917965455,0.002917684169471573,0.005591963500964057,0.002863716547522817,0.005711727351643052,0.0028150883075786786,0.005817495239593057
56,Both,0.004356338536479232,0.0033295232085930773,0.0056533880498016754,0.0033295232085930773,0.0056533880498016754,0.003220073936595746,0.005898328576095674,0.0031628554446730497,0.006024011356869026,0.0031281326465152793,0.00610101103781245
57,Both,0.004683126275267779,0.0036057059821607415,0.006041768240853647,0.0036057059821607415,0.006041768240853647,0.0034903400574890294,0.006278985756468988,0.003427254482745939,0.006410476184213293,0.0033932996112044076,0.006501427812711865
58,Both,0.004995898431525076,0.0038464255993695936,0.006451260216638592,0.0038464255993695936,0.006451260216638592,0.003726677973734588,0.006701378890580798,0.00365511751549833,0.006826775376902833,0.0036037417843572533,0.006918396092248602
