age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
0,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Both,2.9017989666596543e-07,5.800499207973392e-14,1.4647368063611207e-06,5.800499207973392e-14,1.4647368063611207e-06,4.5515534061090845e-15,1.6615965009529403e-06,9.27578958509478e-16,1.7582294903560018e-06,4.1313911148981367e-16,1.8114401260842927e-06
31,Both,7.286171668856183e-05,1.661947977093632e-05,0.0002042268663811838,1.661947977093632e-05,0.0002042268663811838,1.338451164755964e-05,0.0002470742838969644,1.1607981917098573e-05,0.0002692928258425371,1.0640068808582607e-05,0.0002871555184838
32,Both,0.00014613059675442253,3.30550700191278e-05,0.00040978519851418016,3.30550700191278e-05,0.00040978519851418016,2.6650989141761327e-05,0.0004963545548600051,2.3017262117132053e-05,0.0005399585196493126,2.0894568328283042e-05,0.000577879340428759
33,Both,0.00021961136842568127,4.950873459606241e-05,0.0006161265838844593,4.950873459606241e-05,0.0006161265838844593,4.0022488713426834e-05,0.0007469621542482175,3.4453647069650943e-05,0.0008113031753657294,3.116504641696922e-05,0.0008693217171183506
34,Both,0.0002930791498112183,6.595944660079828e-05,0.0008225174433367194,6.595944660079828e-05,0.0008225174433367194,5.325920085581758e-05,0.0009974334274743708,4.578765322511408e-05,0.0010830659113821603,4.1386781187449465e-05,0.0011594733641615703
35,Both,0.0003660470583001699,8.228563624298161e-05,0.001027658125797527,8.228563624298161e-05,0.001027658125797527,6.637325875538071e-05,0.0012461660207361885,5.711729590509103e-05,0.0013533114316220522,5.1672648198611745e-05,0.0014481455416121686
36,Both,0.0004348090010010495,0.00012788925684854814,0.0011206849474858203,0.00012788925684854814,0.0011206849474858203,0.00010954256260758699,0.0013363200299119798,0.00010112219985460946,0.0014354895850379162,9.571563096491603e-05,0.0015194050450631057
37,Both,0.0005025145801071137,0.00014952456063070795,0.0012530831180364089,0.00014952456063070795,0.0012530831180364089,0.00012938521988858437,0.0014431574876186317,0.00011902810495197762,0.0015392996801544695,0.00011227786361345188,0.0016026645666781904
38,Both,0.0005694535950645294,0.00016554885474368575,0.0014393657858203955,0.00016554885474368575,0.0014393657858203955,0.00014117363872284935,0.0016015647741781543,0.00013049846571040402,0.0016922238868688775,0.00012205959541020753,0.0017650658614019668
39,Both,0.0006369828024606014,0.00017747744266899152,0.0016549110105383126,0.00017747744266899152,0.0016549110105383126,0.00015178533221775286,0.001830790468409809,0.00013959088130344614,0.0019122837289979777,0.00013166546342857733,0.001968432241406922
40,Both,0.0007060917867854405,0.00018818222240304835,0.0018886704054461335,0.00018818222240304835,0.0018886704054461335,0.00016049829632601493,0.0020788121746806573,0.0001480621828812024,0.00218061095415752,0.00013991925009174065,0.0022388897068558104
41,Both,0.0008848158093103881,0.0003457201839276691,0.0019698151124374927,0.0003457201839276691,0.0019698151124374927,0.0003096683817248313,0.002154251480316654,0.0002907409523917136,0.002253605152433013,0.0002794395854881886,0.0023056054944875968
42,Both,0.001063842660200889,0.00041834932128606886,0.002063188452464769,0.00041834932128606886,0.002063188452464769,0.00036952422201598696,0.0022389148518780935,0.000347367374458636,0.0023339873626040393,0.0003353756781025785,0.002391340887735053
43,Both,0.0012432503275290386,0.0004670435112676018,0.002199176214786064,0.0004670435112676018,0.002199176214786064,0.00041270796390468193,0.0023474642075570584,0.00038298828615274225,0.00244074332251338,0.0003676214452976878,0.002495096026435196
44,Both,0.0014233945326751801,0.0005050212971308324,0.002433542871745943,0.0005050212971308324,0.002433542871745943,0.00044495431231578864,0.0025555325482176025,0.00041243378217081805,0.002627459918706108,0.00039487641847289225,0.0026701309369372237
45,Both,0.0016066716759437826,0.0005380034894276962,0.002739799168618888,0.0005380034894276962,0.002739799168618888,0.00047115873459411124,0.002873249986730757,0.000437586137838966,0.0029566172832327818,0.0004149750941198122,0.0030062364842469535
46,Both,0.0018301920034898733,0.0009352918800858684,0.0028681110798525694,0.0009352918800858684,0.0028681110798525694,0.0008754878706345694,0.0030049779444624018,0.0008418009972035494,0.0030955821033409664,0.0008266649300699757,0.0031507336719611726
47,Both,0.0020567491453328665,0.0012817643508702295,0.0030170002372490305,0.0012817643508702295,0.0030170002372490305,0.001207351744995858,0.0031720657480129944,0.001164507969174907,0.0032565809237518097,0.001137771032336075,0.003320523172103491
48,Both,0.0022827723144940104,0.0015746496782713835,0.003184740350114294,0.0015746496782713835,0.003184740350114294,0.0014531683604761178,0.003349120476950403,0.0013773018535559512,0.0034457452596019476,0.0013388664209231138,0.0034961207393626463
49,Both,0.0025054113982876025,0.001808424727405719,0.0033721815216548982,0.001808424727405719,0.0033721815216548982,0.0016483192090322976,0.003550081179511319,0.0015277417297614323,0.0036415442637778737,0.0014405144930983902,0.0036969104341151374
50,Both,0.002725305400118856,0.00196924300396329,0.003609942901791056,0.00196924300396329,0.003609942901791056,0.0017869257791804977,0.003780032604101088,0.0016471353416184138,0.0038691919523110483,0.0015474048764354885,0.003929674926778436
51,Both,0.0029372112118900983,0.002185134499519747,0.003817514247716715,0.002185134499519747,0.003817514247716715,0.0020383578013972183,0.003989500203005995,0.0019537560848770876,0.0040742382215191416,0.001890332434577132,0.004132262897159591
52,Both,0.0031499399712189196,0.0023851608846295045,0.00405686940889117,0.0023851608846295045,0.00405686940889117,0.002272836288611184,0.004231890369577306,0.0021942257568174062,0.004318934309377916,0.002159721243216133,0.004381251328545353
53,Both,0.00336494849312384,0.002565514097455619,0.0043356295356071,0.002565514097455619,0.0043356295356071,0.0024572687994270253,0.004519029042909861,0.0024039960617949626,0.004608261354317824,0.002362922206698679,0.004675616705405229
54,Both,0.0035815184801190436,0.002722637383331746,0.004631949332475369,0.002722637383331746,0.004631949332475369,0.0026145715644537958,0.004826842635766599,0.0025627915961837816,0.004943140954957515,0.0025242343183249577,0.005005085709917374
55,Both,0.003803249167807944,0.002864961889272433,0.004958822318772224,0.002864961889272433,0.004958822318772224,0.0027423849909147895,0.005168754152576299,0.002680675787831344,0.005293150269649363,0.0026496603430151955,0.005358316321939223
56,Both,0.004148926993258808,0.003205285108447988,0.00530151615559954,0.003205285108447988,0.00530151615559954,0.003093295599872644,0.005505041423746741,0.003024764957730557,0.005602828497054143,0.00297808196527922,0.005675159546911686
57,Both,0.004497512556576101,0.003497872809262949,0.005703021434829869,0.003497872809262949,0.005703021434829869,0.003387923673367868,0.005882869847276779,0.0033289773956697833,0.0059981324597084855,0.003284215790139825,0.00607833694819318
58,Both,0.004826383034209735,0.003746067202887558,0.006125135348266545,0.003746067202887558,0.006125135348266545,0.0036226402962423582,0.006311095230385039,0.0035686070028657585,0.006421567134095196,0.0035339639596409953,0.006496546392390001
