age,sex,total_mean,total_lower_p95,total_upper_p95
0,Both,0.0,0.0,0.0
0,Female,0.0,0.0,0.0
0,Male,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
1,Female,0.0,0.0,0.0
1,Male,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
2,Female,0.0,0.0,0.0
2,Male,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
3,Female,0.0,0.0,0.0
3,Male,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
4,Female,0.0,0.0,0.0
4,Male,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
5,Female,0.0,0.0,0.0
5,Male,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
6,Female,0.0,0.0,0.0
6,Male,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
7,Female,0.0,0.0,0.0
7,Male,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
8,Female,0.0,0.0,0.0
8,Male,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
9,Female,0.0,0.0,0.0
9,Male,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
10,Female,0.0,0.0,0.0
10,Male,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
11,Female,0.0,0.0,0.0
11,Male,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
12,Female,0.0,0.0,0.0
12,Male,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
13,Female,0.0,0.0,0.0
13,Male,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
14,Female,0.0,0.0,0.0
14,Male,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
15,Female,0.0,0.0,0.0
15,Male,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
16,Female,0.0,0.0,0.0
16,Male,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
17,Female,0.0,0.0,0.0
17,Male,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
18,Female,0.0,0.0,0.0
18,Male,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
19,Female,0.0,0.0,0.0
19,Male,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
20,Female,0.0,0.0,0.0
20,Male,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
21,Female,0.0,0.0,0.0
21,Male,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
22,Female,0.0,0.0,0.0
22,Male,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
23,Female,0.0,0.0,0.0
23,Male,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
24,Female,0.0,0.0,0.0
24,Male,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
