age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.839516752066688e-07,3.945119264947524e-14,1.419614959619589e-06
31,0.0008301092700050824,7.741742299960844e-05,0.0015771659476387946
32,0.0016599345883349583,0.0001538518322948988,0.003154329964349862
33,0.002489759906664847,0.00023043719077082782,0.004731493981060929
34,0.0033195852249947666,0.0003072492261148563,0.0063086579977719975
35,0.004149410543324522,0.0003840612614588846,0.007885822014483065
36,0.004572668739107594,0.0012833551194103173,0.008478464931539554
37,0.004995926934890656,0.002030976081538332,0.009082562618803785
38,0.00541918513067345,0.002620918379556756,0.009728084428363355
39,0.005842443326456535,0.003050455517610936,0.010362146377596174
40,0.006265701522239615,0.0033573860244720225,0.010984262743650492
41,0.006751069088873377,0.0036812732408199973,0.011764829859830166
42,0.007236436655507214,0.003956710493149638,0.012544471651280958
43,0.00772180422214126,0.004249900190664164,0.013440840717811743
44,0.008207171788774968,0.004505637745561503,0.014326707366404458
45,0.00869253935540885,0.00474222106424356,0.015189352129549362
46,0.009339264380740226,0.005195650815444378,0.01617554247242559
47,0.009985989406071514,0.005618239096027857,0.017157618568780945
48,0.010632714431402675,0.006009636318285924,0.01840777557770173
49,0.01127943945673406,0.006380337589250396,0.01969082912741364
50,0.011926164482065398,0.006703315179247514,0.02110150081389262
51,0.0128191324934186,0.007365667705928899,0.02210452344277185
52,0.013712100504771644,0.007938682961040392,0.02362193706712275
53,0.01460506851612522,0.00842268009085101,0.02516007243007673
54,0.015498036527478486,0.008891048042195539,0.026728218389626572
55,0.01639100453883245,0.009343446760598069,0.02839901015062725
56,0.01761582579680451,0.010174149254243932,0.03044170640921363
57,0.018840647054777056,0.010884122190036961,0.032323930223147494
58,0.020065468312749597,0.011595096613196057,0.034465773017274104
59,0.021290289570722137,0.012190238044922088,0.03662030067839299
60,0.02251511082869476,0.012769604800191656,0.038889440450775525
61,0.024125808795856723,0.013926397105651767,0.04128898551518705
62,0.025736506763017936,0.014995861109766844,0.0435076746581069
63,0.02734720473017997,0.015986488728265538,0.04625718626151542
64,0.028957902697341616,0.016911754945530946,0.04921766982690016
65,0.030568600664503384,0.01771710794114814,0.052100728994370495
66,0.03265921048304149,0.019165209180026826,0.0546217237947858
67,0.03474982030157865,0.02050654977091211,0.05753148591574899
68,0.03684043012011586,0.02181860238911925,0.06066430152073725
69,0.03893103993865407,0.02282779609255153,0.06392302740298149
70,0.041021649757192406,0.023987483470675357,0.06753956627495745
71,0.04365223917883515,0.025796207703527658,0.07117535810747297
72,0.04628282860047896,0.027368100977349107,0.07521544211791496
73,0.04891341802212037,0.028846767377410758,0.07965891785176517
74,0.051544007443764805,0.030363494996119785,0.0838968896541385
75,0.05417459686540605,0.031844001156291483,0.08866622782992624
76,0.05727055527673684,0.033818483338145265,0.09410121362738205
77,0.06036651368806632,0.03557044506944575,0.0995779638366232
78,0.06346247209939421,0.03706159147260499,0.10528325961375934
79,0.06655843051072223,0.03866818030090226,0.11117503982995247
80,0.06965438892205206,0.040099862584337294,0.1169820717418436
81,0.07314064619483178,0.04241995497823096,0.12200896089220639
82,0.07662690346761356,0.04444300944221057,0.12795914191767313
83,0.08011316074039415,0.046158340848270335,0.1348431958066744
84,0.08359941801317389,0.04735782092944868,0.14144635952555798
85,0.0870856752859555,0.04864558658777279,0.1484805620773985
86,0.09083380064258881,0.05035188965627652,0.15508641933014006
87,0.09458192599922254,0.05186734802863353,0.16114026704805473
88,0.09833005135585914,0.05353957430911302,0.16843671716114475
89,0.10207817671249172,0.05495094749960175,0.17645252792072924
90,0.1058263020691251,0.05619319214169859,0.18480055024832384
91,0.10966746319887428,0.058223375521821066,0.19158143767578983
92,0.11350862432862495,0.05950904168887215,0.20009614142517246
93,0.11734978545837146,0.06083405660718779,0.20804150466132948
94,0.12119094658811971,0.06258403271870705,0.2159750514580256
95,0.12503210771786957,0.06373970833792528,0.22361410989419958
96,0.12870075650628426,0.06554281811512984,0.23136987679958726
97,0.13236940529470503,0.06778462020916877,0.23814890099873506
98,0.13603805408312444,0.06943751034921464,0.2465725296012363
99,0.13970670287154827,0.07105521547565391,0.2557045149595655
100,0.14337535165996265,0.07234389530268621,0.26473328733376256
