age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.8876960205135026e-07,4.810640190280318e-14,1.4596737823670191e-06
41,0.00021887737373719982,0.00013235935022800998,0.00033328926460940076
42,0.0004374659778723512,0.0002645601517529563,0.0006663207679249496
43,0.0006560545820075002,0.00039657626713599366,0.000998921424158253
44,0.0008746431861426554,0.0005285929776419517,0.0013316872904243272
45,0.0010932317902777875,0.0006607303903772907,0.001664605960225081
46,0.0011972844008223329,0.0007326014078504835,0.0017994615454016304
47,0.001301337011366857,0.0007999858699763037,0.0019498925715861126
48,0.0014053896219113633,0.0008691244444713035,0.0021020861840196723
49,0.0015094422324558993,0.0009252913319225079,0.0022732987733128773
50,0.0016134948430004085,0.0009785985987583593,0.002439000300274779
51,0.0017613337199089885,0.0010914383510050218,0.00264196426621219
52,0.00190917259681753,0.0011901619016178495,0.002855975838399894
53,0.002057011473726131,0.0012765681655210175,0.0030752510154779303
54,0.0022048503506346844,0.0013578741190777169,0.003287880856586225
55,0.002352689227543259,0.0014401284628237135,0.003539002293940965
56,0.002561754509643207,0.0015910811814968408,0.0038314685507079586
57,0.002770819791743071,0.0017263161317540513,0.004123510576530772
58,0.002979885073842986,0.0018690796690396052,0.0044431605965974084
59,0.003188950355942931,0.001984372257791125,0.004789832847924782
60,0.003398015638042936,0.0020975936563366,0.00512096782355413
61,0.003699290298922556,0.002317101186637218,0.005461783557660326
62,0.004000564959802297,0.002530192407856815,0.005870223114125658
63,0.004301839620682041,0.002729804118538912,0.006328949179056225
64,0.004603114281561768,0.002914636086457694,0.006774724400915387
65,0.004904388942441427,0.0030722799098909185,0.0072477750479470774
66,0.005330499757129143,0.003380861348523082,0.007772413256900885
67,0.0057566105718167915,0.0036739026728582506,0.008339593531685598
68,0.0061827213865045,0.003940048184289858,0.009002736048192928
69,0.006608832201192045,0.004185670989377445,0.009707743754342222
70,0.007034943015879613,0.004429849865032071,0.010458789425112304
71,0.007646904125801416,0.004827108127926464,0.011221033755320095
72,0.00825886523572321,0.005196496329432863,0.012108572374132195
73,0.008870826345644863,0.005557228168654342,0.013047202025987371
74,0.009482787455566521,0.005891088830662762,0.014007203853251821
75,0.01009474856548811,0.006201914674637109,0.014983658677661545
76,0.01088805880552407,0.006825576927163759,0.016017145828168402
77,0.011681369045559727,0.007337979523180095,0.017147260555887823
78,0.012474679285595903,0.007764317599933371,0.01840208463686601
79,0.013267989525631588,0.00820191977188896,0.01971437773191688
80,0.014061299765667497,0.008656486376337159,0.02095346132124783
81,0.015032676281511694,0.009275534648528193,0.02238143894009054
82,0.01600405279735593,0.009813849771374093,0.02388473340189268
83,0.016975429313199845,0.01031868872425812,0.025429623845091117
84,0.017946805829044184,0.010763540381013926,0.02715041835491538
85,0.018918182344888995,0.011171594449248711,0.02894703742520427
86,0.01997881277872682,0.011879169098656342,0.03079353080769569
87,0.021039443212564565,0.012375825999621537,0.032470889417216896
88,0.022100073646402586,0.012906826209215534,0.03454842301472384
89,0.023160704080241745,0.01331904058460039,0.0366981683938743
90,0.024221334514078804,0.013699808707631085,0.03909059670562594
91,0.025282495601069755,0.01426054671282148,0.0409257217395992
92,0.026343656688060074,0.014604264460076675,0.0429143019618068
93,0.027404817775049863,0.015124003093247686,0.04459098537841668
94,0.028465978862040206,0.015522014590983981,0.04653598033907565
95,0.029527139949030203,0.01596151505798917,0.0492685672981955
96,0.03048982643008507,0.01641551896159896,0.05098507688178929
97,0.031452512911139555,0.016859148644075103,0.05332450911466359
98,0.032415199392193596,0.01722177130113183,0.05559844537825291
99,0.033377885873247776,0.017455171578170506,0.05767203249719497
100,0.034340572354302615,0.01778633576505824,0.060302210527169414
