age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.8550530717054457e-07,6.200753506180932e-14,1.4489555956007615e-06
31,0.005593683041874307,0.004125350606088606,0.0073602355067944715
32,0.011187080578441472,0.008250310086904782,0.014720438422822637
33,0.016780478115008605,0.012375269567720958,0.0220806413388508
34,0.022373875651575687,0.016500229048537134,0.02944084425487897
35,0.02796727318814258,0.02062518852935331,0.03680104717090713
36,0.031243943427499116,0.02347843784812148,0.04075249603189191
37,0.03452061366685642,0.025994669505933612,0.0449612884815007
38,0.03779728390621375,0.028324389079408655,0.04965850529723783
39,0.041073954145570156,0.030385162318102343,0.054590239612751425
40,0.04435062438492578,0.03239841580770681,0.059842621549724286
41,0.04943651393662543,0.0367755044986446,0.06529525995008774
42,0.054522403488324024,0.04082466216774774,0.07207931632679922
43,0.05960829304002295,0.04455333995572737,0.07890701406050302
44,0.06469418259172065,0.04804975815730851,0.08614071533985967
45,0.06978007214341848,0.05121817343192551,0.09378910444680788
46,0.0763962827019658,0.05736865180826567,0.10068418767717045
47,0.08301249326051113,0.06305165327766503,0.10834012320184952
48,0.0896287038190573,0.06797928217729322,0.11705356054305385
49,0.09624491437760144,0.07244566877583121,0.12615347834670756
50,0.10286112493614387,0.07683981819018355,0.13574245599933457
51,0.11063529060070329,0.08493112770538766,0.14242783280783328
52,0.11840945626525967,0.092383885152265,0.15021759650722266
53,0.12618362192981594,0.09918364585569353,0.15928738938262157
54,0.1339577875943723,0.10462316626572152,0.16952018225896873
55,0.1417319532589226,0.1094707484644671,0.18005937002255878
56,0.14934743200646997,0.11820240685533809,0.1868182603718598
57,0.15696291075401325,0.12520470897059868,0.19429895771662473
58,0.1645783895015588,0.13137450985464266,0.2033685089891709
59,0.17219386824910435,0.13673728155783527,0.21345030109430144
60,0.1798093469966441,0.14099882319664603,0.22605094912287568
61,0.18771257501448768,0.15004986236150808,0.23161478322292306
62,0.19561580303232368,0.15812908274129855,0.23894435336266298
63,0.20351903105016064,0.16536341924292725,0.24818387302576328
64,0.21142225906800102,0.17070286334116827,0.2588282977622148
65,0.2193254870858387,0.1743950079158617,0.27116919778781806
66,0.22716897140490136,0.18501324981998013,0.2773683852649256
67,0.23501245572395876,0.1927609594516671,0.2845569219493883
68,0.24285594004301123,0.19907494273189066,0.29286671648945645
69,0.25069942436206916,0.20409047143829973,0.3038470247357286
70,0.2585429086811349,0.20812614456180997,0.3159296430689538
71,0.2664364074592434,0.21683599815740864,0.3223793421693216
72,0.2743299062373527,0.22468985827448537,0.33151306002687103
73,0.2822234050154704,0.23031411859640394,0.34192803153263324
74,0.29011690379358046,0.23433973983955567,0.35488523207972866
75,0.2980104025716891,0.23784551117074035,0.3682264370669728
76,0.3077495223911013,0.2481075728864629,0.3781228346744349
77,0.31748864221051476,0.25560856228718126,0.38995452976178935
78,0.32722776202992526,0.2616508471735158,0.4040275815942884
79,0.33696688184933676,0.2670986035394358,0.42175836483617635
80,0.34670600166875176,0.27163218804972084,0.44068540220352737
81,0.35841168189844225,0.2815897066839486,0.45244015910191276
82,0.37011736212814106,0.2894092269951413,0.4695536197780017
83,0.38182304235783265,0.29589330644788786,0.48785268586370506
84,0.39352872258753196,0.3012360638945274,0.5092221329409929
85,0.40523440281722556,0.3054306324427195,0.5335533860634999
86,0.41972157512950115,0.3152117622303865,0.5500684042502209
87,0.43420874744176147,0.32368321526945276,0.5731208060897826
88,0.4486959197540248,0.33110107318376836,0.5972621369673425
89,0.4631830920662951,0.3360949080771538,0.6265199652466836
90,0.47767026437855764,0.34145291309766324,0.6564355523663655
91,0.49421663596794974,0.3519312360305885,0.6782434979589879
92,0.5107630075573382,0.36067280452041806,0.7033194476621242
93,0.5273093791467248,0.3677253891407554,0.7317230986163739
94,0.5438557507361128,0.37405007589419137,0.764347847542069
95,0.5604021223255123,0.3808673028250367,0.801748731239826
96,0.5765958592644764,0.3911948813065105,0.8185652194121951
97,0.5927895962034369,0.4009101716357239,0.8456552384686693
98,0.6089833288666513,0.4089750840333837,0.8740368484299781
99,0.6251760584714708,0.4143065582124045,0.9073733382144396
100,0.6413438221328266,0.4207559483461073,0.9419231434449211
