age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,3.039149038650087e-07,4.4803017790021454e-14,1.4466527795717241e-06
31,0.004341549746304904,0.0032168283892878057,0.0056552185704361055
32,0.0086827955777059,0.006433124634827752,0.011309338700462121
33,0.013024041409107064,0.009649420880367698,0.016963911119538967
34,0.017365287240508096,0.012865717125907646,0.022618483538615817
35,0.02170653307190911,0.01608201337144759,0.028273055957692663
36,0.024326179624102197,0.018236734595278522,0.031219229779766072
37,0.02694582617629484,0.020311546554702367,0.0344704378821797
38,0.02956547272848708,0.022240728247610347,0.03791154979849244
39,0.032185119280679804,0.023980222421661635,0.04158710305952914
40,0.03480476583287247,0.025489946495180892,0.045557458187619575
41,0.03869563342351397,0.02916855789080719,0.04945434334598098
42,0.042586501014153955,0.03246175157721659,0.053931874077509254
43,0.04647736860479534,0.035580760822437954,0.0589962711988323
44,0.050368236195436074,0.038292976833867974,0.06434318806702204
45,0.05425910378607601,0.04091599445678738,0.07006348380369758
46,0.05874556325016194,0.04542633420812573,0.07415538923656798
47,0.06323202271424885,0.04926042672761534,0.07909167961962613
48,0.0677184821783343,0.05258073349972331,0.08480083956678026
49,0.07220494164242044,0.055687885018382705,0.09101580113519797
50,0.07669140110650734,0.05851234206247723,0.09770293736307416
51,0.08177265315675025,0.06373757536833538,0.10189428000275774
52,0.08685390520699074,0.06852208062097627,0.10684161602107539
53,0.09193515725723628,0.07266954103322076,0.11342127483963278
54,0.09701640930747923,0.0765820862683326,0.12023135501541368
55,0.1020976613577178,0.07964483442131226,0.12841172383864705
56,0.10750480261628066,0.08572280527225346,0.1321118916219869
57,0.11291194387484159,0.09134450780651326,0.137226386998526
58,0.11831908513340136,0.095545460913217,0.14375707849059574
59,0.12372622639196243,0.09898155703467194,0.1512007213635108
60,0.12913336765052125,0.10172146200296635,0.15964597709284434
61,0.13504767209362767,0.10923754823142695,0.16362076297571282
62,0.14096197653673295,0.11539779110283555,0.16906339998612824
63,0.14687628097983277,0.12025964111084016,0.17611682036872545
64,0.15279058542293755,0.12437948579615382,0.18458828507849936
65,0.15870488986604445,0.12780196064416943,0.19397398809666416
66,0.16480700682639637,0.13514975177743221,0.19856915538483355
67,0.17090912378674797,0.14157790015951166,0.2043525422794964
68,0.17701124074710256,0.1462326802856822,0.2117394080198911
69,0.18311335770745607,0.15009786883821533,0.2207766543010133
70,0.1892154746678084,0.15327464245517558,0.23199006628119068
71,0.19581463186356743,0.1605506057808086,0.23732834471538855
72,0.20241378905932222,0.16668943897354585,0.24498749185427313
73,0.2090129462550739,0.17140515184950994,0.25346827200628097
74,0.21561210345083834,0.17522394606395325,0.2631608127586518
75,0.22221126064659358,0.1785024603172894,0.2752415262800313
76,0.23016502545909892,0.1868131889508102,0.28230515347382645
77,0.2381187902716126,0.19329985543335484,0.2921965041001551
78,0.24607255508411938,0.19885340426494164,0.30452478603652067
79,0.2540263198966292,0.20312304588547953,0.3185825395008118
80,0.26198008470913275,0.20620039798643788,0.3343879402083358
81,0.27200180168641186,0.2145266590811603,0.34467310248167554
82,0.2820235186636836,0.22152423544686234,0.35907619700629956
83,0.292045235640955,0.22677902421560373,0.37426199729736764
84,0.3020669526182351,0.23133283589381695,0.39196854144700305
85,0.31208866959550036,0.2344515974432717,0.4107210904888191
86,0.32529484651077006,0.24547625095653908,0.42894009835863767
87,0.338501023426019,0.25348214843736216,0.45085491370558
88,0.3517072003412799,0.25861361980463016,0.47416728652724693
89,0.36491337725653633,0.2637051326092772,0.5015749048170333
90,0.3781195541718005,0.26873739800588076,0.5294001572122394
91,0.3926555576014278,0.27820687535528066,0.5475604911038051
92,0.4071915610310588,0.28758086578162684,0.5720265366104145
93,0.42172756446068854,0.29419183195965626,0.596455290515571
94,0.4362635678903346,0.3001641179599666,0.6264806106361172
95,0.45079957131995957,0.30379705965738313,0.660544379038842
96,0.46457704592288707,0.31371298452551155,0.679485201310771
97,0.4783545205258096,0.3196971707926413,0.7050326010052738
98,0.4921319951287238,0.32612943147293777,0.7341766505664332
99,0.5059094697316514,0.330367217479367,0.7624806403322593
100,0.5196843606076145,0.3344532836027117,0.7953333451622254
