age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.9406093683763446e-07,8.840113889396646e-14,1.4647313661019374e-06
41,0.0004976640342789582,0.00036987850615827504,0.0006429534787494111
42,0.000995034007621067,0.0007397251781584354,0.001285875675604038
43,0.0014924039809631996,0.001109553118035706,0.0019286313935559206
44,0.0019897739543053255,0.001479342598359516,0.002571414632042517
45,0.0024871439276474535,0.0018491320786833253,0.0032142398945134375
46,0.0026992988744750706,0.0020444996539521524,0.003443649418935839
47,0.0029114538213027585,0.0022072797033936544,0.003711809045193016
48,0.003123608768130368,0.002370369328278344,0.0040000019427128206
49,0.0033357637149580436,0.002508620580313798,0.004312278696071465
50,0.003547918661785848,0.00263314494216699,0.004642914725921317
51,0.003848091839247115,0.002915714950561472,0.0049544906153170636
52,0.004148265016708553,0.0031550711589674795,0.005301002359802103
53,0.004448438194169923,0.0033660215129390388,0.0057149389054411085
54,0.004748611371631314,0.003561979967747104,0.0061553158535872735
55,0.005048784549092664,0.0037360858044948285,0.006637129490977041
56,0.005504192065244794,0.004174042411429917,0.00708536180969476
57,0.005959599581397041,0.004559165401192909,0.0076440369011491465
58,0.006415007097549008,0.004905786376048392,0.008229542678472389
59,0.006870414613701096,0.005219232899652303,0.00886105050615671
60,0.0073258221298530424,0.005495195475141198,0.009529167994764371
61,0.008018085049272681,0.006111167948151797,0.010242760753986753
62,0.008710347968691952,0.0066870607305385115,0.011122128490225647
63,0.009402610888111538,0.0071892359407608585,0.012043915860574059
64,0.010094873807531126,0.007598128976806195,0.012979562188147975
65,0.01078713672695043,0.00800748771859744,0.014023674092188756
66,0.01182373947255769,0.008988826546825162,0.015095270852238545
67,0.012860342218164608,0.00989439700797369,0.01637104323178263
68,0.013896944963771994,0.010690305256537008,0.017764766070149908
69,0.014933547709378957,0.011428546918435211,0.019304751496383627
70,0.015970150454986003,0.012098339269021268,0.020862974345949734
71,0.017527964975888165,0.013548541822469366,0.02241305748755611
72,0.01908577949679029,0.014839803356719852,0.02421781822338577
73,0.020643594017692272,0.016018266287128373,0.026201568525453692
74,0.022201408538594595,0.017149624111103035,0.028399092835409777
75,0.02375922305949616,0.018145552518794468,0.03066583515270178
76,0.02586070486206633,0.020072383564702707,0.03284178038460616
77,0.027962186664635996,0.021728856113179006,0.0352429557620238
78,0.03006366846720598,0.023313043967757855,0.038014950359464825
79,0.03216515026977602,0.024627576652674673,0.04104726237857026
80,0.03426663207234539,0.025879092625466837,0.044462026204227054
81,0.036599698778153375,0.02819379891772144,0.04641244990319884
82,0.03893276548396209,0.030186722398629837,0.04930756152622738
83,0.04126583218977016,0.03182738471991109,0.05260177537027937
84,0.043598898895579274,0.03310067604944769,0.05605369210497328
85,0.04593196560138744,0.0343547188359304,0.05992702948461527
86,0.048329963668469395,0.0367668897928354,0.06262308693477703
87,0.05072796173555159,0.038646629099769514,0.06582124381485278
88,0.05312595980263293,0.04008510778389215,0.06930121629563937
89,0.05552395786971519,0.04158292770072694,0.07376772737412267
90,0.05792195593679523,0.04273460836068819,0.0779858345839689
91,0.06032149161739707,0.04441727527386188,0.0810447047054012
92,0.06272102729799643,0.0456969145085478,0.08456936693991718
93,0.06512056297859628,0.04695312320918173,0.08835497473370492
94,0.06752009865919754,0.04822981626280348,0.09275958495148799
95,0.06991963433979803,0.04912310451264043,0.09697307097596508
96,0.07211785939953262,0.05054356665393651,0.1001475302179062
97,0.07431608445926673,0.051816179106236745,0.10396256432396478
98,0.07651430951900282,0.05289278217813929,0.1079678329028017
99,0.07871253457873623,0.05347965434459813,0.11243856974636628
100,0.08091075963847397,0.05423267446416911,0.11750121639196102
