age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,3.054127748062548e-07,3.150713960071651e-14,1.4458901911324832e-06
31,0.003948079452809618,9.55840458920284e-05,0.006872231632329047
32,0.0078958534928444,0.00019108084896903268,0.01374419495209213
33,0.011843627532879071,0.00028661890444846614,0.02061615827185521
34,0.015791401572914195,0.00038214584976909864,0.027488121591618297
35,0.019739175612948613,0.00047767279508973104,0.03436008491138138
36,0.02210373790228314,0.005002655798603386,0.03675524274370267
37,0.02446830019161676,0.009031104219071714,0.03947331275374554
38,0.026832862480951184,0.012777577653235901,0.04230683610835912
39,0.02919742477028551,0.016237554501414973,0.04521458425199626
40,0.031561987059619684,0.019054268657999793,0.04829056066906111
41,0.034047890475833065,0.020956361444649657,0.051227093814026944
42,0.03653379389204739,0.022675429949486868,0.05471178193938364
43,0.03901969730826073,0.024144313198694714,0.058606667431150755
44,0.0415056007244744,0.025735724835492906,0.06248104710677432
45,0.04399150414068829,0.027206511872185927,0.06639776428461587
46,0.04751118992313696,0.030320279343548535,0.07017967463339929
47,0.05103087570558306,0.03290445600073541,0.07517036624540338
48,0.05455056148803086,0.03514110786513272,0.08032919954281373
49,0.05807024727047755,0.0372195534779783,0.0861380373351495
50,0.061589933052925525,0.03916102582194417,0.09155749481768198
51,0.0667835091584485,0.04370128842865289,0.09758443115116724
52,0.07197708526396894,0.04793618597213621,0.10394232654165342
53,0.07717066136949148,0.05201730739565383,0.11158009565813201
54,0.0823642374750134,0.05550542120102059,0.11950265818719898
55,0.0875578135805354,0.05883631662236764,0.12779694346878875
56,0.0947403623493965,0.06510032880922732,0.13587090868672907
57,0.10192291111825603,0.07099261932166757,0.14548938701609074
58,0.10910545988711452,0.07588271398961094,0.15523273953809433
59,0.11628800865597616,0.08075631007444325,0.16583712716843033
60,0.12347055742483354,0.0849190963263756,0.17691504922670676
61,0.1332175687320127,0.09354165105991367,0.18719461725855388
62,0.14296458003919038,0.10143810947645746,0.19881171934493153
63,0.1527115913463615,0.10854099499489503,0.21117186230906987
64,0.16245860265353707,0.11553957895607063,0.22427276335209625
65,0.17220561396071554,0.12111663040959249,0.23846532310051746
66,0.184450742167262,0.1327603853513826,0.2509476798428124
67,0.1966958703738076,0.14215876972671754,0.26548291373007593
68,0.20894099858035228,0.15047492516104724,0.28203989188062906
69,0.22118612678690222,0.1583279445636785,0.3006040675242097
70,0.23343125499344788,0.16523587115242575,0.3204834016178119
71,0.24694883550446614,0.17777566612100468,0.33380815704853856
72,0.2604664160154827,0.18831521831314196,0.3507769796962886
73,0.2739839965264997,0.1980003937860563,0.37014376838571766
74,0.28750157703751655,0.2058009867373812,0.3905634948998791
75,0.30101915754853287,0.21258607064947904,0.4134586802784699
76,0.31517053380185495,0.22654176338867366,0.4284441164664108
77,0.3293219100551827,0.2364453783610559,0.4490968443769946
78,0.3434732863085078,0.24442575703230124,0.47263449095611193
79,0.3576246625618374,0.25202762746874563,0.4953797953585407
80,0.37177603881516247,0.2575992829061914,0.5216788832531185
81,0.386916789159632,0.2695803720367091,0.5395758891582856
82,0.4020575395041222,0.2789184433503488,0.5597128973650767
83,0.41719828984860874,0.28748452427144816,0.5865914119143341
84,0.4323390401930886,0.2984545285497517,0.6125517897584998
85,0.4474797905375715,0.30581059989748444,0.6398006390289565
86,0.46279065810161935,0.31744396805866376,0.6554802849120932
87,0.4781015256656603,0.3270156470493662,0.6733767838763437
88,0.4934123932297202,0.335665630231345,0.6962849779203315
89,0.5087232607937573,0.34327192913588206,0.7195426880224214
90,0.5240341283578074,0.3513676595018893,0.7478207070663504
91,0.5399559688622859,0.3625264363708464,0.7636085585994848
92,0.555877809366777,0.3719540587592242,0.7855231839352796
93,0.5717996498712725,0.37903140400942,0.8084254514234772
94,0.5877214903757413,0.38404480152506126,0.8353519622477615
95,0.6036433308802343,0.390750327899649,0.8664784580604636
96,0.6197079752314346,0.39981277178436186,0.883165000499466
97,0.6357726195826391,0.40873191415938487,0.899396844154706
98,0.6518372639338383,0.4179245201672701,0.9187450768906699
99,0.667901553268004,0.42510768423162154,0.9439533794760152
100,0.6839075070668533,0.432122907593558,0.9712429689499822
