age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.747976160416701e-07,1.313932197934727e-14,1.438751456324282e-06
41,0.0002214486869725274,3.0259387512817776e-05,0.0004381851624005165
42,0.00044262257632900654,6.015905491825383e-05,0.0008746099050198781
43,0.0006637964656855007,9.012022182043371e-05,0.0013110425469975004
44,0.0008849703550419866,0.00012014778823192884,0.0017477936599544417
45,0.0011061442443984686,0.00015017884557545113,0.002184708557467252
46,0.001264489091489264,0.00033137720413770657,0.002281210114497646
47,0.0014228339385800393,0.00040069228259048255,0.002416760280504682
48,0.001581178785670835,0.000452147640107063,0.002552655791176976
49,0.0017395236327616172,0.0004962851188518605,0.0027040764253464284
50,0.0018978684798524367,0.0005352629737054907,0.002869691083320837
51,0.002043015269318093,0.0008565765574806718,0.003034064470219867
52,0.002188162058783745,0.001177439578165762,0.003195923275303841
53,0.0023333088482494365,0.0014641054999768878,0.0034014264982921995
54,0.0024784556377150475,0.0016639363885613066,0.003615817939864731
55,0.002623602427180776,0.0018123015546644328,0.0038224028231642606
56,0.0028266521712662306,0.0019986516129866477,0.004049541948008175
57,0.003029701915351675,0.0021641029445800654,0.004269968947144296
58,0.0032327516594370573,0.002298260501953203,0.004562548819373575
59,0.0034358014035226134,0.0024184897875241776,0.004859485607818282
60,0.003638851147608053,0.0025302847939325324,0.005185337477087206
61,0.0040005455048763225,0.0028817571279382034,0.00557478790939895
62,0.004362239862144469,0.0031732712962210872,0.00600740094752918
63,0.004723934219412517,0.0034407106899566244,0.006513040914051986
64,0.005085628576680676,0.0036898308327552097,0.0069972570706833175
65,0.005447322933948902,0.0039018891239600475,0.00753504961524616
66,0.006095861103213571,0.004509110650377877,0.008244341542294293
67,0.006744399272477841,0.005041599577908753,0.009031886914400634
68,0.007392937441742408,0.005533217057895082,0.009824674973320976
69,0.008041475611006852,0.005983230516614149,0.010725513212579299
70,0.008690013780271268,0.006430302376739028,0.011664930197549744
71,0.009855331653800786,0.007470575892596056,0.012911990534225629
72,0.011020649527330114,0.008438247621749119,0.014281145826622557
73,0.01218596740085903,0.009341079351021136,0.015848619835273373
74,0.013351285274388506,0.010175363669976779,0.017391402494653548
75,0.01451660314791816,0.010946415157503596,0.019045657249062216
76,0.016407440909767847,0.012672918994182738,0.02100077966688849
77,0.01829827867161771,0.0142369277477794,0.023288170304408433
78,0.020189116433467588,0.015741938282234098,0.025703964592643302
79,0.02207995419531711,0.017029646759110655,0.028230871935635785
80,0.02397079195716729,0.01826999943447791,0.030814818636188585
81,0.026703867996180842,0.02066232613872352,0.034007628158620025
82,0.029436944035193455,0.022747793165750617,0.03740930554291061
83,0.032170020074207016,0.02467849126493506,0.04110663806002983
84,0.03490309611322036,0.026432877461686825,0.04506629909310136
85,0.03763617215223356,0.028028905238707554,0.04933997352863195
86,0.04060173204184833,0.03039978701165253,0.05272506740492265
87,0.04356729193146086,0.032305338228843246,0.05671455460499973
88,0.04653285182107427,0.034131200440821886,0.06124413251409415
89,0.049498411710687695,0.03567545372305133,0.06612591681287223
90,0.05246397160030262,0.03711249237352605,0.07097990136111747
91,0.054851844231724484,0.03894451405632579,0.0744506358994847
92,0.05723971686314741,0.04056805277514694,0.07819492369520603
93,0.05962758949457101,0.04194978739458872,0.0826529868531197
94,0.062015462125993064,0.04328356768196767,0.08752084009589527
95,0.0644033347574161,0.04394651765171979,0.0923577447264879
96,0.06637980282459831,0.04537369388366977,0.09541152100017956
97,0.06835627089178033,0.04635607173658117,0.09863548400281254
98,0.07033273895896215,0.04730881244148238,0.10187835354664879
99,0.07230920702614445,0.04802724327628511,0.10557963082533996
100,0.07428567509332465,0.04888469004009138,0.11005546141635252
