age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.8337032426594403e-07,8.061828578036817e-14,1.4469152960865577e-06
41,0.00034125109349910965,4.596768893214059e-05,0.000545831534050902
42,0.0006822188166739605,9.161768367727468e-05,0.0010916623219715679
43,0.001023186539848803,0.0001372702637281345,0.001637493109892234
44,0.0013641542630236454,0.0001830250238009359,0.0021833238978129
45,0.0017051219861985176,0.00022877608505860592,0.002729154685733566
46,0.0018856239957161884,0.0006052538815255732,0.0029054261593595776
47,0.002066126005233881,0.000935705356059772,0.0030767481297897786
48,0.0022466280147515594,0.0012515788897117827,0.0032727456219662724
49,0.002427130024269209,0.0015186034498512618,0.0034872388700517764
50,0.0026076320337869237,0.001720385022221876,0.0037090738173769346
51,0.00280322145621181,0.001882140295250866,0.003946328031451498
52,0.002998810878636663,0.0020447752314335104,0.004202238584911382
53,0.0031944003010615433,0.002201094148106632,0.004475238387513686
54,0.00338998972348647,0.002353710816542092,0.004778914787138654
55,0.003585579145911364,0.002481440987006922,0.005098698765883859
56,0.003890045036973687,0.0027632447894273865,0.005432269973264175
57,0.004194510928036018,0.0030052727773319412,0.005811429350679397
58,0.0044989768190983135,0.0032276417068352117,0.0062466228272244455
59,0.0048034427101607555,0.0034142993906774418,0.0066976759530807135
60,0.005107908601222969,0.0036007260157547745,0.0071550283409013565
61,0.005629367107960295,0.004079676394220933,0.007720423062658004
62,0.006150825614697661,0.004495624055488057,0.008393258873810204
63,0.0066722841214348775,0.004873701270849834,0.009105992317348072
64,0.0071937426281721804,0.005217939462007302,0.00985648392334067
65,0.007715201134909345,0.005533764308446095,0.010655836444910813
66,0.008603941850180048,0.006389315606662635,0.011616989445123755
67,0.009492682565450541,0.007130798360352765,0.012667142282939543
68,0.010381423280721131,0.007779269211358221,0.013844666725660846
69,0.011270163995991652,0.008409791706476936,0.0150772792673645
70,0.01215890471126231,0.008987758270699753,0.016348444285526075
71,0.013581839649591754,0.010301444283260373,0.017871012586305798
72,0.015004774587920695,0.011428265930893248,0.01956083963698242
73,0.016427709526249876,0.012522397735680204,0.021431518139587546
74,0.017850644464578687,0.013550500922253749,0.02344250181841344
75,0.01927357940290784,0.014485053925123607,0.025498570006828373
76,0.021367250901937106,0.016411871182352832,0.02771352660621169
77,0.023460922400966696,0.018049526559046673,0.030305781830759798
78,0.025554593899995662,0.01962635119351972,0.03305866452397858
79,0.027648265399025155,0.021069027075709797,0.036030473841644144
80,0.029741936898054495,0.0224147599414331,0.03909054343393531
81,0.032369873519160465,0.024970809395369005,0.04164831786317585
82,0.03499781014026582,0.0270725754348572,0.04504064318668148
83,0.037625746761372626,0.028921725045620662,0.04863581854997518
84,0.040253683382479144,0.030468363490377796,0.05241775940110875
85,0.042881620003583525,0.03197292850114703,0.05640633402652537
86,0.045617421824128646,0.034448020007458315,0.05979268782406959
87,0.0483532236446721,0.036365752223721584,0.06337841505437347
88,0.05108902546521481,0.03801173189275642,0.06764510742994412
89,0.053824827285759144,0.03962746772831903,0.07210588025005599
90,0.056560629106301975,0.04088623565573852,0.07693252853388158
91,0.05907045781052833,0.042791212307765086,0.08017885128746885
92,0.06158028651475252,0.04434607913474659,0.08359270540081011
93,0.06409011521897635,0.04580208004314174,0.08825659279756182
94,0.0665999439232015,0.04695540807402458,0.09268704360258308
95,0.06910977262742748,0.04790065397722933,0.0971570118200933
96,0.07125557725498179,0.04906096140685073,0.10114512593128304
97,0.07340138188253874,0.050207263487905184,0.10464057448345858
98,0.07554718651009716,0.05120445699419431,0.10862072579957327
99,0.07769299113765318,0.05215796255787634,0.11320881572247474
100,0.07983879576521011,0.052734282206740896,0.11803979212848136
