age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,3.046163719821813e-07,7.646930673004715e-14,1.4652134462272158e-06
31,0.006457708186233074,0.004167213027737211,0.008780354185788373
32,0.012915111756094293,0.00833418741421203,0.017560577109565302
33,0.019372515325955394,0.01250116180068685,0.026340800033342236
34,0.02582991889581633,0.01666813618716167,0.03512102295711916
35,0.03228732246567741,0.02083511057363649,0.0439012458808961
36,0.03557355308611456,0.023170906492028378,0.04791610756600001
37,0.03885978370655058,0.025522848264749137,0.052293228599495756
38,0.04214601432698725,0.02806793869933826,0.05717676066628928
39,0.045432244947423366,0.030628724383668073,0.06221284684197916
40,0.048718475567860096,0.03319201608742249,0.06764597521884662
41,0.05326055559069845,0.036567562195555854,0.07270961800838856
42,0.05780263561353674,0.03999296462907823,0.07871215119248763
43,0.06234471563637602,0.043010739484161536,0.08560438685036503
44,0.066886795659214,0.04572112201391423,0.09270043037787579
45,0.07142887568205339,0.04840035490401222,0.10014007248572318
46,0.07692837187982149,0.05304363633816772,0.10672624362785825
47,0.08242786807758966,0.0570336118649342,0.11398317778518663
48,0.08792736427535541,0.06075431736632668,0.12257533186515873
49,0.09342686047312258,0.06426644325268888,0.13075576521847557
50,0.09892635667088934,0.06757657603063931,0.13908588410901895
51,0.10555378726869766,0.07354776448406769,0.1474107661772302
52,0.11218121786650663,0.07860068085906455,0.15530121827809823
53,0.11880864846431356,0.08319201052309208,0.16417791631959983
54,0.12543607906212076,0.08736640849585761,0.17384117611210181
55,0.13206350965992664,0.09188913980363567,0.18487475356963728
56,0.14029641031060694,0.09847745315474786,0.19451706493577445
57,0.14852931096128505,0.10472309447548338,0.2053618606586518
58,0.15676221161196896,0.11083280103859774,0.21657438483351515
59,0.16499511226264602,0.1159487019194191,0.22889513780961862
60,0.17322801291332268,0.12090399536914563,0.24264024792854813
61,0.1832790096597387,0.12954165439339307,0.25360646959339017
62,0.19333000640614462,0.13698924065802479,0.2664573523546026
63,0.20338100315255483,0.14367391890959696,0.280438469715944
64,0.21343199989896405,0.14964673512994592,0.2955466137719522
65,0.22348299664537263,0.15513604006059234,0.31372856610211175
66,0.23593358290709857,0.16635948543480103,0.3263346313855834
67,0.2483841691688295,0.17720381878140606,0.3416313538020742
68,0.26083475543055334,0.18535591010316743,0.3582537185498627
69,0.2732853416922818,0.19266944147562426,0.3764402344729756
70,0.2857359279540108,0.19927950391847118,0.39703048553778025
71,0.3004493251647616,0.21268518567344327,0.41096140181778906
72,0.31516272237550774,0.22449885359369912,0.42894491665062745
73,0.32987611958626395,0.23531809808690263,0.4494034883774653
74,0.34458951679702027,0.24526797026545102,0.46893857802213845
75,0.3593029140077623,0.25412900195563914,0.4904391642244655
76,0.37621700974542305,0.26877481427074634,0.5057138580936225
77,0.3931311054830871,0.2829534438453202,0.5247083947733748
78,0.41004520122074983,0.2946673631824559,0.5459964269099407
79,0.42695929695840684,0.3065646692114674,0.5693905044261334
80,0.4438733926960748,0.3160839671689119,0.597256941262195
81,0.46251590139334,0.33571888283766976,0.6137888219756412
82,0.48115841009061383,0.3512398050750626,0.6360046481592794
83,0.4998009187878826,0.3635974228336085,0.6584894090605599
84,0.5184434274851469,0.37539357903962256,0.6859980059578361
85,0.5370859361824133,0.38501195912608627,0.7157467440374801
86,0.5572820586879281,0.4077065238405321,0.7341261922819234
87,0.5774781811934591,0.42336364224864775,0.7558806130412867
88,0.5976743036989937,0.4370489002081971,0.7805370347163177
89,0.6178704262045274,0.4473599654836194,0.8092619672867545
90,0.6380665487100627,0.4562846287808755,0.8408588726932299
91,0.6578779614670485,0.47178981246303936,0.8559876596948204
92,0.6776893742240466,0.4870452826744106,0.8762288105735248
93,0.6975007869810371,0.497586676963984,0.8959286186966611
94,0.7173121997380423,0.5057598848262774,0.9200890971931068
95,0.7371210297433766,0.5150137305336406,0.9489547279037674
96,0.7547180946392363,0.5297694557593889,0.9558011017987751
97,0.7723147409542971,0.5430443831468906,0.9645736475789004
98,0.7899094409259243,0.5529186833806942,0.974836888237378
99,0.8074842628051583,0.5604985510374557,0.9873389300785079
100,0.8247725429194848,0.5672221882725643,1.0
