age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.8697369980190664e-07,3.725781419424939e-14,1.4627943360140773e-06
41,0.0007553307648211703,0.00046608105294846514,0.0011873860074676855
42,0.0015103745559425412,0.0009316936326781593,0.0023745821448725164
43,0.0022654183470638993,0.0013973062124078535,0.0035617782822773476
44,0.003020462138185258,0.0018629187921375477,0.004748974419682178
45,0.003775505929306667,0.002328531371867242,0.0059361705570870095
46,0.004128073914248846,0.0025885667022823317,0.006464111340011474
47,0.004480641899190945,0.0028216507545457846,0.007057664073894338
48,0.004833209884133078,0.003042109365653321,0.007614623865156305
49,0.005185777869075241,0.0032265724422034354,0.008191974798784507
50,0.0055383458540173595,0.0034058250628041468,0.008769168315310173
51,0.006042703043564558,0.0037861958833668454,0.009468953311475955
52,0.006547060233111745,0.004103707151404385,0.010199333943581954
53,0.007051417422659011,0.0044020228169450075,0.010917468968244
54,0.007555774612206265,0.004668479713601385,0.011726953958279114
55,0.008060131801753394,0.004951172866740008,0.012587967501752404
56,0.008794961825082215,0.005434288757259324,0.01347018114760871
57,0.009529791848410877,0.005871894068360608,0.014550139132097524
58,0.01026462187173967,0.006317712318848664,0.015650735744067647
59,0.010999451895068362,0.006769471036753924,0.016852826852147146
60,0.011734281918397104,0.007143388791452244,0.018056659575155953
61,0.01278630575403178,0.00791204587064836,0.01958409894424769
62,0.013838329589666533,0.00862709503777635,0.021276785268350563
63,0.014890353425301327,0.009319865783293782,0.022860116406100035
64,0.01594237726093611,0.009952367300201645,0.024626336257316143
65,0.016994401096570938,0.010474971297497492,0.026458496255576263
66,0.018489314825191037,0.011614649407558814,0.028377637453255406
67,0.019984228553811358,0.012589223343782137,0.030566250294455893
68,0.02147914228243054,0.013520813921670847,0.03293607010332054
69,0.022974056011051458,0.014360791971446324,0.03536544469705229
70,0.02446896973967116,0.01516330254497952,0.0379973447811644
71,0.02657378869263561,0.01677171562269948,0.04060903798122921
72,0.02867860764559958,0.018211102781592124,0.043601727346556006
73,0.03078342659856375,0.01946097585920903,0.046890520096183275
74,0.03288824555152684,0.020699665195463183,0.0507723156128674
75,0.03499306450449157,0.021826153729765423,0.054597632196281075
76,0.03780546840840174,0.023906344553680285,0.05809082859987888
77,0.04061787231231196,0.02570997564024001,0.062243343404909175
78,0.04343027621622303,0.027343218275634084,0.06663889802697344
79,0.046242680120133293,0.029042782295866036,0.07189556807706743
80,0.04905508402404341,0.030528455925861814,0.07731726427068722
81,0.05251944865249879,0.033045275018132335,0.08238946561484314
82,0.05598381328095345,0.03536796981102902,0.0878765667453586
83,0.05944817790940783,0.03739635060583817,0.09407106670821172
84,0.06291254253786357,0.0391050657706246,0.10008099322813664
85,0.06637690716631844,0.04089523366365038,0.10607034182612171
86,0.0700533391661025,0.0436359685962784,0.11206547975186792
87,0.07372977116588462,0.0456435024174051,0.11815618242376516
88,0.07740620316566889,0.04747220943100464,0.12454752715449956
89,0.08108263516545358,0.04895329457233454,0.13185947444864962
90,0.08475906716523479,0.050129828888092906,0.13928216804282187
91,0.08843282898762417,0.05272079561284391,0.14502141063646476
92,0.09210659081001006,0.05421551708823419,0.1517698989963921
93,0.09578035263239776,0.055744229105031406,0.15821356427020625
94,0.09945411445478312,0.057302438017382405,0.16569988617328468
95,0.10312787627717099,0.05843151450663302,0.1735864348158796
96,0.10646731910131453,0.06024919248030491,0.17921253526309525
97,0.10980676192546125,0.061618045426613574,0.185723542201901
98,0.11314620474960342,0.06314694287260049,0.193245545441471
99,0.11648564757374918,0.06440603732953681,0.20014345042561807
100,0.11982509039789503,0.06548435012238991,0.2079972531500191
