age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.916151119840538e-07,1.590152568679757e-14,1.4506953460200234e-06
41,0.0002866254989935519,0.0001673728269375479,0.0004446410559578212
42,0.0005729593828751065,0.0003341741445369299,0.0008876452977285384
43,0.0008592932667566672,0.0005010416650413703,0.0013314645347468036
44,0.0011456271506382217,0.0006677296435352849,0.001775283771765069
45,0.0014319610345197961,0.0008345700130488236,0.0022191030087833344
46,0.0015619896670888305,0.0009409066437606329,0.0024026028171213066
47,0.0016920182996578701,0.0010422232693172865,0.0025798013981693235
48,0.0018220469322268974,0.00113314216781895,0.0027959455191779417
49,0.0019520755647959994,0.0012176914753363232,0.0030255093308114347
50,0.0020821041973650067,0.0012901501494938345,0.0032576703589940123
51,0.0022673155188385518,0.0014332343876836684,0.0034914603772353736
52,0.002452526840312198,0.0015539755804310589,0.0037760111265827687
53,0.002637738161785734,0.0016662023686604417,0.004053669573863878
54,0.0028229494832592694,0.001781430547437873,0.004343233664048415
55,0.003008160804732845,0.0018841527502623408,0.004652377864999194
56,0.0032832599518976277,0.002075316467864864,0.00499367897899294
57,0.0035583590990622828,0.0022727700578346766,0.005384371157812116
58,0.00383345824622696,0.0024423973757840486,0.005777865352147362
59,0.004108557393391651,0.0025964463471815635,0.006232474885717159
60,0.0043836565405562895,0.0027444455708274668,0.006663729438502761
61,0.004788215754028768,0.003041106306556326,0.007233810110588013
62,0.005192774967501122,0.003287913217074527,0.007872856812211797
63,0.005597334180973476,0.0035408929039299278,0.008439689916536899
64,0.0060018933944457915,0.0037670449325680213,0.009094987035498917
65,0.006406452607918139,0.003962189442307006,0.0098108881999893
66,0.006991311925562901,0.0043907896854968095,0.010583638298721585
67,0.007576171243207739,0.004787206048530163,0.011455666045015384
68,0.00816103056085261,0.005136724653635101,0.012403258927745782
69,0.008745889878497124,0.005439394313192756,0.013402803932488758
70,0.009330749196142114,0.005749751230302738,0.01444761715832411
71,0.01019183826014895,0.006400105123071468,0.015543541852488418
72,0.011052927324155547,0.00696864684919684,0.01683871290639224
73,0.011914016388162006,0.007488756458485407,0.018172425116483377
74,0.012775105452168985,0.00802213097459549,0.019465377382623467
75,0.013636194516175381,0.008494349614227566,0.020883149997986277
76,0.014827012987365693,0.009389911395514594,0.022339609464136337
77,0.016017831458556057,0.010215950852034111,0.0240792886207234
78,0.01720864992974633,0.010938950071446126,0.025784561152635128
79,0.018399468400936345,0.011584546994019406,0.027626251348432742
80,0.019590286872126522,0.012241769609854077,0.029593876398957424
81,0.021080799938925785,0.013349473911673506,0.03160942810890993
82,0.022571313005726006,0.014265816326492032,0.03364138397383857
83,0.024061826072525334,0.015087592806361473,0.03617914593353984
84,0.02555233913932542,0.01583313850553679,0.03873460846100945
85,0.027042852206124283,0.0164724122086475,0.041293109414445216
86,0.028588588678173297,0.01749419757594619,0.04363652903829763
87,0.030134325150222237,0.018323994119221785,0.046229997278053395
88,0.031680061622270786,0.018945767319983292,0.04913578629458693
89,0.033225798094319636,0.01960241580478781,0.052261073481027875
90,0.034771534566368285,0.020188931737827952,0.05547763467299572
91,0.036261590451309736,0.02111297146587924,0.05771481424008419
92,0.037751646336252394,0.021848351202206996,0.06032843513802194
93,0.03924170222119405,0.02266679035100168,0.06343316502184722
94,0.040731758106135704,0.02331660196120381,0.06663852780625427
95,0.0422218139910767,0.023891271085147124,0.06966385458065598
96,0.043557668104599115,0.024598970778754954,0.07191391534856126
97,0.04489352221812355,0.025262644569877243,0.07440204796232396
98,0.046229376331645144,0.025914093206341145,0.07694187804494643
99,0.04756523044516944,0.02637335709671424,0.07938201652914464
100,0.048901084558691243,0.026791944018696265,0.08218394622351768
