age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.8028883417855273e-07,1.6444165564069615e-14,1.442243632804836e-06
31,0.003943005815590356,0.0004639567670510924,0.006272754353614269
32,0.007885731342346517,0.0009276400902619911,0.012545399482516198
33,0.011828456869102699,0.001391183304674752,0.018818044611418127
34,0.015771182395858837,0.0018547548965275238,0.025090689740320058
35,0.019713907922615008,0.002318261015435607,0.031363334869221986
36,0.021776587638993483,0.006928749433730044,0.03390766024282303
37,0.023839267355371976,0.011549871928554592,0.03677988898156783
38,0.02590194707175049,0.015006500229393644,0.03970593145708068
39,0.0279646267881293,0.017222110731700085,0.04276541505852757
40,0.030027306504506288,0.01873387519357275,0.04617994967986988
41,0.032686009119605376,0.020863229789155512,0.04973850272665156
42,0.03534471173470485,0.02271793274891024,0.05359634400312475
43,0.03800341434980385,0.024446227248791377,0.05768781600888842
44,0.040662116964901004,0.026062307458475473,0.06198245257260704
45,0.04332081957999912,0.027445463585902784,0.06662473080286051
46,0.046529191472825644,0.029982507972131985,0.07048110002805197
47,0.0497375633656495,0.03233404526310769,0.07518490672071228
48,0.052945935258475525,0.03442816549600314,0.08018933403156192
49,0.056154307151301736,0.03628194468999021,0.08538498590975842
50,0.05936267904412563,0.038114731207556984,0.09071383842284798
51,0.0633203695065552,0.04122864373048348,0.09571711420927183
52,0.06727805996898414,0.04413068880885882,0.10130761025772701
53,0.07123575043141044,0.046664982568151575,0.10732237142761537
54,0.07519344089383743,0.04895640605572432,0.11386173480356437
55,0.07915113135626577,0.05107495218625908,0.1208762392285703
56,0.08408458596807436,0.055047322184307676,0.12715380694149478
57,0.08901804057988244,0.0586819422946281,0.1341618030574925
58,0.09395149519168752,0.06185083937571736,0.14160385699627354
59,0.098884949803497,0.06475753976764907,0.14986795965346414
60,0.1038184044153025,0.06745600605700744,0.15883703597197205
61,0.11010740371477666,0.07257774317187339,0.16661384978872748
62,0.11639640301425147,0.07736071714070383,0.17569766035151352
63,0.12268540231372817,0.08166782395480375,0.18509828794798863
64,0.12897440161320203,0.08513161851405085,0.19500725324651846
65,0.13526340091267858,0.08824233706977079,0.20622833849315134
66,0.14293568297460046,0.09484074202046255,0.21623033559932506
67,0.15060796503652424,0.10030444630885434,0.2277998966238105
68,0.1582802470984497,0.10488080095420269,0.24025231321940335
69,0.16595252916037523,0.10912529070413857,0.2528732710542842
70,0.17362481122229523,0.11284777662182287,0.26609476452186137
71,0.1831709479516987,0.1202709991855638,0.2791382190841747
72,0.19271708468109594,0.12687622832409523,0.29359202939740753
73,0.20226322141050226,0.13239869575441582,0.30963708049488514
74,0.21180935813990018,0.13742622904029292,0.32688440056722257
75,0.22135549486929684,0.14154527548496157,0.3448336441534562
76,0.2329151890123233,0.15109575351472215,0.35903863483663667
77,0.24447488315534652,0.15916135180620078,0.3762362775551039
78,0.25603457729835793,0.1657742228296288,0.39474503520324183
79,0.26759427144138037,0.17185959273417334,0.4139224203997224
80,0.27915396558438504,0.17743115345725177,0.4333301031426954
81,0.29245856134739434,0.1870596392869584,0.4525614002773975
82,0.3057631571104079,0.19516465077698814,0.4735003092397497
83,0.3190677528734154,0.20166650271616812,0.497281162009449
84,0.33237234863642373,0.20699605921334047,0.5215469033018922
85,0.3456769443994307,0.21236455512589786,0.5466029757237822
86,0.3606375821755999,0.2227928560063617,0.5677788414444829
87,0.37559821995175746,0.23128769829856255,0.5928238099668804
88,0.39055885772792576,0.2384649938827639,0.6188740862673914
89,0.40551949550408384,0.2443816612584937,0.6464980990411527
90,0.4204801332802399,0.24980683222768493,0.6757796895614929
91,0.4360876490582119,0.25951808662137,0.6966028868320809
92,0.45169516483617644,0.26762906811780823,0.7207401163701234
93,0.46730268061413527,0.2746959896955617,0.7484690572867324
94,0.48291019639209537,0.28143094241695077,0.7785827837349298
95,0.4985171046076504,0.2867283792111869,0.810255714350253
96,0.5132767484946811,0.29575362262598964,0.8309954330457756
97,0.5280363534981618,0.30232665986991303,0.8529676661677845
98,0.5427957583338854,0.3090102002995092,0.878454489465498
99,0.5575541304261177,0.3156059282145285,0.9052480321362806
100,0.5722758283923538,0.32202683190612613,0.9346614417317666
