age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.8540203367422776e-07,2.3667526302241367e-14,1.4476760261637766e-06
31,0.0009062557709116463,6.76009281700554e-05,0.002086298681977055
32,0.0018122261397895696,0.00013474198557634007,0.00417256349139713
33,0.0027181965086675057,0.00020176975154481878,0.0062588283008172055
34,0.003624166877545514,0.0002689940764107035,0.00834509311023728
35,0.004530137246423511,0.0003362402481141872,0.010431357919657356
36,0.005027382785258373,0.0011968563631241688,0.011085556440766104
37,0.005524628324093518,0.0018692765225660159,0.011784405769205647
38,0.006021873862928414,0.002392887909326396,0.012563603876349128
39,0.006519119401763574,0.0027639331033547055,0.013458135941100619
40,0.007016364940598992,0.0030473282521972923,0.014518237387923379
41,0.007557858639920345,0.0033628623599560024,0.015425200101797511
42,0.008099352339241942,0.0036918051933351745,0.016393308825623468
43,0.008640846038563956,0.003995166886218424,0.017456848171551
44,0.00918233973788537,0.004271128653225583,0.018426209313514696
45,0.0097238334372074,0.004510977588708222,0.019613800032495472
46,0.010451358220501559,0.004922951040575463,0.020847857180582498
47,0.011178883003796321,0.0052949796849474096,0.02229273053781617
48,0.011906407787090964,0.005643135349444857,0.02366310197716258
49,0.012633932570385809,0.005965366631338664,0.025109520962244048
50,0.013361457353680708,0.006272567723484648,0.0265447593964253
51,0.014365221379570295,0.006861410057984168,0.0285483077302378
52,0.015368985405459654,0.0074130885104384476,0.030727675708949496
53,0.016372749431350128,0.007916485404932805,0.03297854830771945
54,0.017376513457239416,0.008382988059915511,0.035175920246280225
55,0.018380277483129464,0.008797421908257894,0.037378778426040454
56,0.0197539121314474,0.009591063550977332,0.04020306083669325
57,0.021127546779765197,0.010326385538804564,0.04295160842530697
58,0.022501181428083578,0.010980705163508638,0.04561435484682029
59,0.02387481607640126,0.011592050660650454,0.048452408751788266
60,0.025248450724718683,0.012191623851013512,0.05131071816049512
61,0.02706318398253256,0.013281471314986991,0.05482153029577683
62,0.02887791724034624,0.014269248330711502,0.05872516477249633
63,0.03069265049816079,0.015139801977665953,0.06251041991864567
64,0.03250738375597477,0.015933029541866994,0.06620989944663773
65,0.03432211701378758,0.016703968024163303,0.06975489400104798
66,0.03667646069521348,0.017950702491345283,0.07460301299204702
67,0.03903080437663941,0.019040967716896975,0.07932413119122919
68,0.04138514805806494,0.02012720761065203,0.08409687188335335
69,0.04373949173949092,0.021105487838387015,0.08890512907986593
70,0.04609383542091657,0.02210580514385173,0.09366316336998705
71,0.04907755013005486,0.02363916647367624,0.09955024784397408
72,0.052061264839193315,0.025054463911911982,0.10535032271887664
73,0.05504497954833189,0.02644244883333241,0.11185033803999087
74,0.058028694257469864,0.027786856826072185,0.11840267379289161
75,0.0610124089666082,0.028997906999212526,0.12456366045460306
76,0.06458237814645068,0.030701150735700664,0.13091974296429892
77,0.06815234732629595,0.03236581379468931,0.13770140627791191
78,0.07172231650614229,0.03387540693701229,0.14507181806694683
79,0.07529228568598478,0.03530698930996621,0.15292299665138054
80,0.07886225486582846,0.03656405276488604,0.1613056605312068
81,0.08298575692048177,0.03850187064641552,0.17004916292830213
82,0.08710925897512917,0.04015012188294034,0.17997603840587512
83,0.09123276102978145,0.041859198350417445,0.18925018337923746
84,0.09535626308443437,0.04330827038175539,0.19859150754117927
85,0.09947976513908584,0.04481526540795756,0.20870693411993793
86,0.10393802831810842,0.046668681912500655,0.21862365238898507
87,0.10839629149712998,0.04803477106331991,0.2275623780363414
88,0.11285455467615654,0.04950662062455733,0.23877757385983328
89,0.11731281785518172,0.05095842062160604,0.24965655840586962
90,0.12177108103420514,0.05243223726128365,0.2612861759452959
91,0.1263123611077772,0.05404784547646865,0.27223042880246767
92,0.1308536411813483,0.055658026493552046,0.28348621666666296
93,0.13539492125491775,0.05715204562135256,0.29573835355038136
94,0.13993620132848875,0.058572348568565455,0.3067597447171704
95,0.1444774814020607,0.060255046535101,0.3183368765027272
96,0.1487610102080334,0.06170465240444613,0.32908112585954014
97,0.15304453901400267,0.06313581569961597,0.3401634315724323
98,0.15732806781997555,0.06471827616167913,0.3497601972229833
99,0.16161159662594815,0.06627815500630442,0.3593495693281704
100,0.1658951254319121,0.06736586299789474,0.3690862047484413
