age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.806188965631544e-07,1.886356835706151e-14,1.4297861659651199e-06
41,0.0005237581340327119,0.0003264794415974487,0.0008194377536125623
42,0.001047235649168884,0.0006524753011236778,0.0016388715430315063
43,0.0015707131643050033,0.0009786806797743193,0.0024583072983410956
44,0.002094190679441204,0.0013048860584249612,0.0032774883339520594
45,0.002617668194577282,0.0016310914370756026,0.0040964436133511944
46,0.002860194845695758,0.001812562979240017,0.004444919970922652
47,0.0031027214968141715,0.001977346178174542,0.004800157338922091
48,0.003345248147932536,0.0021231101485369797,0.0051723012168847695
49,0.0035877747990508326,0.0022602544377660163,0.005562493114048245
50,0.00383030145016942,0.0023886195584854643,0.005968880696999776
51,0.004161933877577644,0.0026445526623240624,0.0064226428673125535
52,0.00449356630498604,0.002866927667872177,0.006913817903665602
53,0.004825198732394413,0.0030811337057074623,0.007412027737307291
54,0.005156831159802828,0.0032739540984818576,0.007937981647524402
55,0.005488463587211145,0.0034673485840027306,0.008499976519551112
56,0.005956469774003888,0.00381514053799935,0.009144985870655712
57,0.00642447596079647,0.004143046117721153,0.009826500488844014
58,0.006892482147589232,0.004431047619321138,0.010557898753130516
59,0.007360488334381893,0.0046878484614159095,0.011282703141206074
60,0.007828494521174671,0.004940432719025785,0.012063221778166633
61,0.008508082793260307,0.005456241154053573,0.01301154811046058
62,0.009187671065346176,0.005942221749539143,0.014028212440833743
63,0.009867259337431702,0.006371894536651358,0.015104711407486886
64,0.010546847609517025,0.006766815100160318,0.016258076119272675
65,0.01122643588160283,0.007145805535633236,0.01739739243167001
66,0.01221969120487251,0.007902866366566905,0.018697122139081552
67,0.013212946528142524,0.008573183625684978,0.020088674288906865
68,0.014206201851412211,0.009213004666737641,0.021626663218742147
69,0.015199457174682076,0.009794893263313119,0.02316280731906343
70,0.016192712497951497,0.010326304221128598,0.02479096208301973
71,0.01761881929847212,0.011404508606680859,0.026721435263985915
72,0.01904492609899224,0.012409263471379115,0.028785569129112273
73,0.02047103289951275,0.013303493667342771,0.031144648262582387
74,0.02189713970003421,0.01412707690280624,0.033433261990368224
75,0.023323246500554378,0.014905921796169857,0.03580169635139602
76,0.025206338779479885,0.01635468382295814,0.03845090214781712
77,0.027089431058405295,0.017593831387757254,0.04143642527269186
78,0.028972523337330445,0.018715795101576994,0.04463713982045519
79,0.030855615616254353,0.019695095163442648,0.04799745296397935
80,0.032738707895180734,0.020648285050985257,0.05127250395372358
81,0.03507194080324025,0.02227084531321319,0.05467777449639174
82,0.03740517371130245,0.023699680160195802,0.05828213672162903
83,0.039738406619361816,0.02493186684425746,0.06207958775158317
84,0.0420716395274216,0.026167505119573366,0.06607801586334376
85,0.04440487243548175,0.027234814711639473,0.0705209577072417
86,0.04698941506550715,0.028917586132413957,0.07434058653865455
87,0.049573957695531426,0.030274483800780145,0.07857166004145182
88,0.052158500325557064,0.03157638360980162,0.08337996316951103
89,0.05474304295558142,0.03266511900938901,0.08791676957330859
90,0.05732758558560928,0.03371341442983095,0.09325017807886854
91,0.05996473650262855,0.0351568184863983,0.09708882083953901
92,0.0626018874196507,0.03638435434265826,0.10165645267710452
93,0.06523903833667388,0.03750908224326778,0.10658397181817757
94,0.06787618925369672,0.03859969097423524,0.11186915618191809
95,0.07051334017072042,0.03963067297606947,0.11709330199599494
96,0.07290416085281769,0.040856528428637275,0.12108720990100119
97,0.07529498153491426,0.041920645185935704,0.12538486039131105
98,0.07768580221701477,0.04289690195796284,0.13019203598369136
99,0.08007662289911252,0.043799082366943444,0.1350422670422029
100,0.08246744358120843,0.044634469827119515,0.13988677568600383
