age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.8191984111198716e-07,1.3878470047654183e-14,1.4414687327759141e-06
41,0.000224579113272425,0.00014171425824817318,0.0003385142136660691
42,0.00044887630670374065,0.00028307116592795695,0.000676754963371719
43,0.0006731735001350484,0.00042456525926909644,0.0010147485329133656
44,0.0008974706935663761,0.0005659423968615726,0.0013529199286969485
45,0.0011217678869976486,0.0007073414995538495,0.0016910034696525304
46,0.0012266343734730915,0.0007885490011920375,0.0018222782116665522
47,0.0013315008599485232,0.0008627629295251769,0.0019637908647538466
48,0.001436367346423976,0.0009304582448072714,0.002124908869184321
49,0.0015412338328994123,0.0009903301339179225,0.0022972542253087897
50,0.001646100319374838,0.0010452153336801778,0.002474958932974977
51,0.001793621092108541,0.0011581951483932316,0.0026614986575769473
52,0.0019411418648422696,0.0012632564831247554,0.0028624208188128405
53,0.002088662637575897,0.0013564863474630562,0.003087114511285289
54,0.0022361834103096735,0.0014422509279965992,0.0033072660633696217
55,0.0023837041830434146,0.0015262466435051066,0.003542439293046968
56,0.002594149927186437,0.0016907586575198254,0.0038081153815063967
57,0.0028045956713295406,0.0018340926994951756,0.00409775988258358
58,0.003015041415472654,0.0019633268478035093,0.004424596726569719
59,0.0032254871596157663,0.0020779600925195903,0.004768897841612468
60,0.0034359329037589367,0.002191242682396525,0.005117042979892089
61,0.0037416351913690357,0.002436040232347467,0.0055026806586765675
62,0.00404733747897925,0.0026547167164681965,0.0059135299645804145
63,0.004353039766589476,0.002854021532350881,0.0063425138194332315
64,0.004658742054199561,0.0030351152263180135,0.0067912519255116455
65,0.00496444434180992,0.0032108695535188157,0.007283315868264962
66,0.005399912921853104,0.003566352830842432,0.007872208142950955
67,0.005835381501896169,0.003873332109698034,0.008492662797734207
68,0.006270850081939399,0.004156464682458734,0.009158728879413503
69,0.0067063186619825445,0.004432742144686208,0.00980805105326832
70,0.007141787242025921,0.0046813955492916405,0.010511273365129971
71,0.007765489198592265,0.005176521572247367,0.011313275279745145
72,0.008389191155158326,0.005600683630060587,0.01216948133130231
73,0.009012893111724991,0.006001215548556029,0.013104928513291595
74,0.009636595068291374,0.006362391072174261,0.014092865783684435
75,0.010260297024857933,0.006719716310185065,0.01512117694741257
76,0.011086198658283239,0.0073634919985420405,0.016139305875521797
77,0.011912100291709101,0.007900637008066157,0.017265153510426873
78,0.012738001925134804,0.00842612731092113,0.01848464772700178
79,0.0135639035585605,0.008863888267361923,0.01983996264694714
80,0.014389805191986465,0.00928541508162311,0.021284149720753435
81,0.015406369661237665,0.010063019674195539,0.022523114657577222
82,0.016422934130489376,0.010732979221484949,0.023984891929416247
83,0.017439498599740973,0.011342242192895046,0.025619782424937225
84,0.018456063068992216,0.011846228931373909,0.02734907723523797
85,0.01947262753824325,0.012343725145707135,0.029230342220560996
86,0.02059563735733155,0.013075588385724108,0.030906807673403633
87,0.021718647176419536,0.013709159476465945,0.03283195845830568
88,0.022841656995506634,0.014265350396569702,0.03474964923014758
89,0.023964666814593513,0.01474982718468807,0.037062794256656297
90,0.02508767663368074,0.015178969432128667,0.03934275052546138
91,0.026226911944609306,0.015881848300757055,0.041138844291221235
92,0.0273661472555366,0.016510832674553902,0.04313326868828375
93,0.028505382566464055,0.0170015149921236,0.045433266307327316
94,0.02964461787739204,0.01745006864815865,0.0478939484364221
95,0.03078385318831916,0.01788740024109365,0.05051099009792197
96,0.031824355659415736,0.01844209790093326,0.05221734969447606
97,0.03286485813051117,0.018932504397089725,0.05414384335342401
98,0.03390536060160761,0.01934471999278023,0.056269421464448924
99,0.03494586307270226,0.019770233369207642,0.05848338777500377
100,0.03598636554379966,0.020188310635301812,0.0606179267212401
