age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.765739899897875e-07,1.5512874945733152e-14,1.4331680627004343e-06
41,0.00040258696818452585,0.0002643778178957164,0.0005415400787704554
42,0.0008048973623790591,0.0005284160212004366,0.0010829502399675637
43,0.0012072077565735985,0.0007925685751785092,0.001624377846952977
44,0.0016095181507681724,0.001056749347062222,0.002165767808123274
45,0.0020118285449627275,0.0013209304824413376,0.00270720713111949
46,0.002203897786303643,0.0015284445671838293,0.0029117151835655196
47,0.0023959670276447248,0.0017211920937213086,0.0031474453472054215
48,0.002588036268985615,0.0019086305915307468,0.0034038771918752948
49,0.0027801055103265425,0.0020635590363970034,0.0036849327077888507
50,0.0029721747516676254,0.0021904734718688,0.003971013060785502
51,0.0032613303528581158,0.0024624976486018104,0.004275301645630148
52,0.003550485954048642,0.0027032526158137235,0.004622241102441098
53,0.00383964155523919,0.0029172556777135213,0.0050169961093190045
54,0.004128797156429914,0.0031052405320214855,0.005441640403100524
55,0.0044179527576204075,0.0032803720387736685,0.005884472549428191
56,0.004868965504024618,0.003723621172113928,0.006326353357640044
57,0.005319978250429121,0.00410868159108551,0.006844149851412781
58,0.005770990996833566,0.004440665153003649,0.007445095626625108
59,0.006222003743237797,0.004752628277865086,0.008057325104855736
60,0.006673016489642489,0.005031584299722771,0.00872977408905747
61,0.007342769524676202,0.0056684161386054,0.00941194066458008
62,0.008012522559709863,0.0062511048962915206,0.010213502346620147
63,0.008682275594743681,0.006745476155935502,0.011088144667289327
64,0.009352028629777246,0.007183002507643447,0.012035501290932808
65,0.010021781664811156,0.007608469678340089,0.013023226292247572
66,0.011004347478756294,0.008581886066452665,0.013990623820766365
67,0.01198691329270165,0.009440605399712889,0.015135742452330934
68,0.012969479106647176,0.010185838766868412,0.016396076746831807
69,0.01395204492059251,0.01085469244856991,0.017826385784888592
70,0.014934610734537801,0.011464204821544265,0.019291997286611386
71,0.016298549669219314,0.012836733609681574,0.020604295710089347
72,0.01766248860390192,0.0140155448921491,0.022195335919479503
73,0.019026427538583236,0.015030832773021766,0.0240311262173668
74,0.020390366473265205,0.015940814406545354,0.025996969959352606
75,0.02175430540794711,0.016759373801046983,0.02809218648870844
76,0.023464215267568107,0.018489127532421507,0.029782284347841408
77,0.025174125127189622,0.01990014038948472,0.03176921480832667
78,0.026884034986810156,0.021089007280585638,0.034017293452358585
79,0.02859394484643179,0.02210228095198012,0.036545565948956464
80,0.03030385470605348,0.023050451681362605,0.03919329077919984
81,0.03207374311566898,0.0247610337516295,0.04114962362508108
82,0.0338436315252876,0.02614419048909892,0.04329502327893343
83,0.03561351993490382,0.027283151284951065,0.04587436065645274
84,0.037383408344520565,0.02819113408398566,0.04881223752651227
85,0.03915329675413703,0.0289741529798211,0.051967503839066204
86,0.04095054072753809,0.03042772649247901,0.05418585376296087
87,0.04274778470093891,0.03162926399271501,0.056650831233882544
88,0.0445450286743393,0.0325798858549988,0.05966813613483729
89,0.0463422726477388,0.03344274728355772,0.06304049880763343
90,0.04813951662113974,0.034219218452929925,0.06654486288569246
91,0.04987054799780771,0.03555231949317009,0.06905853572167238
92,0.05160157937447583,0.03665123665446382,0.07213193789533019
93,0.053332610751145364,0.037447438797422544,0.07551387869760827
94,0.055063642127813194,0.03814678592841154,0.07901776994882898
95,0.05679467350448084,0.03876259153654444,0.08284338048056494
96,0.05846601643344247,0.03984630821976777,0.08561759920234382
97,0.06013735936240473,0.040742518469651774,0.08852190626083839
98,0.0618087022913646,0.041431358134579335,0.09172716193596754
99,0.06348004522032732,0.04217777665619716,0.09534414576400674
100,0.06515138814929004,0.04273888020895805,0.09916637137515673
